#    L    TT             EE             BB             TE          
    91   0.239891E+04   0.579321E+00   0.204738E-02  -0.162425E+02
    92   0.242797E+04   0.593756E+00   0.209316E-02  -0.168437E+02
    93   0.245730E+04   0.608193E+00   0.213949E-02  -0.174500E+02
    94   0.248666E+04   0.622597E+00   0.218637E-02  -0.180599E+02
    95   0.251629E+04   0.636969E+00   0.223381E-02  -0.186743E+02
    96   0.254589E+04   0.651296E+00   0.228180E-02  -0.192925E+02
    97   0.257591E+04   0.665564E+00   0.233036E-02  -0.199139E+02
    98   0.260613E+04   0.679768E+00   0.237949E-02  -0.205362E+02
    99   0.263641E+04   0.693871E+00   0.242918E-02  -0.211627E+02
   100   0.266696E+04   0.707876E+00   0.247943E-02  -0.217888E+02
   101   0.269764E+04   0.721843E+00   0.253026E-02  -0.224178E+02
   102   0.272883E+04   0.735625E+00   0.258166E-02  -0.230473E+02
   103   0.275993E+04   0.749298E+00   0.263363E-02  -0.236783E+02
   104   0.279125E+04   0.762862E+00   0.268618E-02  -0.243079E+02
   105   0.282270E+04   0.776247E+00   0.273931E-02  -0.249377E+02
   106   0.285437E+04   0.789526E+00   0.279301E-02  -0.255670E+02
   107   0.288597E+04   0.802554E+00   0.284730E-02  -0.261943E+02
   108   0.291794E+04   0.815406E+00   0.290218E-02  -0.268206E+02
   109   0.295005E+04   0.828008E+00   0.295764E-02  -0.274445E+02
   110   0.298225E+04   0.840363E+00   0.301369E-02  -0.280645E+02
   111   0.301460E+04   0.852547E+00   0.307034E-02  -0.286822E+02
   112   0.304711E+04   0.864484E+00   0.312757E-02  -0.292969E+02
   113   0.307984E+04   0.876175E+00   0.318541E-02  -0.299070E+02
   114   0.311265E+04   0.887547E+00   0.324385E-02  -0.305119E+02
   115   0.314569E+04   0.898747E+00   0.330289E-02  -0.311116E+02
   116   0.317873E+04   0.909552E+00   0.336254E-02  -0.317052E+02
   117   0.321206E+04   0.920038E+00   0.342280E-02  -0.322920E+02
   118   0.324555E+04   0.930352E+00   0.348367E-02  -0.328728E+02
   119   0.327904E+04   0.940346E+00   0.354516E-02  -0.334453E+02
   120   0.331268E+04   0.949872E+00   0.360728E-02  -0.340096E+02
   121   0.334631E+04   0.959226E+00   0.367002E-02  -0.345656E+02
   122   0.338002E+04   0.968113E+00   0.373340E-02  -0.351125E+02
   123   0.341380E+04   0.976605E+00   0.379741E-02  -0.356505E+02
   124   0.344765E+04   0.984778E+00   0.386207E-02  -0.361764E+02
   125   0.348149E+04   0.992557E+00   0.392738E-02  -0.366925E+02
   126   0.351541E+04   0.100002E+01   0.399334E-02  -0.371982E+02
   127   0.354932E+04   0.100701E+01   0.405996E-02  -0.376925E+02
   128   0.358322E+04   0.101368E+01   0.412724E-02  -0.381748E+02
   129   0.361718E+04   0.101988E+01   0.419520E-02  -0.386443E+02
   130   0.365114E+04   0.102562E+01   0.426385E-02  -0.391004E+02
   131   0.368509E+04   0.103104E+01   0.433317E-02  -0.395444E+02
   132   0.371911E+04   0.103599E+01   0.440319E-02  -0.399734E+02
   133   0.375305E+04   0.104054E+01   0.447392E-02  -0.403897E+02
   134   0.378698E+04   0.104469E+01   0.454535E-02  -0.407888E+02
   135   0.382090E+04   0.104837E+01   0.461750E-02  -0.411739E+02
   136   0.385467E+04   0.105158E+01   0.469037E-02  -0.415411E+02
   137   0.388844E+04   0.105438E+01   0.476397E-02  -0.418928E+02
   138   0.392213E+04   0.105670E+01   0.483831E-02  -0.422274E+02
   139   0.395560E+04   0.105870E+01   0.491340E-02  -0.425444E+02
   140   0.398914E+04   0.106014E+01   0.498925E-02  -0.428444E+02
   141   0.402246E+04   0.106110E+01   0.506586E-02  -0.431253E+02
   142   0.405578E+04   0.106164E+01   0.514324E-02  -0.433878E+02
   143   0.408903E+04   0.106178E+01   0.522139E-02  -0.436320E+02
   144   0.412206E+04   0.106143E+01   0.530034E-02  -0.438572E+02
   145   0.415495E+04   0.106074E+01   0.538007E-02  -0.440627E+02
   146   0.418791E+04   0.105949E+01   0.546061E-02  -0.442484E+02
   147   0.422051E+04   0.105789E+01   0.554196E-02  -0.444130E+02
   148   0.425297E+04   0.105581E+01   0.562412E-02  -0.445580E+02
   149   0.428537E+04   0.105330E+01   0.570709E-02  -0.446819E+02
   150   0.431747E+04   0.105044E+01   0.579090E-02  -0.447825E+02
   151   0.434944E+04   0.104717E+01   0.587554E-02  -0.448628E+02
   152   0.438113E+04   0.104339E+01   0.596102E-02  -0.449214E+02
   153   0.441268E+04   0.103926E+01   0.604734E-02  -0.449559E+02
   154   0.444402E+04   0.103477E+01   0.613451E-02  -0.449685E+02
   155   0.447516E+04   0.102991E+01   0.622253E-02  -0.449586E+02
   156   0.450594E+04   0.102470E+01   0.631141E-02  -0.449260E+02
   157   0.453667E+04   0.101911E+01   0.640115E-02  -0.448693E+02
   158   0.456713E+04   0.101323E+01   0.649175E-02  -0.447892E+02
   159   0.459732E+04   0.100690E+01   0.658322E-02  -0.446856E+02
   160   0.462730E+04   0.100026E+01   0.667555E-02  -0.445570E+02
   161   0.465710E+04   0.993389E+00   0.676876E-02  -0.444049E+02
   162   0.468662E+04   0.986133E+00   0.686284E-02  -0.442293E+02
   163   0.471603E+04   0.978563E+00   0.695779E-02  -0.440287E+02
   164   0.474503E+04   0.970749E+00   0.705361E-02  -0.438044E+02
   165   0.477392E+04   0.962614E+00   0.715031E-02  -0.435543E+02
   166   0.480254E+04   0.954304E+00   0.724788E-02  -0.432799E+02
   167   0.483098E+04   0.945590E+00   0.734632E-02  -0.429817E+02
   168   0.485901E+04   0.936843E+00   0.744562E-02  -0.426577E+02
   169   0.488679E+04   0.927760E+00   0.754580E-02  -0.423077E+02
   170   0.491432E+04   0.918563E+00   0.764684E-02  -0.419332E+02
   171   0.494145E+04   0.909246E+00   0.774875E-02  -0.415320E+02
   172   0.496825E+04   0.899733E+00   0.785152E-02  -0.411055E+02
   173   0.499465E+04   0.890020E+00   0.795514E-02  -0.406536E+02
   174   0.502082E+04   0.880401E+00   0.805962E-02  -0.401765E+02
   175   0.504666E+04   0.870575E+00   0.816495E-02  -0.396732E+02
   176   0.507203E+04   0.860762E+00   0.827112E-02  -0.391438E+02
   177   0.509709E+04   0.850882E+00   0.837814E-02  -0.385897E+02
   178   0.512176E+04   0.841154E+00   0.848599E-02  -0.380093E+02
   179   0.514603E+04   0.831275E+00   0.859468E-02  -0.374026E+02
   180   0.517006E+04   0.821464E+00   0.870419E-02  -0.367709E+02
   181   0.519361E+04   0.811716E+00   0.881452E-02  -0.361142E+02
   182   0.521677E+04   0.802100E+00   0.892567E-02  -0.354309E+02
   183   0.523945E+04   0.792537E+00   0.903764E-02  -0.347225E+02
   184   0.526181E+04   0.783097E+00   0.915040E-02  -0.339881E+02
   185   0.528376E+04   0.773922E+00   0.926397E-02  -0.332299E+02
   186   0.530494E+04   0.764868E+00   0.937833E-02  -0.324448E+02
   187   0.532602E+04   0.756070E+00   0.949348E-02  -0.316343E+02
   188   0.534662E+04   0.747508E+00   0.960941E-02  -0.307997E+02
   189   0.536666E+04   0.739216E+00   0.972611E-02  -0.299395E+02
   190   0.538659E+04   0.731239E+00   0.984359E-02  -0.290558E+02
   191   0.540567E+04   0.723596E+00   0.996183E-02  -0.281457E+02
   192   0.542441E+04   0.716304E+00   0.100808E-01  -0.272112E+02
   193   0.544260E+04   0.709401E+00   0.102006E-01  -0.262539E+02
   194   0.546044E+04   0.702914E+00   0.103211E-01  -0.252712E+02
   195   0.547773E+04   0.696874E+00   0.104423E-01  -0.242655E+02
   196   0.549446E+04   0.691314E+00   0.105643E-01  -0.232359E+02
   197   0.551076E+04   0.686272E+00   0.106870E-01  -0.221839E+02
   198   0.552658E+04   0.681767E+00   0.108104E-01  -0.211085E+02
   199   0.554191E+04   0.677831E+00   0.109345E-01  -0.200105E+02
   200   0.555675E+04   0.674488E+00   0.110594E-01  -0.188906E+02
   201   0.557101E+04   0.671793E+00   0.111849E-01  -0.177478E+02
   202   0.558479E+04   0.669754E+00   0.113112E-01  -0.165837E+02
   203   0.559799E+04   0.668429E+00   0.114381E-01  -0.153975E+02
   204   0.561055E+04   0.667842E+00   0.115657E-01  -0.141919E+02
   205   0.562261E+04   0.668037E+00   0.116940E-01  -0.129647E+02
   206   0.563403E+04   0.669051E+00   0.118229E-01  -0.117171E+02
   207   0.564496E+04   0.670907E+00   0.119525E-01  -0.104494E+02
   208   0.565516E+04   0.673657E+00   0.120828E-01  -0.916214E+01
   209   0.566479E+04   0.677323E+00   0.122136E-01  -0.785555E+01
   210   0.567385E+04   0.681957E+00   0.123452E-01  -0.653045E+01
   211   0.568233E+04   0.687589E+00   0.124773E-01  -0.518683E+01
   212   0.569010E+04   0.694250E+00   0.126101E-01  -0.382553E+01
   213   0.569736E+04   0.701983E+00   0.127435E-01  -0.244645E+01
   214   0.570398E+04   0.710781E+00   0.128774E-01  -0.105069E+01
   215   0.571002E+04   0.720837E+00   0.130120E-01   0.361071E+00
   216   0.571541E+04   0.731967E+00   0.131471E-01   0.178944E+01
   217   0.572030E+04   0.744324E+00   0.132828E-01   0.323249E+01
   218   0.572454E+04   0.757911E+00   0.134191E-01   0.469051E+01
   219   0.572820E+04   0.772727E+00   0.135559E-01   0.616457E+01
   220   0.573129E+04   0.788920E+00   0.136932E-01   0.765028E+01
   221   0.573379E+04   0.806416E+00   0.138310E-01   0.914994E+01
   222   0.573572E+04   0.825363E+00   0.139694E-01   0.106622E+02
   223   0.573692E+04   0.845688E+00   0.141082E-01   0.121878E+02
   224   0.573769E+04   0.867390E+00   0.142475E-01   0.137231E+02
   225   0.573781E+04   0.890618E+00   0.143873E-01   0.152712E+02
   226   0.573735E+04   0.915372E+00   0.145275E-01   0.168285E+02
   227   0.573623E+04   0.941652E+00   0.146681E-01   0.183966E+02
   228   0.573460E+04   0.969457E+00   0.148091E-01   0.199739E+02
   229   0.573240E+04   0.998862E+00   0.149506E-01   0.215592E+02
   230   0.572953E+04   0.102987E+01   0.150924E-01   0.231532E+02
   231   0.572601E+04   0.106255E+01   0.152345E-01   0.247553E+02
   232   0.572198E+04   0.109683E+01   0.153771E-01   0.263641E+02
   233   0.571737E+04   0.113293E+01   0.155199E-01   0.279781E+02
   234   0.571203E+04   0.117070E+01   0.156630E-01   0.295983E+02
   235   0.570617E+04   0.121023E+01   0.158065E-01   0.312231E+02
   236   0.569965E+04   0.125150E+01   0.159502E-01   0.328528E+02
   237   0.569255E+04   0.129459E+01   0.160941E-01   0.344858E+02
   238   0.568487E+04   0.133958E+01   0.162383E-01   0.361223E+02
   239   0.567667E+04   0.138631E+01   0.163827E-01   0.377615E+02
   240   0.566773E+04   0.143487E+01   0.165272E-01   0.394014E+02
   241   0.565836E+04   0.148540E+01   0.166720E-01   0.410428E+02
   242   0.564840E+04   0.153775E+01   0.168169E-01   0.426850E+02
   243   0.563785E+04   0.159207E+01   0.169619E-01   0.443267E+02
   244   0.562671E+04   0.164829E+01   0.171070E-01   0.459686E+02
   245   0.561498E+04   0.170647E+01   0.172522E-01   0.476078E+02
   246   0.560274E+04   0.176662E+01   0.173975E-01   0.492459E+02
   247   0.558997E+04   0.182867E+01   0.175428E-01   0.508809E+02
   248   0.557662E+04   0.189299E+01   0.176881E-01   0.525127E+02
   249   0.556283E+04   0.195905E+01   0.178335E-01   0.541407E+02
   250   0.554844E+04   0.202730E+01   0.179788E-01   0.557635E+02
   251   0.553361E+04   0.209745E+01   0.181241E-01   0.573820E+02
   252   0.551811E+04   0.216972E+01   0.182693E-01   0.589945E+02
   253   0.550232E+04   0.224391E+01   0.184145E-01   0.605997E+02
   254   0.548592E+04   0.232033E+01   0.185596E-01   0.621976E+02
   255   0.546900E+04   0.239867E+01   0.187045E-01   0.637880E+02
   256   0.545164E+04   0.247933E+01   0.188494E-01   0.653710E+02
   257   0.543381E+04   0.256187E+01   0.189941E-01   0.669385E+02
   258   0.541547E+04   0.264667E+01   0.191386E-01   0.685029E+02
   259   0.539666E+04   0.273360E+01   0.192830E-01   0.700495E+02
   260   0.537747E+04   0.282266E+01   0.194271E-01   0.715931E+02
   261   0.535775E+04   0.291378E+01   0.195711E-01   0.731114E+02
   262   0.533750E+04   0.300721E+01   0.197148E-01   0.746267E+02
   263   0.531708E+04   0.310272E+01   0.198583E-01   0.761316E+02
   264   0.529605E+04   0.320041E+01   0.200015E-01   0.776185E+02
   265   0.527449E+04   0.330021E+01   0.201445E-01   0.790800E+02
   266   0.525260E+04   0.340234E+01   0.202871E-01   0.805385E+02
   267   0.523018E+04   0.350646E+01   0.204295E-01   0.819716E+02
   268   0.520736E+04   0.361294E+01   0.205715E-01   0.833942E+02
   269   0.518399E+04   0.372149E+01   0.207133E-01   0.847988E+02
   270   0.516038E+04   0.383220E+01   0.208546E-01   0.861855E+02
   271   0.513629E+04   0.394500E+01   0.209957E-01   0.875541E+02
   272   0.511196E+04   0.406021E+01   0.211363E-01   0.888973E+02
   273   0.508714E+04   0.417723E+01   0.212766E-01   0.902299E+02
   274   0.506200E+04   0.429667E+01   0.214165E-01   0.915297E+02
   275   0.503645E+04   0.441803E+01   0.215560E-01   0.928188E+02
   276   0.501065E+04   0.454153E+01   0.216951E-01   0.940750E+02
   277   0.498436E+04   0.466718E+01   0.218337E-01   0.953206E+02
   278   0.495782E+04   0.479492E+01   0.219720E-01   0.965333E+02
   279   0.493094E+04   0.492469E+01   0.221098E-01   0.977205E+02
