#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.733114E+03   0.250977E+01   0.237735E-02   0.250977E+01   0.440307E-01  -0.150980E-04   0.237735E-02  -0.150980E-04   0.628077E-07
     3   0.760276E+03   0.359169E+01   0.180288E-02   0.359169E+01   0.698062E-01  -0.183831E-04   0.180288E-02  -0.183831E-04   0.767641E-07
     4   0.765373E+03   0.384452E+01   0.138267E-02   0.384452E+01   0.755780E-01  -0.182454E-04   0.138267E-02  -0.182454E-04   0.883139E-07
     5   0.762249E+03   0.357738E+01   0.107535E-02   0.357738E+01   0.642824E-01  -0.157530E-04   0.107535E-02  -0.157530E-04   0.980781E-07
     6   0.757552E+03   0.307198E+01   0.846164E-03   0.307198E+01   0.454406E-01  -0.119106E-04   0.846164E-03  -0.119106E-04   0.106393E-06
     7   0.754434E+03   0.250826E+01   0.671858E-03   0.250826E+01   0.277947E-01  -0.761016E-05   0.671858E-03  -0.761016E-05   0.113545E-06
     8   0.753779E+03   0.199275E+01   0.532366E-03   0.199275E+01   0.157694E-01  -0.355066E-05   0.532366E-03  -0.355066E-05   0.119737E-06
     9   0.755810E+03   0.157308E+01   0.415686E-03   0.157308E+01   0.958911E-02  -0.268006E-06   0.415686E-03  -0.268006E-06   0.125132E-06
    10   0.760100E+03   0.126565E+01   0.318814E-03   0.126565E+01   0.724879E-02   0.188773E-05   0.318814E-03   0.188773E-05   0.129833E-06
    11   0.765841E+03   0.107037E+01   0.241455E-03   0.107037E+01   0.650271E-02   0.284923E-05   0.241455E-03   0.284923E-05   0.133970E-06
    12   0.773802E+03   0.975763E+00   0.180462E-03   0.975763E+00   0.603419E-02   0.283507E-05   0.180462E-03   0.283507E-05   0.137582E-06
    13   0.782612E+03   0.956152E+00   0.131936E-03   0.956152E+00   0.528642E-02   0.214595E-05   0.131936E-03   0.214595E-05   0.140733E-06
    14   0.791663E+03   0.983153E+00   0.922690E-04   0.983153E+00   0.459689E-02   0.106913E-05   0.922690E-04   0.106913E-05   0.143495E-06
    15   0.801473E+03   0.103755E+01   0.589274E-04   0.103755E+01   0.415807E-02  -0.186473E-06   0.589274E-04  -0.186473E-06   0.145909E-06
    16   0.812624E+03   0.110396E+01   0.299870E-04   0.110396E+01   0.404804E-02  -0.141557E-05   0.299870E-04  -0.141557E-05   0.148010E-06
    17   0.825123E+03   0.116991E+01   0.487637E-05   0.116991E+01   0.425273E-02  -0.234907E-05   0.487637E-05  -0.234907E-05   0.149838E-06
    18   0.838085E+03   0.122752E+01  -0.166477E-04   0.122752E+01   0.455969E-02  -0.277251E-05  -0.166477E-04  -0.277251E-05   0.151424E-06
    19   0.852381E+03   0.127752E+01  -0.348694E-04   0.127752E+01   0.490352E-02  -0.275377E-05  -0.348694E-04  -0.275377E-05   0.152784E-06
    20   0.866377E+03   0.132006E+01  -0.501440E-04   0.132006E+01   0.532020E-02  -0.243925E-05  -0.501440E-04  -0.243925E-05   0.153931E-06
    21   0.880474E+03   0.135857E+01  -0.630708E-04   0.135857E+01   0.583693E-02  -0.200711E-05  -0.630708E-04  -0.200711E-05   0.154893E-06
    22   0.894989E+03   0.139608E+01  -0.742073E-04   0.139608E+01   0.655078E-02  -0.160541E-05  -0.742073E-04  -0.160541E-05   0.155696E-06
    23   0.909747E+03   0.143549E+01  -0.837022E-04   0.143549E+01   0.748779E-02  -0.123023E-05  -0.837022E-04  -0.123023E-05   0.156351E-06
    24   0.924811E+03   0.147894E+01  -0.915484E-04   0.147894E+01   0.862143E-02  -0.864547E-06  -0.915484E-04  -0.864547E-06   0.156868E-06
    25   0.940162E+03   0.152537E+01  -0.975255E-04   0.152537E+01   0.995695E-02  -0.591085E-06  -0.975255E-04  -0.591085E-06   0.157259E-06
    26   0.955646E+03   0.157457E+01  -0.101471E-03   0.157457E+01   0.114685E-01  -0.498895E-06  -0.101471E-03  -0.498895E-06   0.157540E-06
    27   0.971494E+03   0.162550E+01  -0.103670E-03   0.162550E+01   0.131377E-01  -0.602569E-06  -0.103670E-03  -0.602569E-06   0.157721E-06
    28   0.987544E+03   0.167713E+01  -0.104565E-03   0.167713E+01   0.149722E-01  -0.871126E-06  -0.104565E-03  -0.871126E-06   0.157810E-06
    29   0.100385E+04   0.172404E+01  -0.104780E-03   0.172404E+01   0.169606E-01  -0.116572E-05  -0.104780E-03  -0.116572E-05   0.157807E-06
    30   0.102033E+04   0.176000E+01  -0.104833E-03   0.176000E+01   0.191015E-01  -0.135061E-05  -0.104833E-03  -0.135061E-05   0.157715E-06
    31   0.103689E+04   0.178624E+01  -0.104610E-03   0.178624E+01   0.214138E-01  -0.141028E-05  -0.104610E-03  -0.141028E-05   0.157547E-06
    32   0.105381E+04   0.180492E+01  -0.103908E-03   0.180492E+01   0.239044E-01  -0.137026E-05  -0.103908E-03  -0.137026E-05   0.157315E-06
    33   0.107108E+04   0.181462E+01  -0.102779E-03   0.181462E+01   0.265624E-01  -0.130010E-05  -0.102779E-03  -0.130010E-05   0.157024E-06
    34   0.108853E+04   0.181414E+01  -0.101398E-03   0.181414E+01   0.293900E-01  -0.125957E-05  -0.101398E-03  -0.125957E-05   0.156678E-06
    35   0.110613E+04   0.180365E+01  -0.100159E-03   0.180365E+01   0.324128E-01  -0.122528E-05  -0.100159E-03  -0.122528E-05   0.156280E-06
    36   0.112383E+04   0.178296E+01  -0.993437E-04   0.178296E+01   0.356630E-01  -0.115721E-05  -0.993437E-04  -0.115721E-05   0.155835E-06
    37   0.114162E+04   0.175280E+01  -0.985618E-04   0.175280E+01   0.391420E-01  -0.103206E-05  -0.985618E-04  -0.103206E-05   0.155349E-06
    38   0.115976E+04   0.171572E+01  -0.973448E-04   0.171572E+01   0.428500E-01  -0.844751E-06  -0.973448E-04  -0.844751E-06   0.154823E-06
    39   0.117826E+04   0.167153E+01  -0.955825E-04   0.167153E+01   0.467835E-01  -0.646496E-06  -0.955825E-04  -0.646496E-06   0.154261E-06
    40   0.119685E+04   0.161921E+01  -0.932541E-04   0.161921E+01   0.509437E-01  -0.502582E-06  -0.932541E-04  -0.502582E-06   0.153664E-06
    41   0.121568E+04   0.155751E+01  -0.903753E-04   0.155751E+01   0.553375E-01  -0.460635E-06  -0.903753E-04  -0.460635E-06   0.153036E-06
