#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    42   0.123450E+04   0.148533E+01  -0.871067E-04   0.148533E+01   0.599744E-01  -0.497635E-06  -0.871067E-04  -0.497635E-06   0.152378E-06
    43   0.125346E+04   0.140158E+01  -0.836451E-04   0.140158E+01   0.648642E-01  -0.572905E-06  -0.836451E-04  -0.572905E-06   0.151693E-06
    44   0.127241E+04   0.130609E+01  -0.801873E-04   0.130609E+01   0.700016E-01  -0.645764E-06  -0.801873E-04  -0.645764E-06   0.150983E-06
    45   0.129169E+04   0.119874E+01  -0.769303E-04   0.119874E+01   0.753921E-01  -0.675533E-06  -0.769303E-04  -0.675533E-06   0.150252E-06
    46   0.131125E+04   0.107766E+01  -0.740122E-04   0.107766E+01   0.810417E-01  -0.633753E-06  -0.740122E-04  -0.633753E-06   0.149502E-06
    47   0.133094E+04   0.943805E+00  -0.713368E-04   0.943805E+00   0.869453E-01  -0.540843E-06  -0.713368E-04  -0.540843E-06   0.148734E-06
    48   0.135070E+04   0.801498E+00  -0.687494E-04   0.801498E+00   0.931023E-01  -0.429442E-06  -0.687494E-04  -0.429442E-06   0.147951E-06
    49   0.137062E+04   0.654461E+00  -0.660952E-04   0.654461E+00   0.994898E-01  -0.332186E-06  -0.660952E-04  -0.332186E-06   0.147153E-06
    50   0.139094E+04   0.499636E+00  -0.632195E-04   0.499636E+00   0.106077E+00  -0.281716E-06  -0.632195E-04  -0.281716E-06   0.146343E-06
    51   0.141145E+04   0.332528E+00  -0.600183E-04   0.332528E+00   0.112833E+00  -0.300607E-06  -0.600183E-04  -0.300607E-06   0.145522E-06
    52   0.143235E+04   0.148522E+00  -0.565910E-04   0.148522E+00   0.119847E+00  -0.371193E-06  -0.565910E-04  -0.371193E-06   0.144691E-06
    53   0.145325E+04  -0.551779E-01  -0.530880E-04  -0.551779E-01   0.127272E+00  -0.465745E-06  -0.530880E-04  -0.465745E-06   0.143851E-06
    54   0.147406E+04  -0.273399E+00  -0.496595E-04  -0.273399E+00   0.135108E+00  -0.556533E-06  -0.496595E-04  -0.556533E-06   0.143003E-06
    55   0.149497E+04  -0.500854E+00  -0.464559E-04  -0.500854E+00   0.143338E+00  -0.615829E-06  -0.464559E-04  -0.615829E-06   0.142149E-06
    56   0.151621E+04  -0.738613E+00  -0.435839E-04  -0.738613E+00   0.151822E+00  -0.624315E-06  -0.435839E-04  -0.624315E-06   0.141288E-06
    57   0.153770E+04  -0.986887E+00  -0.409767E-04  -0.986887E+00   0.160451E+00  -0.596311E-06  -0.409767E-04  -0.596311E-06   0.140422E-06
    58   0.155947E+04  -0.124690E+01  -0.385237E-04  -0.124690E+01   0.169226E+00  -0.554550E-06  -0.385237E-04  -0.554550E-06   0.139551E-06
    59   0.158140E+04  -0.151990E+01  -0.361143E-04  -0.151990E+01   0.178181E+00  -0.521762E-06  -0.361143E-04  -0.521762E-06   0.138675E-06
    60   0.160350E+04  -0.180569E+01  -0.336383E-04  -0.180569E+01   0.187364E+00  -0.520681E-06  -0.336383E-04  -0.520681E-06   0.137795E-06
    61   0.162611E+04  -0.210379E+01  -0.310122E-04  -0.210379E+01   0.196866E+00  -0.567467E-06  -0.310122E-04  -0.567467E-06   0.136912E-06
    62   0.164861E+04  -0.241486E+01  -0.282610E-04  -0.241486E+01   0.206676E+00  -0.652007E-06  -0.282610E-04  -0.652007E-06   0.136026E-06
    63   0.167122E+04  -0.273948E+01  -0.254371E-04  -0.273948E+01   0.216760E+00  -0.757614E-06  -0.254371E-04  -0.757614E-06   0.135138E-06
    64   0.169422E+04  -0.307844E+01  -0.225927E-04  -0.307844E+01   0.227135E+00  -0.867605E-06  -0.225927E-04  -0.867605E-06   0.134250E-06
    65   0.171722E+04  -0.343195E+01  -0.197799E-04  -0.343195E+01   0.237783E+00  -0.965295E-06  -0.197799E-04  -0.965295E-06   0.133362E-06
    66   0.174052E+04  -0.379788E+01  -0.170434E-04  -0.379788E+01   0.248639E+00  -0.103709E-05  -0.170434E-04  -0.103709E-05   0.132475E-06
    67   0.176395E+04  -0.417388E+01  -0.143972E-04  -0.417388E+01   0.259705E+00  -0.108173E-05  -0.143972E-04  -0.108173E-05   0.131590E-06
    68   0.178778E+04  -0.455881E+01  -0.118480E-04  -0.455881E+01   0.271020E+00  -0.110108E-05  -0.118480E-04  -0.110108E-05   0.130707E-06
    69   0.181177E+04  -0.495145E+01  -0.940218E-05  -0.495145E+01   0.282542E+00  -0.109696E-05  -0.940218E-05  -0.109696E-05   0.129826E-06
    70   0.183605E+04  -0.535403E+01  -0.706632E-05  -0.535403E+01   0.294310E+00  -0.107122E-05  -0.706632E-05  -0.107122E-05   0.128947E-06
    71   0.186046E+04  -0.576932E+01  -0.483887E-05  -0.576932E+01   0.306311E+00  -0.102660E-05  -0.483887E-05  -0.102660E-05   0.128072E-06
    72   0.188505E+04  -0.619849E+01  -0.268608E-05  -0.619849E+01   0.318520E+00  -0.969481E-06  -0.268608E-05  -0.969481E-06   0.127200E-06
    73   0.190979E+04  -0.664177E+01  -0.566150E-06  -0.664177E+01   0.330903E+00  -0.907123E-06  -0.566150E-06  -0.907123E-06   0.126330E-06
    74   0.193473E+04  -0.709792E+01   0.156272E-05  -0.709792E+01   0.343449E+00  -0.846799E-06   0.156272E-05  -0.846799E-06   0.125464E-06
    75   0.195999E+04  -0.756511E+01   0.374231E-05  -0.756511E+01   0.356169E+00  -0.795783E-06   0.374231E-05  -0.795783E-06   0.124600E-06
    76   0.198554E+04  -0.804242E+01   0.600239E-05  -0.804242E+01   0.369065E+00  -0.759332E-06   0.600239E-05  -0.759332E-06   0.123739E-06
    77   0.201142E+04  -0.852964E+01   0.832448E-05  -0.852964E+01   0.382131E+00  -0.734647E-06   0.832448E-05  -0.734647E-06   0.122881E-06
    78   0.203763E+04  -0.902823E+01   0.106780E-04  -0.902823E+01   0.395397E+00  -0.716913E-06   0.106780E-04  -0.716913E-06   0.122026E-06
    79   0.206399E+04  -0.953444E+01   0.130326E-04  -0.953444E+01   0.408809E+00  -0.701320E-06   0.130326E-04  -0.701320E-06   0.121175E-06
    80   0.209059E+04  -0.100497E+02   0.153575E-04  -0.100497E+02   0.422375E+00  -0.683052E-06   0.153575E-04  -0.683052E-06   0.120328E-06
    81   0.211730E+04  -0.105746E+02   0.176255E-04  -0.105746E+02   0.436047E+00  -0.658593E-06   0.176255E-04  -0.658593E-06   0.119486E-06
    82   0.214423E+04  -0.111084E+02   0.198213E-04  -0.111084E+02   0.449847E+00  -0.629616E-06   0.198213E-04  -0.629616E-06   0.118648E-06
    83   0.217131E+04  -0.116509E+02   0.219330E-04  -0.116509E+02   0.463748E+00  -0.599088E-06   0.219330E-04  -0.599088E-06   0.117814E-06
    84   0.219865E+04  -0.122003E+02   0.239484E-04  -0.122003E+02   0.477748E+00  -0.569977E-06   0.239484E-04  -0.569977E-06   0.116986E-06
    85   0.222613E+04  -0.127581E+02   0.258556E-04  -0.127581E+02   0.491821E+00  -0.545252E-06   0.258556E-04  -0.545252E-06   0.116163E-06
    86   0.225384E+04  -0.133234E+02   0.276470E-04  -0.133234E+02   0.505978E+00  -0.527221E-06   0.276470E-04  -0.527221E-06   0.115346E-06
    87   0.228199E+04  -0.138952E+02   0.293325E-04  -0.138952E+02   0.520192E+00  -0.515560E-06   0.293325E-04  -0.515560E-06   0.114534E-06
    88   0.231013E+04  -0.144735E+02   0.309268E-04  -0.144735E+02   0.534480E+00  -0.509281E-06   0.309268E-04  -0.509281E-06   0.113727E-06
    89   0.233863E+04  -0.150599E+02   0.324441E-04  -0.150599E+02   0.548829E+00  -0.507401E-06   0.324441E-04  -0.507401E-06   0.112926E-06
    90   0.236732E+04  -0.156512E+02   0.338992E-04  -0.156512E+02   0.563205E+00  -0.508934E-06   0.338992E-04  -0.508934E-06   0.112131E-06
    91   0.239612E+04  -0.162481E+02   0.353041E-04  -0.162481E+02   0.577603E+00  -0.513031E-06   0.353041E-04  -0.513031E-06   0.111342E-06
    92   0.242518E+04  -0.168500E+02   0.366619E-04  -0.168500E+02   0.592009E+00  -0.519394E-06   0.366619E-04  -0.519394E-06   0.110558E-06
    93   0.245450E+04  -0.174570E+02   0.379734E-04  -0.174570E+02   0.606418E+00  -0.527859E-06   0.379734E-04  -0.527859E-06   0.109779E-06
    94   0.248386E+04  -0.180676E+02   0.392394E-04  -0.180676E+02   0.620794E+00  -0.538262E-06   0.392394E-04  -0.538262E-06   0.109007E-06
    95   0.251349E+04  -0.186827E+02   0.404608E-04  -0.186827E+02   0.635137E+00  -0.550443E-06   0.404608E-04  -0.550443E-06   0.108240E-06
    96   0.254309E+04  -0.193017E+02   0.416382E-04  -0.193017E+02   0.649436E+00  -0.564236E-06   0.416382E-04  -0.564236E-06   0.107479E-06
    97   0.257312E+04  -0.199239E+02   0.427726E-04  -0.199239E+02   0.663676E+00  -0.579480E-06   0.427726E-04  -0.579480E-06   0.106723E-06
    98   0.260334E+04  -0.205471E+02   0.438647E-04  -0.205471E+02   0.677851E+00  -0.596012E-06   0.438647E-04  -0.596012E-06   0.105973E-06
    99   0.263361E+04  -0.211745E+02   0.449153E-04  -0.211745E+02   0.691925E+00  -0.613669E-06   0.449153E-04  -0.613669E-06   0.105229E-06
   100   0.266416E+04  -0.218016E+02   0.459252E-04  -0.218016E+02   0.705901E+00  -0.632287E-06   0.459252E-04  -0.632287E-06   0.104491E-06
   101   0.269485E+04  -0.224316E+02   0.468952E-04  -0.224316E+02   0.719839E+00  -0.651705E-06   0.468952E-04  -0.651705E-06   0.103758E-06
   102   0.272604E+04  -0.230622E+02   0.478261E-04  -0.230622E+02   0.733592E+00  -0.671759E-06   0.478261E-04  -0.671759E-06   0.103032E-06
   103   0.275715E+04  -0.236943E+02   0.487186E-04  -0.236943E+02   0.747235E+00  -0.692286E-06   0.487186E-04  -0.692286E-06   0.102310E-06
   104   0.278847E+04  -0.243250E+02   0.495737E-04  -0.243250E+02   0.760770E+00  -0.713123E-06   0.495737E-04  -0.713123E-06   0.101595E-06
   105   0.281993E+04  -0.249560E+02   0.503921E-04  -0.249560E+02   0.774125E+00  -0.734108E-06   0.503921E-04  -0.734108E-06   0.100886E-06
   106   0.285161E+04  -0.255865E+02   0.511746E-04  -0.255865E+02   0.787374E+00  -0.755078E-06   0.511746E-04  -0.755078E-06   0.100182E-06
   107   0.288322E+04  -0.262151E+02   0.519219E-04  -0.262151E+02   0.800371E+00  -0.775869E-06   0.519219E-04  -0.775869E-06   0.994838E-07
   108   0.291519E+04  -0.268428E+02   0.526349E-04  -0.268428E+02   0.813191E+00  -0.796320E-06   0.526349E-04  -0.796320E-06   0.987916E-07
   109   0.294732E+04  -0.274680E+02   0.533144E-04  -0.274680E+02   0.825763E+00  -0.816266E-06   0.533144E-04  -0.816266E-06   0.981052E-07
   110   0.297953E+04  -0.280894E+02   0.539612E-04  -0.280894E+02   0.838086E+00  -0.835546E-06   0.539612E-04  -0.835546E-06   0.974246E-07
   111   0.301189E+04  -0.287086E+02   0.545761E-04  -0.287086E+02   0.850237E+00  -0.854016E-06   0.545761E-04  -0.854016E-06   0.967499E-07
   112   0.304441E+04  -0.293248E+02   0.551600E-04  -0.293248E+02   0.862141E+00  -0.871614E-06   0.551600E-04  -0.871614E-06   0.960809E-07
   113   0.307715E+04  -0.299365E+02   0.557140E-04  -0.299365E+02   0.873799E+00  -0.888298E-06   0.557140E-04  -0.888298E-06   0.954177E-07
   114   0.310998E+04  -0.305431E+02   0.562389E-04  -0.305431E+02   0.885136E+00  -0.904027E-06   0.562389E-04  -0.904027E-06   0.947602E-07
   115   0.314304E+04  -0.311444E+02   0.567358E-04  -0.311444E+02   0.896301E+00  -0.918757E-06   0.567358E-04  -0.918757E-06   0.941083E-07
   116   0.317609E+04  -0.317397E+02   0.572055E-04  -0.317397E+02   0.907070E+00  -0.932448E-06   0.572055E-04  -0.932448E-06   0.934621E-07
   117   0.320945E+04  -0.323283E+02   0.576492E-04  -0.323283E+02   0.917519E+00  -0.945056E-06   0.576492E-04  -0.945056E-06   0.928216E-07
   118   0.324296E+04  -0.329110E+02   0.580676E-04  -0.329110E+02   0.927795E+00  -0.956540E-06   0.580676E-04  -0.956540E-06   0.921866E-07
   119   0.327647E+04  -0.334854E+02   0.584619E-04  -0.334854E+02   0.937751E+00  -0.966858E-06   0.584619E-04  -0.966858E-06   0.915572E-07
   120   0.331013E+04  -0.340516E+02   0.588330E-04  -0.340516E+02   0.947237E+00  -0.975968E-06   0.588330E-04  -0.975968E-06   0.909333E-07
   121   0.334379E+04  -0.346095E+02   0.591818E-04  -0.346095E+02   0.956551E+00  -0.983827E-06   0.591818E-04  -0.983827E-06   0.903148E-07
   122   0.337752E+04  -0.351585E+02   0.595093E-04  -0.351585E+02   0.965395E+00  -0.990394E-06   0.595093E-04  -0.990394E-06   0.897019E-07
   123   0.341133E+04  -0.356986E+02   0.598165E-04  -0.356986E+02   0.973844E+00  -0.995626E-06   0.598165E-04  -0.995626E-06   0.890943E-07
   124   0.344521E+04  -0.362266E+02   0.601043E-04  -0.362266E+02   0.981972E+00  -0.999482E-06   0.601043E-04  -0.999482E-06   0.884921E-07
   125   0.347908E+04  -0.367449E+02   0.603737E-04  -0.367449E+02   0.989705E+00  -0.100192E-05   0.603737E-04  -0.100192E-05   0.878953E-07
   126   0.351303E+04  -0.372528E+02   0.606257E-04  -0.372528E+02   0.997117E+00  -0.100290E-05   0.606257E-04  -0.100290E-05   0.873038E-07
   127   0.354697E+04  -0.377494E+02   0.608612E-04  -0.377494E+02   0.100406E+01  -0.100237E-05   0.608612E-04  -0.100237E-05   0.867176E-07
   128   0.358090E+04  -0.382340E+02   0.610812E-04  -0.382340E+02   0.101068E+01  -0.100030E-05   0.610812E-04  -0.100030E-05   0.861366E-07
   129   0.361491E+04  -0.387059E+02   0.612867E-04  -0.387059E+02   0.101683E+01  -0.996641E-06   0.612867E-04  -0.996641E-06   0.855608E-07
   130   0.364890E+04  -0.391643E+02   0.614787E-04  -0.391643E+02   0.102251E+01  -0.991354E-06   0.614787E-04  -0.991354E-06   0.849903E-07
   131   0.368289E+04  -0.396107E+02   0.616579E-04  -0.396107E+02   0.102787E+01  -0.984428E-06   0.616579E-04  -0.984428E-06   0.844248E-07
   132   0.371695E+04  -0.400422E+02   0.618248E-04  -0.400422E+02   0.103276E+01  -0.975981E-06   0.618248E-04  -0.975981E-06   0.838645E-07
   133   0.375093E+04  -0.404610E+02   0.619798E-04  -0.404610E+02   0.103725E+01  -0.966160E-06   0.619798E-04  -0.966160E-06   0.833092E-07
   134   0.378490E+04  -0.408627E+02   0.621231E-04  -0.408627E+02   0.104135E+01  -0.955116E-06   0.621231E-04  -0.955116E-06   0.827590E-07
   135   0.381887E+04  -0.412503E+02   0.622550E-04  -0.412503E+02   0.104496E+01  -0.942998E-06   0.622550E-04  -0.942998E-06   0.822137E-07
   136   0.385268E+04  -0.416201E+02   0.623759E-04  -0.416201E+02   0.104810E+01  -0.929954E-06   0.623759E-04  -0.929954E-06   0.816733E-07
   137   0.388650E+04  -0.419744E+02   0.624861E-04  -0.419744E+02   0.105083E+01  -0.916134E-06   0.624861E-04  -0.916134E-06   0.811378E-07
   138   0.392024E+04  -0.423118E+02   0.625858E-04  -0.423118E+02   0.105308E+01  -0.901687E-06   0.625858E-04  -0.901687E-06   0.806071E-07
   139   0.395376E+04  -0.426314E+02   0.626754E-04  -0.426314E+02   0.105500E+01  -0.886762E-06   0.626754E-04  -0.886762E-06   0.800812E-07
   140   0.398735E+04  -0.429341E+02   0.627552E-04  -0.429341E+02   0.105636E+01  -0.871509E-06   0.627552E-04  -0.871509E-06   0.795601E-07
   141   0.402073E+04  -0.432177E+02   0.628255E-04  -0.432177E+02   0.105724E+01  -0.856076E-06   0.628255E-04  -0.856076E-06   0.790436E-07
   142   0.405411E+04  -0.434830E+02   0.628866E-04  -0.434830E+02   0.105770E+01  -0.840612E-06   0.628866E-04  -0.840612E-06   0.785318E-07
   143   0.408741E+04  -0.437300E+02   0.629388E-04  -0.437300E+02   0.105775E+01  -0.825267E-06   0.629388E-04  -0.825267E-06   0.780246E-07
   144   0.412050E+04  -0.439580E+02   0.629825E-04  -0.439580E+02   0.105731E+01  -0.810190E-06   0.629825E-04  -0.810190E-06   0.775220E-07
   145   0.415345E+04  -0.441663E+02   0.630178E-04  -0.441663E+02   0.105653E+01  -0.795530E-06   0.630178E-04  -0.795530E-06   0.770239E-07
   146   0.418648E+04  -0.443548E+02   0.630453E-04  -0.443548E+02   0.105518E+01  -0.781436E-06   0.630453E-04  -0.781436E-06   0.765302E-07
   147   0.421915E+04  -0.445222E+02   0.630651E-04  -0.445222E+02   0.105348E+01  -0.768057E-06   0.630651E-04  -0.768057E-06   0.760410E-07
   148   0.425168E+04  -0.446700E+02   0.630775E-04  -0.446700E+02   0.105129E+01  -0.755542E-06   0.630775E-04  -0.755542E-06   0.755561E-07
   149   0.428414E+04  -0.447967E+02   0.630830E-04  -0.447967E+02   0.104867E+01  -0.744041E-06   0.630830E-04  -0.744041E-06   0.750755E-07
   150   0.431632E+04  -0.449002E+02   0.630817E-04  -0.449002E+02   0.104571E+01  -0.733702E-06   0.630817E-04  -0.733702E-06   0.745993E-07
   151   0.434836E+04  -0.449833E+02   0.630739E-04  -0.449833E+02   0.104231E+01  -0.724637E-06   0.630739E-04  -0.724637E-06   0.741273E-07
   152   0.438012E+04  -0.450447E+02   0.630596E-04  -0.450447E+02   0.103842E+01  -0.716799E-06   0.630596E-04  -0.716799E-06   0.736595E-07
   153   0.441174E+04  -0.450820E+02   0.630385E-04  -0.450820E+02   0.103416E+01  -0.710103E-06   0.630385E-04  -0.710103E-06   0.731958E-07
   154   0.444317E+04  -0.450975E+02   0.630104E-04  -0.450975E+02   0.102954E+01  -0.704467E-06   0.630104E-04  -0.704467E-06   0.727363E-07
   155   0.447438E+04  -0.450903E+02   0.629751E-04  -0.450903E+02   0.102456E+01  -0.699804E-06   0.629751E-04  -0.699804E-06   0.722809E-07
   156   0.450525E+04  -0.450605E+02   0.629325E-04  -0.450605E+02   0.101920E+01  -0.696031E-06   0.629325E-04  -0.696031E-06   0.718296E-07
   157   0.453607E+04  -0.450065E+02   0.628823E-04  -0.450065E+02   0.101348E+01  -0.693064E-06   0.628823E-04  -0.693064E-06   0.713823E-07
   158   0.456661E+04  -0.449291E+02   0.628244E-04  -0.449291E+02   0.100745E+01  -0.690818E-06   0.628244E-04  -0.690818E-06   0.709390E-07
   159   0.459689E+04  -0.448282E+02   0.627586E-04  -0.448282E+02   0.100096E+01  -0.689208E-06   0.627586E-04  -0.689208E-06   0.704996E-07
   160   0.462697E+04  -0.447023E+02   0.626847E-04  -0.447023E+02   0.994171E+00  -0.688150E-06   0.626847E-04  -0.688150E-06   0.700642E-07
   161   0.465685E+04  -0.445529E+02   0.626024E-04  -0.445529E+02   0.987140E+00  -0.687560E-06   0.626024E-04  -0.687560E-06   0.696327E-07
   162   0.468647E+04  -0.443799E+02   0.625117E-04  -0.443799E+02   0.979719E+00  -0.687354E-06   0.625117E-04  -0.687354E-06   0.692051E-07
   163   0.471598E+04  -0.441818E+02   0.624123E-04  -0.441818E+02   0.971979E+00  -0.687446E-06   0.624123E-04  -0.687446E-06   0.687813E-07
   164   0.474507E+04  -0.439601E+02   0.623040E-04  -0.439601E+02   0.963990E+00  -0.687754E-06   0.623040E-04  -0.687754E-06   0.683613E-07
   165   0.477406E+04  -0.437125E+02   0.621867E-04  -0.437125E+02   0.955674E+00  -0.688191E-06   0.621867E-04  -0.688191E-06   0.679450E-07
   166   0.480279E+04  -0.434405E+02   0.620601E-04  -0.434405E+02   0.947177E+00  -0.688674E-06   0.620601E-04  -0.688674E-06   0.675325E-07
   167   0.483133E+04  -0.431447E+02   0.619241E-04  -0.431447E+02   0.938273E+00  -0.689119E-06   0.619241E-04  -0.689119E-06   0.671237E-07
   168   0.485947E+04  -0.428230E+02   0.617785E-04  -0.428230E+02   0.929328E+00  -0.689441E-06   0.617785E-04  -0.689441E-06   0.667185E-07
   169   0.488736E+04  -0.424753E+02   0.616230E-04  -0.424753E+02   0.920044E+00  -0.689555E-06   0.616230E-04  -0.689555E-06   0.663170E-07
   170   0.491499E+04  -0.421031E+02   0.614575E-04  -0.421031E+02   0.910638E+00  -0.689377E-06   0.614575E-04  -0.689377E-06   0.659191E-07
   171   0.494223E+04  -0.417040E+02   0.612818E-04  -0.417040E+02   0.901109E+00  -0.688824E-06   0.612818E-04  -0.688824E-06   0.655247E-07
   172   0.496915E+04  -0.412796E+02   0.610958E-04  -0.412796E+02   0.891377E+00  -0.687809E-06   0.610958E-04  -0.687809E-06   0.651338E-07
   173   0.499567E+04  -0.408298E+02   0.608991E-04  -0.408298E+02   0.881439E+00  -0.686250E-06   0.608991E-04  -0.686250E-06   0.647465E-07
   174   0.502195E+04  -0.403546E+02   0.606917E-04  -0.403546E+02   0.871590E+00  -0.684061E-06   0.606917E-04  -0.684061E-06   0.643626E-07
   175   0.504791E+04  -0.398533E+02   0.604733E-04  -0.398533E+02   0.861528E+00  -0.681159E-06   0.604733E-04  -0.681159E-06   0.639821E-07
   176   0.507341E+04  -0.393257E+02   0.602439E-04  -0.393257E+02   0.851472E+00  -0.677478E-06   0.602439E-04  -0.677478E-06   0.636050E-07
   177   0.509859E+04  -0.387733E+02   0.600039E-04  -0.387733E+02   0.841345E+00  -0.673028E-06   0.600039E-04  -0.673028E-06   0.632313E-07
