#           k/h    P           
 0.99999997E-04 0.21547472E+03
 0.10202013E-03 0.21982671E+03
 0.10408108E-03 0.22427341E+03
 0.10618366E-03 0.22881725E+03
 0.10832871E-03 0.23346075E+03
 0.11051710E-03 0.23820653E+03
 0.11274968E-03 0.24305725E+03
 0.11502737E-03 0.24801570E+03
 0.11735109E-03 0.25308475E+03
 0.11972173E-03 0.25826733E+03
 0.12214028E-03 0.26356659E+03
 0.12460767E-03 0.26898569E+03
 0.12712492E-03 0.27452786E+03
 0.12969300E-03 0.28019656E+03
 0.13231297E-03 0.28599533E+03
 0.13498588E-03 0.29192776E+03
 0.13771278E-03 0.29799771E+03
 0.14049475E-03 0.30420898E+03
 0.14333293E-03 0.31056570E+03
 0.14622846E-03 0.31707208E+03
 0.14918247E-03 0.32373242E+03
 0.15219615E-03 0.33055130E+03
 0.15527071E-03 0.33753333E+03
 0.15840739E-03 0.34468338E+03
 0.16160744E-03 0.35200650E+03
 0.16487212E-03 0.35950784E+03
 0.16820275E-03 0.36719281E+03
 0.17160067E-03 0.37506705E+03
 0.17506724E-03 0.38313626E+03
 0.17860383E-03 0.39140652E+03
 0.18221186E-03 0.39988400E+03
 0.18589280E-03 0.40857520E+03
 0.18964807E-03 0.41748676E+03
 0.19347922E-03 0.42662561E+03
 0.19738778E-03 0.43599893E+03
 0.20137527E-03 0.44561417E+03
 0.20544330E-03 0.45547897E+03
 0.20959355E-03 0.46560138E+03
 0.21382760E-03 0.47598959E+03
 0.21814722E-03 0.48665219E+03
 0.22255408E-03 0.49759793E+03
 0.22704997E-03 0.50883597E+03
 0.23163669E-03 0.52037579E+03
 0.23631606E-03 0.53222723E+03
 0.24108996E-03 0.54440021E+03
 0.24596031E-03 0.55690521E+03
 0.25092901E-03 0.56975299E+03
 0.25599814E-03 0.58295471E+03
 0.26116965E-03 0.59652185E+03
 0.26644560E-03 0.61046613E+03
 0.27182818E-03 0.62479968E+03
 0.27731949E-03 0.63953503E+03
 0.28292168E-03 0.65468524E+03
 0.28863709E-03 0.67026355E+03
 0.29446793E-03 0.68628345E+03
 0.30041661E-03 0.70275891E+03
 0.30648540E-03 0.71970428E+03
 0.31267683E-03 0.73713464E+03
 0.31899329E-03 0.75506494E+03
 0.32543740E-03 0.77351056E+03
 0.33201167E-03 0.79248724E+03
 0.33871876E-03 0.81201117E+03
 0.34556136E-03 0.83209912E+03
 0.35254212E-03 0.85276794E+03
 0.35966394E-03 0.87403467E+03
 0.36692963E-03 0.89591663E+03
 0.37434211E-03 0.91843170E+03
 0.38190430E-03 0.94159833E+03
 0.38961932E-03 0.96543475E+03
 0.39749016E-03 0.98995947E+03
 0.40552000E-03 0.10151911E+04
 0.41371203E-03 0.10411489E+04
 0.42206954E-03 0.10678524E+04
 0.43059592E-03 0.10953210E+04
 0.43929456E-03 0.11235742E+04
 0.44816890E-03 0.11526315E+04
