#           k/h    P           
 0.99999997E-04 0.29916644E+03
 0.10202013E-03 0.30515875E+03
 0.10408108E-03 0.31127844E+03
 0.10618366E-03 0.31752863E+03
 0.10832871E-03 0.32391248E+03
 0.11051710E-03 0.33043332E+03
 0.11274968E-03 0.33709454E+03
 0.11502737E-03 0.34389960E+03
 0.11735109E-03 0.35085211E+03
 0.11972173E-03 0.35795581E+03
 0.12214028E-03 0.36521454E+03
 0.12460767E-03 0.37263220E+03
 0.12712492E-03 0.38021289E+03
 0.12969300E-03 0.38796078E+03
 0.13231297E-03 0.39588025E+03
 0.13498588E-03 0.40397574E+03
 0.13771278E-03 0.41225189E+03
 0.14049475E-03 0.42071338E+03
 0.14333293E-03 0.42936517E+03
 0.14622846E-03 0.43821231E+03
 0.14918247E-03 0.44726004E+03
 0.15219615E-03 0.45651373E+03
 0.15527071E-03 0.46597894E+03
 0.15840739E-03 0.47566141E+03
 0.16160744E-03 0.48556705E+03
 0.16487212E-03 0.49570200E+03
 0.16820275E-03 0.50607251E+03
 0.17160067E-03 0.51668506E+03
 0.17506724E-03 0.52754639E+03
 0.17860383E-03 0.53866339E+03
 0.18221186E-03 0.55004321E+03
 0.18589280E-03 0.56169305E+03
 0.18964807E-03 0.57362067E+03
 0.19347922E-03 0.58583374E+03
 0.19738778E-03 0.59834027E+03
 0.20137527E-03 0.61114856E+03
 0.20544330E-03 0.62426709E+03
 0.20959355E-03 0.63770459E+03
 0.21382760E-03 0.65147021E+03
 0.21814722E-03 0.66557300E+03
 0.22255408E-03 0.68002264E+03
 0.22704997E-03 0.69482874E+03
 0.23163669E-03 0.71000153E+03
 0.23631606E-03 0.72555133E+03
 0.24108996E-03 0.74148859E+03
 0.24596031E-03 0.75782416E+03
 0.25092901E-03 0.77456915E+03
 0.25599814E-03 0.79173511E+03
 0.26116965E-03 0.80933368E+03
 0.26644560E-03 0.82737671E+03
 0.27182818E-03 0.84587628E+03
 0.27731949E-03 0.86484497E+03
 0.28292168E-03 0.88429559E+03
 0.28863709E-03 0.90424121E+03
 0.29446793E-03 0.92469489E+03
 0.30041661E-03 0.94567004E+03
 0.30648540E-03 0.96718054E+03
 0.31267683E-03 0.98924048E+03
 0.31899329E-03 0.10118641E+04
 0.32543740E-03 0.10350657E+04
 0.33201167E-03 0.10588597E+04
 0.33871876E-03 0.10832612E+04
 0.34556136E-03 0.11082853E+04
 0.35254212E-03 0.11339471E+04
 0.35966394E-03 0.11602621E+04
 0.36692963E-03 0.11872455E+04
 0.37434211E-03 0.12149131E+04
 0.38190430E-03 0.12432808E+04
 0.38961932E-03 0.12723646E+04
 0.39749016E-03 0.13021804E+04
 0.40552000E-03 0.13327441E+04
 0.41371203E-03 0.13640720E+04
 0.42206954E-03 0.13961805E+04
 0.43059592E-03 0.14290858E+04
 0.43929456E-03 0.14628042E+04
 0.44816890E-03 0.14973517E+04
 0.45722249E-03 0.15327445E+04
 0.46645897E-03 0.15689993E+04
 0.47588209E-03 0.16061320E+04
 0.48549555E-03 0.16441586E+04
 0.49530319E-03 0.16830953E+04
 0.50530903E-03 0.17229583E+04
 0.51551696E-03 0.17637633E+04
 0.52593107E-03 0.18055262E+04
 0.53655554E-03 0.18482628E+04
 0.54739468E-03 0.18919886E+04
 0.55845280E-03 0.19367191E+04
 0.56973431E-03 0.19824694E+04
 0.58124372E-03 0.20292549E+04
 0.59298560E-03 0.20770906E+04
 0.60496473E-03 0.21259917E+04
 0.61718578E-03 0.21759727E+04
 0.62965375E-03 0.22270483E+04
 0.64237369E-03 0.22792327E+04
 0.65535045E-03 0.23325405E+04
 0.66858943E-03 0.23869863E+04
 0.68209582E-03 0.24425837E+04
 0.69587503E-03 0.24993467E+04
 0.70993265E-03 0.25572886E+04
 0.72427420E-03 0.26164238E+04
 0.73890563E-03 0.26767661E+04
 0.75383246E-03 0.27383286E+04
 0.76906086E-03 0.28011245E+04
 0.78459689E-03 0.28651670E+04
 0.80044678E-03 0.29304700E+04
 0.81661687E-03 0.29970469E+04
 0.83311368E-03 0.30649106E+04
 0.84994361E-03 0.31340737E+04
 0.86711359E-03 0.32045496E+04
 0.88463066E-03 0.32763513E+04
 0.90250134E-03 0.33494927E+04
 0.92073303E-03 0.34239861E+04
 0.93933311E-03 0.34998442E+04
 0.95830887E-03 0.35770801E+04
 0.97766798E-03 0.36557075E+04
 0.99741819E-03 0.37357400E+04
 0.10175674E-02 0.38171904E+04
 0.10381236E-02 0.39000715E+04
 0.10590950E-02 0.39843970E+04
 0.10804901E-02 0.40701802E+04
 0.11023175E-02 0.41574346E+04
 0.11245857E-02 0.42461738E+04
 0.11473041E-02 0.43364102E+04
 0.11704812E-02 0.44281572E+04
 0.11941264E-02 0.45214292E+04
 0.12182494E-02 0.46162397E+04
 0.12428596E-02 0.47126021E+04
 0.12679670E-02 0.48105293E+04
 0.12935817E-02 0.49100356E+04
 0.13197137E-02 0.50111343E+04
 0.13463736E-02 0.51138389E+04
 0.13735722E-02 0.52181636E+04
 0.14013201E-02 0.53241211E+04
 0.14296286E-02 0.54317251E+04
 0.14585090E-02 0.55409883E+04
 0.14879731E-02 0.56519248E+04
 0.15180323E-02 0.57645474E+04
 0.15486985E-02 0.58788682E+04
 0.15799842E-02 0.59949009E+04
 0.16119020E-02 0.61126567E+04
 0.16444647E-02 0.62321494E+04
 0.16776850E-02 0.63533901E+04
 0.17115764E-02 0.64763906E+04
 0.17461524E-02 0.66011626E+04
 0.17814270E-02 0.67277168E+04
 0.18174142E-02 0.68560640E+04
 0.18541284E-02 0.69862139E+04
 0.18915841E-02 0.71181763E+04
 0.19297971E-02 0.72519609E+04
 0.19687817E-02 0.73875762E+04
 0.20085536E-02 0.75250293E+04
 0.20491290E-02 0.76643281E+04
 0.20905242E-02 0.78054800E+04
 0.21327557E-02 0.79484907E+04
 0.21758399E-02 0.80933662E+04
 0.22197948E-02 0.82401123E+04
 0.22646377E-02 0.83887324E+04
 0.23103864E-02 0.85392305E+04
 0.23570592E-02 0.86916084E+04
 0.24046749E-02 0.88458672E+04
 0.24532524E-02 0.90020049E+04
 0.25028118E-02 0.91600225E+04
 0.25533722E-02 0.93199160E+04
 0.26049537E-02 0.94816826E+04
 0.26575772E-02 0.96453154E+04
 0.27112637E-02 0.98108105E+04
 0.27660348E-02 0.99781602E+04
 0.28219123E-02 0.10147355E+05
 0.28789188E-02 0.10318386E+05
 0.29370766E-02 0.10491240E+05
 0.29964095E-02 0.10665906E+05
 0.30569409E-02 0.10842368E+05
 0.31186952E-02 0.11020611E+05
 0.31816978E-02 0.11200616E+05
 0.32459723E-02 0.11382364E+05
 0.33115451E-02 0.11565834E+05
 0.33784427E-02 0.11751001E+05
 0.34466919E-02 0.11937841E+05
 0.35163197E-02 0.12126326E+05
 0.35873537E-02 0.12316427E+05
 0.36598232E-02 0.12508112E+05
 0.37337563E-02 0.12701349E+05
 0.38091831E-02 0.12896100E+05
 0.38861334E-02 0.13092328E+05
 0.39646388E-02 0.13289990E+05
 0.40447293E-02 0.13489044E+05
 0.41264393E-02 0.13689442E+05
 0.42097992E-02 0.13891138E+05
 0.42948425E-02 0.14094080E+05
 0.43816040E-02 0.14298215E+05
 0.44701183E-02 0.14503488E+05
 0.45604203E-02 0.14709843E+05
 0.46525472E-02 0.14917217E+05
 0.47465344E-02 0.15125541E+05
 0.48424210E-02 0.15334743E+05
 0.49402444E-02 0.15544745E+05
 0.50400435E-02 0.15755470E+05
 0.51418589E-02 0.15966840E+05
 0.52457317E-02 0.16178784E+05
 0.53517036E-02 0.16391234E+05
 0.54598148E-02 0.16604119E+05
 0.55701104E-02 0.16817367E+05
 0.56826337E-02 0.17030891E+05
 0.57974309E-02 0.17244570E+05
 0.59145465E-02 0.17458273E+05
 0.60340283E-02 0.17671865E+05
 0.61559235E-02 0.17885205E+05
 0.62802811E-02 0.18098158E+05
 0.64071510E-02 0.18310615E+05
 0.65365843E-02 0.18522469E+05
 0.66686315E-02 0.18733607E+05
 0.68033468E-02 0.18943922E+05
 0.69407835E-02 0.19153289E+05
 0.70809964E-02 0.19361568E+05
 0.72240415E-02 0.19568615E+05
 0.73699774E-02 0.19774275E+05
 0.75188605E-02 0.19978398E+05
 0.76707508E-02 0.20180828E+05
 0.78257136E-02 0.20381400E+05
 0.79838037E-02 0.20579949E+05
 0.81450874E-02 0.20776309E+05
 0.83096288E-02 0.20970307E+05
 0.84774951E-02 0.21161770E+05
 0.86487513E-02 0.21350514E+05
 0.88234674E-02 0.21536355E+05
 0.90017123E-02 0.21719107E+05
 0.91835596E-02 0.21898582E+05
 0.93690790E-02 0.22074584E+05
 0.95583471E-02 0.22246908E+05
 0.97514391E-02 0.22415348E+05
 0.99484306E-02 0.22579689E+05
 0.10149402E-01 0.22739727E+05
 0.10354433E-01 0.22895244E+05
 0.10563606E-01 0.23046025E+05
 0.10777006E-01 0.23191848E+05
 0.10994715E-01 0.23332494E+05
 0.11216822E-01 0.23467744E+05
 0.11443418E-01 0.23597361E+05
 0.11674589E-01 0.23721078E+05
 0.11910431E-01 0.23838619E+05
 0.12151038E-01 0.23949715E+05
 0.12396505E-01 0.24054092E+05
 0.12646930E-01 0.24151529E+05
 0.12902415E-01 0.24241877E+05
 0.13163067E-01 0.24325004E+05
 0.13428980E-01 0.24400783E+05
 0.13700262E-01 0.24469086E+05
 0.13977026E-01 0.24529600E+05
 0.14259379E-01 0.24581684E+05
 0.14547437E-01 0.24624670E+05
 0.14841316E-01 0.24657893E+05
 0.15141129E-01 0.24680707E+05
 0.15447001E-01 0.24693205E+05
 0.15759049E-01 0.24696635E+05
 0.16077405E-01 0.24692359E+05
 0.16402189E-01 0.24681746E+05
 0.16733535E-01 0.24666141E+05
 0.17071573E-01 0.24645469E+05
 0.17416442E-01 0.24617543E+05
 0.17768279E-01 0.24580023E+05
