#           k/h    P           
 0.18127220E-01 0.24530588E+05
 0.18493414E-01 0.24466979E+05
 0.18867005E-01 0.24388000E+05
 0.19248145E-01 0.24293920E+05
 0.19636983E-01 0.24185145E+05
 0.20033674E-01 0.24062096E+05
 0.20438381E-01 0.23925227E+05
 0.20851264E-01 0.23775199E+05
 0.21272486E-01 0.23612945E+05
 0.21702228E-01 0.23439410E+05
 0.22140643E-01 0.23255537E+05
 0.22587912E-01 0.23062256E+05
 0.23044219E-01 0.22860113E+05
 0.23509743E-01 0.22649213E+05
 0.23984671E-01 0.22429645E+05
 0.24469191E-01 0.22201512E+05
 0.24963502E-01 0.21964934E+05
 0.25467798E-01 0.21719824E+05
 0.25982281E-01 0.21465885E+05
 0.26507158E-01 0.21202834E+05
 0.27042639E-01 0.20930439E+05
 0.27588934E-01 0.20648520E+05
 0.28146267E-01 0.20357250E+05
 0.28714858E-01 0.20057164E+05
 0.29294936E-01 0.19748826E+05
 0.29886734E-01 0.19432801E+05
 0.30490484E-01 0.19109680E+05
 0.31106433E-01 0.18780541E+05
 0.31734824E-01 0.18446930E+05
 0.32375909E-01 0.18110342E+05
 0.33029947E-01 0.17772186E+05
 0.33697195E-01 0.17433779E+05
 0.34377921E-01 0.17095986E+05
 0.35072401E-01 0.16759279E+05
 0.35780910E-01 0.16424080E+05
 0.36503751E-01 0.16090794E+05
 0.37241172E-01 0.15759819E+05
 0.37993494E-01 0.15431896E+05
 0.38761012E-01 0.15108041E+05
 0.39544035E-01 0.14789199E+05
 0.40342879E-01 0.14476236E+05
 0.41157857E-01 0.14169938E+05
 0.41989300E-01 0.13871006E+05
 0.42837542E-01 0.13580055E+05
 0.43702915E-01 0.13297641E+05
 0.44585772E-01 0.13024260E+05
 0.45486465E-01 0.12760350E+05
 0.46405349E-01 0.12506205E+05
 0.47342800E-01 0.12262005E+05
 0.48299186E-01 0.12027902E+05
 0.49274892E-01 0.11804027E+05
 0.50270312E-01 0.11590446E+05
 0.51285837E-01 0.11386881E+05
 0.52321881E-01 0.11192928E+05
 0.53378850E-01 0.11008201E+05
 0.54457176E-01 0.10832329E+05
 0.55557281E-01 0.10664614E+05
 0.56679614E-01 0.10504024E+05
 0.57824615E-01 0.10349568E+05
 0.58992747E-01 0.10200303E+05
 0.60184479E-01 0.10055145E+05
 0.61400317E-01 0.99128623E+04
 0.62640682E-01 0.97722812E+04
 0.63906111E-01 0.96322012E+04
 0.65197095E-01 0.94907432E+04
 0.66514164E-01 0.93457666E+04
 0.67857832E-01 0.91952822E+04
 0.69228657E-01 0.90385742E+04
 0.70627168E-01 0.88768594E+04
 0.72053924E-01 0.87114756E+04
 0.73509507E-01 0.85424180E+04
 0.74994497E-01 0.83657236E+04
 0.76509491E-01 0.81770259E+04
 0.78055084E-01 0.79737793E+04
 0.79631895E-01 0.77583613E+04
 0.81240565E-01 0.75340386E+04
 0.82881734E-01 0.73033218E+04
 0.84556051E-01 0.70673306E+04
 0.86264193E-01 0.68270332E+04
 0.88006847E-01 0.65842383E+04
 0.89784704E-01 0.63414678E+04
 0.91598473E-01 0.61010913E+04
 0.93448877E-01 0.58656104E+04
 0.95336676E-01 0.56373149E+04
 0.97262599E-01 0.54184058E+04
 0.99227436E-01 0.52109883E+04
 0.10123201E+00 0.50168174E+04
 0.10327702E+00 0.48372139E+04
 0.10536335E+00 0.46728574E+04
 0.10749183E+00 0.45242197E+04
 0.10966332E+00 0.43915039E+04
 0.11187866E+00 0.42737358E+04
 0.11413875E+00 0.41696372E+04
 0.11644451E+00 0.40778845E+04
 0.11879683E+00 0.39960593E+04
 0.12119669E+00 0.39214849E+04
 0.12364503E+00 0.38515134E+04
 0.12614281E+00 0.37829980E+04
 0.12869108E+00 0.37128477E+04
 0.13129081E+00 0.36383086E+04
 0.13394305E+00 0.35570361E+04
 0.13664888E+00 0.34670815E+04
 0.13940936E+00 0.33676677E+04
 0.14222562E+00 0.32586802E+04
 0.14509876E+00 0.31409775E+04
 0.14802995E+00 0.30165959E+04
 0.15102035E+00 0.28879023E+04
 0.15407117E+00 0.27582456E+04
 0.15718360E+00 0.26308606E+04
 0.16035892E+00 0.25090581E+04
 0.16359837E+00 0.23957605E+04
 0.16690327E+00 0.22930786E+04
 0.17027503E+00 0.22024905E+04
 0.17371480E+00 0.21242354E+04
 0.17722408E+00 0.20577961E+04
 0.18080424E+00 0.20014615E+04
 0.18445672E+00 0.19529059E+04
 0.18818299E+00 0.19090636E+04
 0.19198453E+00 0.18667130E+04
 0.19586287E+00 0.18227007E+04
 0.19981956E+00 0.17744500E+04
 0.20385619E+00 0.17203025E+04
 0.20797436E+00 0.16598397E+04
 0.21217570E+00 0.15937811E+04
 0.21646193E+00 0.15241056E+04
 0.22083476E+00 0.14534369E+04
 0.22529592E+00 0.13847242E+04
 0.22984719E+00 0.13206451E+04
 0.23449039E+00 0.12631484E+04
 0.23922741E+00 0.12132109E+04
 0.24406013E+00 0.11705962E+04
 0.24899045E+00 0.11340403E+04
 0.25402039E+00 0.11014893E+04
 0.25915194E+00 0.10704780E+04
 0.26438716E+00 0.10387037E+04
 0.26972812E+00 0.10045147E+04
 0.27517700E+00 0.96725726E+03
 0.28073606E+00 0.92740045E+03
 0.28640729E+00 0.88635339E+03
 0.29219311E+00 0.84600208E+03
 0.29809579E+00 0.80815112E+03
 0.30411756E+00 0.77403076E+03
 0.31026131E+00 0.74399561E+03
 0.31652883E+00 0.71748773E+03
 0.32292327E+00 0.69326660E+03
 0.32944661E+00 0.66983966E+03
 0.33610201E+00 0.64595978E+03
 0.34289157E+00 0.62102008E+03
 0.34981859E+00 0.59520258E+03
 0.35688522E+00 0.56931879E+03
 0.36409497E+00 0.54441754E+03
 0.37145033E+00 0.52133441E+03
 0.37895393E+00 0.50037170E+03
 0.38660949E+00 0.48123294E+03
 0.39441931E+00 0.46321146E+03
 0.40238729E+00 0.44555786E+03
 0.41051584E+00 0.42780746E+03
 0.41880903E+00 0.40996210E+03
 0.42726934E+00 0.39240457E+03
 0.43590093E+00 0.37563058E+03
 0.44470647E+00 0.35995712E+03
 0.45369038E+00 0.34536526E+03
 0.46285531E+00 0.33156137E+03
 0.47220579E+00 0.31822540E+03
 0.48174477E+00 0.30530362E+03
 0.49147689E+00 0.29279645E+03
 0.50140512E+00 0.28070306E+03
 0.51153439E+00 0.26902127E+03
 0.52186781E+00 0.25774774E+03
 0.53241050E+00 0.24687811E+03
 0.54316562E+00 0.23640706E+03
 0.55413854E+00 0.22632840E+03
 0.56533259E+00 0.21663524E+03
 0.57675338E+00 0.20732004E+03
 0.58840430E+00 0.19837466E+03
 0.60029107E+00 0.18979054E+03
 0.61241806E+00 0.18155870E+03
 0.62478942E+00 0.17366980E+03
 0.63741124E+00 0.16611427E+03
 0.65028751E+00 0.15888214E+03
 0.66342449E+00 0.15196069E+03
 0.67682624E+00 0.14533604E+03
 0.69049937E+00 0.13899490E+03
 0.70444804E+00 0.13292470E+03
 0.71867913E+00 0.12711341E+03
 0.73319703E+00 0.12154963E+03
 0.74800897E+00 0.11622250E+03
 0.76311934E+00 0.11112166E+03
 0.77853578E+00 0.10623726E+03
 0.79426283E+00 0.10155992E+03
 0.81030840E+00 0.97080688E+02
 0.82667732E+00 0.92791046E+02
 0.84337759E+00 0.88682854E+02
 0.86041462E+00 0.84748367E+02
 0.87779653E+00 0.80980194E+02
 0.89552867E+00 0.77371262E+02
 0.91362000E+00 0.73914948E+02
 0.93207598E+00 0.70605286E+02
 0.95090556E+00 0.67436600E+02
 0.97011465E+00 0.64403404E+02
 0.98971266E+00 0.61500393E+02
 0.10097067E+01 0.58722443E+02
 0.10301036E+01 0.56064587E+02
 0.10509136E+01 0.53522041E+02
 0.10721428E+01 0.51090179E+02
 0.10938021E+01 0.48764538E+02
 0.11158978E+01 0.46540810E+02
 0.11384410E+01 0.44414837E+02
 0.11614385E+01 0.42382610E+02
 0.11849015E+01 0.40440273E+02
 0.12088375E+01 0.38584099E+02
 0.12332582E+01 0.36810505E+02
 0.12581712E+01 0.35116039E+02
 0.12835884E+01 0.33497326E+02
 0.13095180E+01 0.31951065E+02
 0.13359727E+01 0.30474085E+02
 0.13629605E+01 0.29063351E+02
 0.13904947E+01 0.27715963E+02
 0.14185839E+01 0.26429144E+02
 0.14472418E+01 0.25200235E+02
 0.14764773E+01 0.24026699E+02
 0.15063047E+01 0.22906101E+02
 0.15367334E+01 0.21836113E+02
 0.15677782E+01 0.20814510E+02
 0.15994486E+01 0.19839161E+02
 0.16317604E+01 0.18908030E+02
 0.16647232E+01 0.18019163E+02
 0.16983536E+01 0.17170696E+02
 0.17326634E+01 0.16360847E+02
 0.17676648E+01 0.15587909E+02
 0.18033748E+01 0.14850305E+02
 0.18398044E+01 0.14146546E+02
 0.18769718E+01 0.13475200E+02
 0.19148883E+01 0.12834882E+02
 0.19535724E+01 0.12224260E+02
 0.19930363E+01 0.11642052E+02
 0.20332992E+01 0.11087019E+02
 0.20743735E+01 0.10557975E+02
 0.21162796E+01 0.10053775E+02
 0.21590302E+01 0.95733185E+01
 0.22026465E+01 0.91155510E+01
 0.22471418E+01 0.86794558E+01
 0.22925382E+01 0.82640591E+01
 0.23388493E+01 0.78684249E+01
 0.23860984E+01 0.74916573E+01
 0.24342995E+01 0.71328945E+01
