#    L    TT             EE             BB             TE          
    62   0.165044E+04   0.207660E+00   0.103394E-02  -0.241866E+01
    63   0.167307E+04   0.217773E+00   0.106757E-02  -0.274334E+01
    64   0.169609E+04   0.228178E+00   0.110173E-02  -0.308236E+01
    65   0.171912E+04   0.238854E+00   0.113642E-02  -0.343592E+01
    66   0.174244E+04   0.249740E+00   0.117163E-02  -0.380189E+01
    67   0.176589E+04   0.260836E+00   0.120738E-02  -0.417790E+01
    68   0.178974E+04   0.272181E+00   0.124366E-02  -0.456281E+01
    69   0.181375E+04   0.283732E+00   0.128048E-02  -0.495543E+01
    70   0.183806E+04   0.295530E+00   0.131783E-02  -0.535795E+01
    71   0.186250E+04   0.307562E+00   0.135571E-02  -0.577317E+01
    72   0.188711E+04   0.319801E+00   0.139414E-02  -0.620223E+01
    73   0.191187E+04   0.332214E+00   0.143311E-02  -0.664539E+01
    74   0.193684E+04   0.344790E+00   0.147263E-02  -0.710139E+01
    75   0.196213E+04   0.357540E+00   0.151269E-02  -0.756841E+01
    76   0.198770E+04   0.370466E+00   0.155330E-02  -0.804552E+01
    77   0.201360E+04   0.383563E+00   0.159446E-02  -0.853251E+01
    78   0.203985E+04   0.396859E+00   0.163618E-02  -0.903084E+01
    79   0.206623E+04   0.410301E+00   0.167846E-02  -0.953676E+01
    80   0.209285E+04   0.423898E+00   0.172130E-02  -0.100517E+02
    81   0.211959E+04   0.437600E+00   0.176471E-02  -0.105763E+02
    82   0.214654E+04   0.451430E+00   0.180868E-02  -0.111097E+02
    83   0.217365E+04   0.465361E+00   0.185322E-02  -0.116517E+02
    84   0.220102E+04   0.479391E+00   0.189834E-02  -0.122007E+02
    85   0.222852E+04   0.493494E+00   0.194404E-02  -0.127580E+02
    86   0.225625E+04   0.507681E+00   0.199032E-02  -0.133227E+02
    87   0.228442E+04   0.521925E+00   0.203718E-02  -0.138940E+02
    88   0.231259E+04   0.536242E+00   0.208463E-02  -0.144718E+02
    89   0.234111E+04   0.550621E+00   0.213266E-02  -0.150575E+02
    90   0.236982E+04   0.565027E+00   0.218130E-02  -0.156481E+02
    91   0.239864E+04   0.579455E+00   0.223052E-02  -0.162443E+02
    92   0.242772E+04   0.593891E+00   0.228035E-02  -0.168454E+02
    93   0.245706E+04   0.608329E+00   0.233078E-02  -0.174516E+02
    94   0.248644E+04   0.622735E+00   0.238181E-02  -0.180613E+02
    95   0.251609E+04   0.637108E+00   0.243344E-02  -0.186756E+02
    96   0.254570E+04   0.651436E+00   0.248569E-02  -0.192936E+02
    97   0.257574E+04   0.665705E+00   0.253855E-02  -0.199148E+02
    98   0.260597E+04   0.679910E+00   0.259202E-02  -0.205370E+02
    99   0.263626E+04   0.694015E+00   0.264611E-02  -0.211633E+02
   100   0.266683E+04   0.708021E+00   0.270081E-02  -0.217892E+02
   101   0.269752E+04   0.721988E+00   0.275614E-02  -0.224179E+02
   102   0.272872E+04   0.735771E+00   0.281208E-02  -0.230473E+02
   103   0.275984E+04   0.749445E+00   0.286866E-02  -0.236781E+02
   104   0.279116E+04   0.763011E+00   0.292586E-02  -0.243075E+02
   105   0.282263E+04   0.776396E+00   0.298368E-02  -0.249370E+02
   106   0.285431E+04   0.789677E+00   0.304214E-02  -0.255660E+02
   107   0.288592E+04   0.802705E+00   0.310124E-02  -0.261932E+02
   108   0.291789E+04   0.815558E+00   0.316096E-02  -0.268192E+02
   109   0.295002E+04   0.828161E+00   0.322133E-02  -0.274428E+02
   110   0.298222E+04   0.840517E+00   0.328234E-02  -0.280626E+02
   111   0.301458E+04   0.852701E+00   0.334399E-02  -0.286800E+02
   112   0.304709E+04   0.864640E+00   0.340628E-02  -0.292944E+02
   113   0.307983E+04   0.876332E+00   0.346923E-02  -0.299043E+02
   114   0.311265E+04   0.887705E+00   0.353282E-02  -0.305089E+02
   115   0.314569E+04   0.898906E+00   0.359708E-02  -0.311082E+02
   116   0.317874E+04   0.909712E+00   0.366199E-02  -0.317015E+02
   117   0.321208E+04   0.920199E+00   0.372757E-02  -0.322880E+02
   118   0.324558E+04   0.930515E+00   0.379381E-02  -0.328685E+02
   119   0.327907E+04   0.940510E+00   0.386073E-02  -0.334408E+02
   120   0.331271E+04   0.950038E+00   0.392832E-02  -0.340047E+02
   121   0.334635E+04   0.959394E+00   0.399659E-02  -0.345604E+02
   122   0.338006E+04   0.968282E+00   0.406556E-02  -0.351070E+02
   123   0.341384E+04   0.976776E+00   0.413521E-02  -0.356446E+02
   124   0.344769E+04   0.984951E+00   0.420557E-02  -0.361702E+02
   125   0.348154E+04   0.992732E+00   0.427663E-02  -0.366860E+02
   126   0.351546E+04   0.100019E+01   0.434840E-02  -0.371913E+02
   127   0.354937E+04   0.100719E+01   0.442089E-02  -0.376852E+02
   128   0.358327E+04   0.101386E+01   0.449411E-02  -0.381672E+02
   129   0.361724E+04   0.102007E+01   0.456806E-02  -0.386364E+02
   130   0.365120E+04   0.102581E+01   0.464275E-02  -0.390920E+02
   131   0.368515E+04   0.103123E+01   0.471819E-02  -0.395356E+02
   132   0.371917E+04   0.103618E+01   0.479439E-02  -0.399643E+02
   133   0.375310E+04   0.104074E+01   0.487135E-02  -0.403802E+02
   134   0.378703E+04   0.104490E+01   0.494910E-02  -0.407790E+02
   135   0.382096E+04   0.104858E+01   0.502762E-02  -0.411636E+02
   136   0.385473E+04   0.105179E+01   0.510694E-02  -0.415304E+02
   137   0.388849E+04   0.105460E+01   0.518706E-02  -0.418817E+02
   138   0.392218E+04   0.105693E+01   0.526799E-02  -0.422160E+02
   139   0.395565E+04   0.105893E+01   0.534974E-02  -0.425325E+02
   140   0.398919E+04   0.106038E+01   0.543232E-02  -0.428321E+02
   141   0.402251E+04   0.106134E+01   0.551574E-02  -0.431126E+02
   142   0.405582E+04   0.106190E+01   0.560000E-02  -0.433747E+02
   143   0.408907E+04   0.106204E+01   0.568513E-02  -0.436185E+02
   144   0.412210E+04   0.106170E+01   0.577112E-02  -0.438432E+02
   145   0.415498E+04   0.106102E+01   0.585798E-02  -0.440483E+02
   146   0.418794E+04   0.105978E+01   0.594573E-02  -0.442336E+02
   147   0.422054E+04   0.105819E+01   0.603437E-02  -0.443978E+02
   148   0.425299E+04   0.105611E+01   0.612392E-02  -0.445423E+02
   149   0.428538E+04   0.105361E+01   0.621436E-02  -0.446657E+02
   150   0.431748E+04   0.105077E+01   0.630573E-02  -0.447659E+02
   151   0.434945E+04   0.104751E+01   0.639802E-02  -0.448458E+02
   152   0.438112E+04   0.104374E+01   0.649123E-02  -0.449039E+02
   153   0.441267E+04   0.103962E+01   0.658538E-02  -0.449379E+02
   154   0.444400E+04   0.103515E+01   0.668048E-02  -0.449501E+02
   155   0.447513E+04   0.103031E+01   0.677652E-02  -0.449397E+02
   156   0.450591E+04   0.102511E+01   0.687351E-02  -0.449067E+02
   157   0.453663E+04   0.101954E+01   0.697146E-02  -0.448495E+02
   158   0.456708E+04   0.101367E+01   0.707037E-02  -0.447689E+02
   159   0.459725E+04   0.100735E+01   0.717024E-02  -0.446649E+02
   160   0.462723E+04   0.100073E+01   0.727108E-02  -0.445359E+02
   161   0.465702E+04   0.993883E+00   0.737289E-02  -0.443834E+02
   162   0.468653E+04   0.986646E+00   0.747567E-02  -0.442073E+02
   163   0.471593E+04   0.979096E+00   0.757942E-02  -0.440062E+02
   164   0.474492E+04   0.971303E+00   0.768414E-02  -0.437815E+02
   165   0.477379E+04   0.963190E+00   0.778984E-02  -0.435310E+02
   166   0.480240E+04   0.954901E+00   0.789651E-02  -0.432561E+02
   167   0.483083E+04   0.946211E+00   0.800415E-02  -0.429576E+02
   168   0.485885E+04   0.937488E+00   0.811277E-02  -0.426331E+02
   169   0.488661E+04   0.928430E+00   0.822235E-02  -0.422827E+02
   170   0.491413E+04   0.919258E+00   0.833290E-02  -0.419078E+02
   171   0.494124E+04   0.909968E+00   0.844441E-02  -0.415062E+02
   172   0.496803E+04   0.900483E+00   0.855689E-02  -0.410793E+02
   173   0.499442E+04   0.890799E+00   0.867032E-02  -0.406271E+02
   174   0.502057E+04   0.881209E+00   0.878471E-02  -0.401496E+02
   175   0.504639E+04   0.871413E+00   0.890004E-02  -0.396460E+02
   176   0.507176E+04   0.861631E+00   0.901632E-02  -0.391163E+02
   177   0.509680E+04   0.851784E+00   0.913354E-02  -0.385618E+02
   178   0.512145E+04   0.842089E+00   0.925170E-02  -0.379811E+02
   179   0.514570E+04   0.832244E+00   0.937078E-02  -0.373741E+02
   180   0.516971E+04   0.822468E+00   0.949079E-02  -0.367421E+02
   181   0.519325E+04   0.812756E+00   0.961172E-02  -0.360852E+02
   182   0.521639E+04   0.803177E+00   0.973356E-02  -0.354016E+02
   183   0.523906E+04   0.793652E+00   0.985631E-02  -0.346930E+02
   184   0.526139E+04   0.784250E+00   0.997996E-02  -0.339584E+02
   185   0.528333E+04   0.775116E+00   0.101045E-01  -0.331999E+02
   186   0.530450E+04   0.766102E+00   0.102299E-01  -0.324146E+02
   187   0.532556E+04   0.757346E+00   0.103562E-01  -0.316039E+02
   188   0.534614E+04   0.748828E+00   0.104834E-01  -0.307692E+02
   189   0.536616E+04   0.740579E+00   0.106115E-01  -0.299088E+02
   190   0.538607E+04   0.732647E+00   0.107404E-01  -0.290251E+02
   191   0.540513E+04   0.725050E+00   0.108702E-01  -0.281149E+02
   192   0.542386E+04   0.717804E+00   0.110008E-01  -0.271803E+02
   193   0.544203E+04   0.710949E+00   0.111323E-01  -0.262228E+02
   194   0.545986E+04   0.704511E+00   0.112646E-01  -0.252402E+02
   195   0.547713E+04   0.698521E+00   0.113977E-01  -0.242345E+02
   196   0.549383E+04   0.693011E+00   0.115317E-01  -0.232049E+02
   197   0.551012E+04   0.688021E+00   0.116664E-01  -0.221528E+02
   198   0.552592E+04   0.683568E+00   0.118020E-01  -0.210775E+02
   199   0.554123E+04   0.679685E+00   0.119384E-01  -0.199796E+02
   200   0.555605E+04   0.676396E+00   0.120756E-01  -0.188597E+02
   201   0.557030E+04   0.673756E+00   0.122136E-01  -0.177171E+02
   202   0.558405E+04   0.671773E+00   0.123523E-01  -0.165531E+02
   203   0.559724E+04   0.670505E+00   0.124918E-01  -0.153670E+02
   204   0.560978E+04   0.669976E+00   0.126321E-01  -0.141616E+02
   205   0.562182E+04   0.670229E+00   0.127732E-01  -0.129346E+02
   206   0.563323E+04   0.671302E+00   0.129150E-01  -0.116872E+02
   207   0.564413E+04   0.673218E+00   0.130576E-01  -0.104198E+02
   208   0.565432E+04   0.676028E+00   0.132009E-01  -0.913285E+01
   209   0.566393E+04   0.679756E+00   0.133449E-01  -0.782657E+01
   210   0.567297E+04   0.684452E+00   0.134896E-01  -0.650182E+01
   211   0.568144E+04   0.690147E+00   0.136351E-01  -0.515856E+01
   212   0.568918E+04   0.696871E+00   0.137812E-01  -0.379766E+01
   213   0.569643E+04   0.704667E+00   0.139281E-01  -0.241900E+01
   214   0.570303E+04   0.713530E+00   0.140756E-01  -0.102370E+01
   215   0.570905E+04   0.723651E+00   0.142238E-01   0.387579E+00
   216   0.571442E+04   0.734845E+00   0.143727E-01   0.181543E+01
   217   0.571930E+04   0.747269E+00   0.145222E-01   0.325794E+01
   218   0.572352E+04   0.760922E+00   0.146723E-01   0.471540E+01
   219   0.572716E+04   0.775804E+00   0.148231E-01   0.618885E+01
   220   0.573023E+04   0.792063E+00   0.149744E-01   0.767393E+01
   221   0.573272E+04   0.809626E+00   0.151264E-01   0.917294E+01
   222   0.573463E+04   0.828641E+00   0.152789E-01   0.106845E+02
   223   0.573582E+04   0.849033E+00   0.154320E-01   0.122093E+02
   224   0.573657E+04   0.870803E+00   0.155857E-01   0.137439E+02
   225   0.573668E+04   0.894099E+00   0.157399E-01   0.152913E+02
   226   0.573620E+04   0.918920E+00   0.158946E-01   0.168478E+02
   227   0.573506E+04   0.945267E+00   0.160498E-01   0.184149E+02
   228   0.573342E+04   0.973140E+00   0.162055E-01   0.199914E+02
   229   0.573120E+04   0.100261E+01   0.163616E-01   0.215758E+02
   230   0.572832E+04   0.103369E+01   0.165182E-01   0.231689E+02
   231   0.572479E+04   0.106643E+01   0.166752E-01   0.247700E+02
   232   0.572074E+04   0.110078E+01   0.168327E-01   0.263778E+02
   233   0.571611E+04   0.113694E+01   0.169905E-01   0.279908E+02
   234   0.571075E+04   0.117479E+01   0.171486E-01   0.296099E+02
   235   0.570488E+04   0.121437E+01   0.173072E-01   0.312336E+02
   236   0.569836E+04   0.125571E+01   0.174660E-01   0.328621E+02
   237   0.569124E+04   0.129887E+01   0.176251E-01   0.344940E+02
   238   0.568354E+04   0.134392E+01   0.177845E-01   0.361293E+02
   239   0.567533E+04   0.139072E+01   0.179442E-01   0.377673E+02
   240   0.566638E+04   0.143934E+01   0.181041E-01   0.394060E+02
   241   0.565700E+04   0.148993E+01   0.182642E-01   0.410461E+02
   242   0.564702E+04   0.154234E+01   0.184245E-01   0.426870E+02
   243   0.563646E+04   0.159672E+01   0.185849E-01   0.443273E+02
   244   0.562531E+04   0.165299E+01   0.187455E-01   0.459678E+02
   245   0.561357E+04   0.171123E+01   0.189062E-01   0.476057E+02
   246   0.560132E+04   0.177144E+01   0.190670E-01   0.492424E+02
   247   0.558855E+04   0.183355E+01   0.192278E-01   0.508759E+02
   248   0.557519E+04   0.189791E+01   0.193887E-01   0.525062E+02
   249   0.556138E+04   0.196403E+01   0.195497E-01   0.541327E+02
   250   0.554699E+04   0.203233E+01   0.197106E-01   0.557540E+02
   251   0.553215E+04   0.210253E+01   0.198715E-01   0.573709E+02
   252   0.551664E+04   0.217485E+01   0.200324E-01   0.589819E+02
   253   0.550084E+04   0.224909E+01   0.201932E-01   0.605855E+02
   254   0.548444E+04   0.232554E+01   0.203539E-01   0.621817E+02
   255   0.546752E+04   0.240393E+01   0.205146E-01   0.637704E+02
   256   0.545014E+04   0.248463E+01   0.206750E-01   0.653518E+02
   257   0.543232E+04   0.256721E+01   0.208354E-01   0.669175E+02
   258   0.541396E+04   0.265205E+01   0.209956E-01   0.684803E+02
   259   0.539516E+04   0.273900E+01   0.211556E-01   0.700251E+02
   260   0.537597E+04   0.282809E+01   0.213154E-01   0.715670E+02
   261   0.535624E+04   0.291925E+01   0.214749E-01   0.730835E+02
   262   0.533599E+04   0.301270E+01   0.216342E-01   0.745970E+02
   263   0.531557E+04   0.310824E+01   0.217933E-01   0.761000E+02
   264   0.529454E+04   0.320595E+01   0.219521E-01   0.775850E+02
   265   0.527297E+04   0.330577E+01   0.221106E-01   0.790447E+02
   266   0.525109E+04   0.340792E+01   0.222688E-01   0.805013E+02
   267   0.522866E+04   0.351205E+01   0.224267E-01   0.819326E+02
   268   0.520585E+04   0.361854E+01   0.225842E-01   0.833532E+02
   269   0.518249E+04   0.372710E+01   0.227414E-01   0.847559E+02
   270   0.515888E+04   0.383782E+01   0.228982E-01   0.861406E+02
   271   0.513479E+04   0.395062E+01   0.230546E-01   0.875073E+02
   272   0.511046E+04   0.406583E+01   0.232106E-01   0.888486E+02
   273   0.508565E+04   0.418285E+01   0.233663E-01   0.901792E+02
   274   0.506052E+04   0.430228E+01   0.235215E-01   0.914770E+02
   275   0.503498E+04   0.442363E+01   0.236762E-01   0.927642E+02
   276   0.500918E+04   0.454711E+01   0.238306E-01   0.940184E+02
   277   0.498291E+04   0.467275E+01   0.239844E-01   0.952620E+02
   278   0.495637E+04   0.480047E+01   0.241378E-01   0.964727E+02
   279   0.492949E+04   0.493021E+01   0.242907E-01   0.976578E+02
   280   0.490228E+04   0.506199E+01   0.244432E-01   0.988323E+02
   281   0.487488E+04   0.519588E+01   0.245951E-01   0.999738E+02
   282   0.484700E+04   0.533160E+01   0.247465E-01   0.101090E+03
   283   0.481891E+04   0.546938E+01   0.248973E-01   0.102180E+03
   284   0.479056E+04   0.560917E+01   0.250477E-01   0.103245E+03
   285   0.476194E+04   0.575095E+01   0.251974E-01   0.104284E+03
   286   0.473297E+04   0.589461E+01   0.253467E-01   0.105291E+03
   287   0.470373E+04   0.604015E+01   0.254953E-01   0.106279E+03
   288   0.467429E+04   0.618758E+01   0.256434E-01   0.107234E+03
   289   0.464458E+04   0.633683E+01   0.257908E-01   0.108164E+03
   290   0.461466E+04   0.648777E+01   0.259377E-01   0.109067E+03
   291   0.458453E+04   0.664114E+01   0.260840E-01   0.109931E+03
   292   0.455390E+04   0.679586E+01   0.262296E-01   0.110776E+03
   293   0.452336E+04   0.695155E+01   0.263746E-01   0.111581E+03
   294   0.449246E+04   0.710971E+01   0.265189E-01   0.112367E+03
   295   0.446157E+04   0.726886E+01   0.266626E-01   0.113113E+03
   296   0.443032E+04   0.743050E+01   0.268056E-01   0.113834E+03
   297   0.439893E+04   0.759242E+01   0.269480E-01   0.114528E+03
   298   0.436726E+04   0.775685E+01   0.270896E-01   0.115183E+03
   299   0.433551E+04   0.792305E+01   0.272306E-01   0.115804E+03
   300   0.430354E+04   0.808956E+01   0.273708E-01   0.116391E+03
   301   0.427143E+04   0.825787E+01   0.275103E-01   0.116954E+03
   302   0.423925E+04   0.842724E+01   0.276491E-01   0.117490E+03
   303   0.420692E+04   0.859843E+01   0.277872E-01   0.117986E+03
   304   0.417444E+04   0.877144E+01   0.279245E-01   0.118440E+03
   305   0.414189E+04   0.894480E+01   0.280610E-01   0.118868E+03
   306   0.410920E+04   0.911925E+01   0.281968E-01   0.119263E+03
   307   0.407643E+04   0.929481E+01   0.283318E-01   0.119616E+03
   308   0.404360E+04   0.947297E+01   0.284660E-01   0.119950E+03
   309   0.401076E+04   0.965076E+01   0.285994E-01   0.120234E+03
   310   0.397778E+04   0.982894E+01   0.287321E-01   0.120492E+03
   311   0.394480E+04   0.100097E+02   0.288639E-01   0.120708E+03
   312   0.391183E+04   0.101902E+02   0.289949E-01   0.120896E+03
   313   0.387878E+04   0.103718E+02   0.291251E-01   0.121043E+03
   314   0.384573E+04   0.105546E+02   0.292545E-01   0.121161E+03
   315   0.381269E+04   0.107371E+02   0.293830E-01   0.121238E+03
   316   0.377965E+04   0.109207E+02   0.295108E-01   0.121279E+03
   317   0.374661E+04   0.111040E+02   0.296377E-01   0.121284E+03
   318   0.371358E+04   0.112893E+02   0.297637E-01   0.121254E+03
   319   0.368062E+04   0.114743E+02   0.298890E-01   0.121189E+03
   320   0.364773E+04   0.116598E+02   0.300133E-01   0.121095E+03
   321   0.361485E+04   0.118465E+02   0.301369E-01   0.120958E+03
   322   0.358205E+04   0.120322E+02   0.302596E-01   0.120784E+03
   323   0.354932E+04   0.122183E+02   0.303815E-01   0.120575E+03
   324   0.351667E+04   0.124058E+02   0.305026E-01   0.120322E+03
   325   0.348417E+04   0.125907E+02   0.306228E-01   0.120047E+03
   326   0.345167E+04   0.127777E+02   0.307422E-01   0.119720E+03
   327   0.341932E+04   0.129645E+02   0.308608E-01   0.119364E+03
   328   0.338712E+04   0.131503E+02   0.309785E-01   0.118979E+03
   329   0.335500E+04   0.133367E+02   0.310955E-01   0.118549E+03
   330   0.332303E+04   0.135221E+02   0.312117E-01   0.118082E+03
   331   0.329128E+04   0.137074E+02   0.313270E-01   0.117585E+03
   332   0.325961E+04   0.138932E+02   0.314416E-01   0.117058E+03
   333   0.322809E+04   0.140781E+02   0.315554E-01   0.116494E+03
   334   0.319679E+04   0.142629E+02   0.316685E-01   0.115891E+03
   335   0.316557E+04   0.144460E+02   0.317808E-01   0.115251E+03
   336   0.313457E+04   0.146290E+02   0.318923E-01   0.114580E+03
   337   0.310379E+04   0.148119E+02   0.320031E-01   0.113863E+03
   338   0.307317E+04   0.149932E+02   0.321132E-01   0.113123E+03
   339   0.304284E+04   0.151751E+02   0.322226E-01   0.112345E+03
   340   0.301267E+04   0.153554E+02   0.323314E-01   0.111542E+03
   341   0.298264E+04   0.155342E+02   0.324394E-01   0.110694E+03
   342   0.295291E+04   0.157136E+02   0.325468E-01   0.109814E+03
   343   0.292340E+04   0.158907E+02   0.326535E-01   0.108902E+03
   344   0.289419E+04   0.160670E+02   0.327596E-01   0.107958E+03
   345   0.286513E+04   0.162418E+02   0.328651E-01   0.106983E+03
   346   0.283637E+04   0.164165E+02   0.329700E-01   0.105983E+03
   347   0.280783E+04   0.165889E+02   0.330743E-01   0.104943E+03
   348   0.277958E+04   0.167599E+02   0.331781E-01   0.103871E+03
   349   0.275156E+04   0.169301E+02   0.332813E-01   0.102766E+03
   350   0.272384E+04   0.170980E+02   0.333839E-01   0.101636E+03
   351   0.269656E+04   0.172652E+02   0.334861E-01   0.100474E+03
   352   0.266936E+04   0.174309E+02   0.335878E-01   0.992780E+02
   353   0.264253E+04   0.175944E+02   0.336889E-01   0.980643E+02
   354   0.261592E+04   0.177563E+02   0.337897E-01   0.968099E+02
   355   0.258970E+04   0.179168E+02   0.338899E-01   0.955297E+02
   356   0.256378E+04   0.180756E+02   0.339898E-01   0.942311E+02
   357   0.253816E+04   0.182322E+02   0.340892E-01   0.928989E+02
   358   0.251293E+04   0.183858E+02   0.341883E-01   0.915480E+02
   359   0.248793E+04   0.185378E+02   0.342870E-01   0.901634E+02
   360   0.246331E+04   0.186882E+02   0.343853E-01   0.887562E+02
   361   0.243900E+04   0.188362E+02   0.344833E-01   0.873217E+02
   362   0.241509E+04   0.189820E+02   0.345810E-01   0.858628E+02
   363   0.239148E+04   0.191261E+02   0.346783E-01   0.843817E+02
   364   0.236827E+04   0.192664E+02   0.347754E-01   0.828745E+02
   365   0.234538E+04   0.194050E+02   0.348722E-01   0.813470E+02
   366   0.232287E+04   0.195413E+02   0.349687E-01   0.797962E+02
   367   0.230077E+04   0.196737E+02   0.350651E-01   0.782241E+02
   368   0.227891E+04   0.198044E+02   0.351611E-01   0.766322E+02
   369   0.225760E+04   0.199327E+02   0.352570E-01   0.750180E+02
   370   0.223661E+04   0.200578E+02   0.353527E-01   0.733868E+02
   371   0.221595E+04   0.201798E+02   0.354482E-01   0.717346E+02
   372   0.219569E+04   0.202993E+02   0.355436E-01   0.700658E+02
   373   0.217583E+04   0.204157E+02   0.356388E-01   0.683773E+02
   374   0.215638E+04   0.205296E+02   0.357339E-01   0.666727E+02
   375   0.213727E+04   0.206402E+02   0.358289E-01   0.649518E+02
   376   0.211863E+04   0.207484E+02   0.359238E-01   0.632147E+02
   377   0.210041E+04   0.208526E+02   0.360187E-01   0.614640E+02
   378   0.208252E+04   0.209535E+02   0.361135E-01   0.596968E+02
   379   0.206505E+04   0.210520E+02   0.362082E-01   0.579174E+02
   380   0.204807E+04   0.211479E+02   0.363029E-01   0.561234E+02
   381   0.203142E+04   0.212375E+02   0.363976E-01   0.543177E+02
   382   0.201513E+04   0.213261E+02   0.364924E-01   0.525008E+02
   383   0.199932E+04   0.214107E+02   0.365871E-01   0.506713E+02
   384   0.198401E+04   0.214912E+02   0.366819E-01   0.488327E+02
   385   0.196897E+04   0.215699E+02   0.367768E-01   0.469833E+02
   386   0.195443E+04   0.216445E+02   0.368717E-01   0.451254E+02
   387   0.194025E+04   0.217151E+02   0.369668E-01   0.432587E+02
   388   0.192649E+04   0.217823E+02   0.370620E-01   0.413846E+02
   389   0.191316E+04   0.218439E+02   0.371573E-01   0.395031E+02
   390   0.190025E+04   0.219051E+02   0.372528E-01   0.376162E+02
   391   0.188778E+04   0.219614E+02   0.373484E-01   0.357223E+02
   392   0.187567E+04   0.220159E+02   0.374443E-01   0.338243E+02
   393   0.186407E+04   0.220655E+02   0.375404E-01   0.319213E+02
   394   0.185283E+04   0.221116E+02   0.376367E-01   0.300154E+02
   395   0.184195E+04   0.221537E+02   0.377333E-01   0.281049E+02
