#    L    TT             EE             BB             TE          
     2   0.644061E+03   0.447938E-01   0.151264E-05   0.317868E+01
     3   0.723578E+03   0.704243E-01   0.302593E-05   0.409415E+01
     4   0.748181E+03   0.760255E-01   0.504465E-05   0.415137E+01
     5   0.753482E+03   0.645763E-01   0.756967E-05   0.374483E+01
     6   0.752939E+03   0.456155E-01   0.106020E-04   0.315565E+01
     7   0.752177E+03   0.278890E-01   0.141430E-04   0.254639E+01
     8   0.753042E+03   0.158161E-01   0.181939E-04   0.200754E+01
     9   0.756083E+03   0.961310E-02   0.227564E-04   0.157690E+01
    10   0.761022E+03   0.726680E-02   0.278322E-04   0.126590E+01
    11   0.767190E+03   0.652464E-02   0.334232E-04   0.107080E+01
    12   0.775461E+03   0.606451E-02   0.395313E-04   0.976517E+00
    13   0.784493E+03   0.532674E-02   0.461587E-04   0.956594E+00
    14   0.793691E+03   0.464701E-02   0.533075E-04   0.982808E+00
    15   0.803586E+03   0.421757E-02   0.609800E-04   0.103679E+01
    16   0.814778E+03   0.411670E-02   0.691783E-04   0.110378E+01
    17   0.827293E+03   0.433046E-02   0.779048E-04   0.117042E+01
    18   0.840259E+03   0.464655E-02   0.871619E-04   0.122786E+01
    19   0.854549E+03   0.499993E-02   0.969516E-04   0.127729E+01
    20   0.868522E+03   0.542690E-02   0.107276E-03   0.131952E+01
    21   0.882584E+03   0.595466E-02   0.118138E-03   0.135809E+01
    22   0.897064E+03   0.668015E-02   0.129540E-03   0.139595E+01
    23   0.911782E+03   0.762932E-02   0.141482E-03   0.143573E+01
    24   0.926805E+03   0.877549E-02   0.153968E-03   0.147927E+01
    25   0.942116E+03   0.101239E-01   0.166999E-03   0.152561E+01
    26   0.957565E+03   0.116488E-01   0.180576E-03   0.157463E+01
    27   0.973381E+03   0.133318E-01   0.194701E-03   0.162537E+01
    28   0.989403E+03   0.151806E-01   0.209376E-03   0.167682E+01
    29   0.100568E+04   0.171839E-01   0.224601E-03   0.172359E+01
    30   0.102214E+04   0.193404E-01   0.240378E-03   0.175945E+01
    31   0.103868E+04   0.216689E-01   0.256707E-03   0.178563E+01
    32   0.105558E+04   0.241764E-01   0.273588E-03   0.180425E+01
    33   0.107283E+04   0.268518E-01   0.291023E-03   0.181387E+01
    34   0.109026E+04   0.296972E-01   0.309011E-03   0.181328E+01
    35   0.110784E+04   0.327385E-01   0.327553E-03   0.180266E+01
    36   0.112553E+04   0.360075E-01   0.346648E-03   0.178185E+01
    37   0.114330E+04   0.395059E-01   0.366296E-03   0.175161E+01
    38   0.116143E+04   0.432338E-01   0.386496E-03   0.171450E+01
    39   0.117992E+04   0.471876E-01   0.407248E-03   0.167030E+01
    40   0.119851E+04   0.513687E-01   0.428550E-03   0.161794E+01
    41   0.121733E+04   0.557838E-01   0.450402E-03   0.155618E+01
    42   0.123615E+04   0.604424E-01   0.472803E-03   0.148389E+01
    43   0.125511E+04   0.653543E-01   0.495751E-03   0.140001E+01
    44   0.127405E+04   0.705143E-01   0.519245E-03   0.130437E+01
    45   0.129334E+04   0.759279E-01   0.543284E-03   0.119688E+01
    46   0.131290E+04   0.816010E-01   0.567866E-03   0.107567E+01
    47   0.133258E+04   0.875286E-01   0.592990E-03   0.941702E+00
    48   0.135235E+04   0.937100E-01   0.618654E-03   0.799278E+00
    49   0.137227E+04   0.100122E+00   0.644857E-03   0.652117E+00
    50   0.139260E+04   0.106735E+00   0.671597E-03   0.497155E+00
    51   0.141311E+04   0.113516E+00   0.698872E-03   0.329891E+00
    52   0.143402E+04   0.120556E+00   0.726682E-03   0.145719E+00
    53   0.145494E+04   0.128007E+00   0.755025E-03  -0.581484E-01
    54   0.147576E+04   0.135869E+00   0.783900E-03  -0.276527E+00
    55   0.149668E+04   0.144126E+00   0.813305E-03  -0.504117E+00
    56   0.151793E+04   0.152638E+00   0.843240E-03  -0.741985E+00
    57   0.153943E+04   0.161294E+00   0.873704E-03  -0.990343E+00
    58   0.156122E+04   0.170097E+00   0.904696E-03  -0.125042E+01
    59   0.158317E+04   0.179080E+00   0.936217E-03  -0.152348E+01
    60   0.160530E+04   0.188292E+00   0.968264E-03  -0.180934E+01
    61   0.162792E+04   0.197822E+00   0.100084E-02  -0.210751E+01
