#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105040E-04   0.138208E+08   0.138208E+08   0.184147E+08   0.184143E+08   0.138229E+08   0.138208E+08   0.138208E+08   0.138262E+08  -0.442307E+00   0.883587E+07   0.883587E+07   0.565646E+01
   0.116035E-04   0.138212E+08   0.138212E+08   0.184122E+08   0.184118E+08   0.138232E+08   0.138212E+08   0.138212E+08   0.138266E+08  -0.442318E+00   0.883595E+07   0.883595E+07   0.624833E+01
   0.128180E-04   0.138216E+08   0.138216E+08   0.184093E+08   0.184087E+08   0.138236E+08   0.138216E+08   0.138216E+08   0.138270E+08  -0.442331E+00   0.883605E+07   0.883605E+07   0.690208E+01
   0.141597E-04   0.138221E+08   0.138221E+08   0.184057E+08   0.184050E+08   0.138242E+08   0.138221E+08   0.138221E+08   0.138275E+08  -0.442348E+00   0.883618E+07   0.883618E+07   0.762417E+01
   0.156418E-04   0.138228E+08   0.138228E+08   0.184013E+08   0.184005E+08   0.138248E+08   0.138228E+08   0.138228E+08   0.138282E+08  -0.442368E+00   0.883633E+07   0.883633E+07   0.842172E+01
   0.172790E-04   0.138235E+08   0.138235E+08   0.183959E+08   0.183949E+08   0.138255E+08   0.138235E+08   0.138235E+08   0.138289E+08  -0.442393E+00   0.883651E+07   0.883651E+07   0.930259E+01
   0.190876E-04   0.138245E+08   0.138245E+08   0.183894E+08   0.183881E+08   0.138264E+08   0.138245E+08   0.138245E+08   0.138299E+08  -0.442423E+00   0.883673E+07   0.883673E+07   0.102754E+02
   0.210855E-04   0.138256E+08   0.138256E+08   0.183814E+08   0.183799E+08   0.138276E+08   0.138256E+08   0.138256E+08   0.138310E+08  -0.442459E+00   0.883700E+07   0.883700E+07   0.113498E+02
   0.232925E-04   0.138270E+08   0.138270E+08   0.183716E+08   0.183698E+08   0.138289E+08   0.138270E+08   0.138270E+08   0.138324E+08  -0.442504E+00   0.883734E+07   0.883733E+07   0.125363E+02
   0.257305E-04   0.138287E+08   0.138287E+08   0.183597E+08   0.183575E+08   0.138306E+08   0.138287E+08   0.138287E+08   0.138341E+08  -0.442558E+00   0.883774E+07   0.883774E+07   0.138463E+02
   0.284237E-04   0.138308E+08   0.138308E+08   0.183452E+08   0.183425E+08   0.138326E+08   0.138308E+08   0.138308E+08   0.138362E+08  -0.442625E+00   0.883823E+07   0.883823E+07   0.152928E+02
   0.313988E-04   0.138334E+08   0.138334E+08   0.183276E+08   0.183243E+08   0.138351E+08   0.138334E+08   0.138334E+08   0.138387E+08  -0.442706E+00   0.883884E+07   0.883883E+07   0.168897E+02
