#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.346853E-04   0.138365E+08   0.138365E+08   0.183060E+08   0.183020E+08   0.138381E+08   0.138365E+08   0.138365E+08   0.138418E+08  -0.442804E+00   0.883957E+07   0.883957E+07   0.186525E+02
   0.383158E-04   0.138402E+08   0.138402E+08   0.182797E+08   0.182748E+08   0.138418E+08   0.138403E+08   0.138402E+08   0.138456E+08  -0.442925E+00   0.884046E+07   0.884046E+07   0.205979E+02
   0.423263E-04   0.138448E+08   0.138448E+08   0.182477E+08   0.182417E+08   0.138463E+08   0.138449E+08   0.138448E+08   0.138502E+08  -0.443071E+00   0.884155E+07   0.884155E+07   0.227447E+02
   0.467566E-04   0.138505E+08   0.138504E+08   0.182087E+08   0.182014E+08   0.138518E+08   0.138505E+08   0.138505E+08   0.138558E+08  -0.443250E+00   0.884288E+07   0.884288E+07   0.251129E+02
   0.516506E-04   0.138573E+08   0.138573E+08   0.181611E+08   0.181523E+08   0.138584E+08   0.138573E+08   0.138573E+08   0.138626E+08  -0.443467E+00   0.884450E+07   0.884449E+07   0.277246E+02
   0.570568E-04   0.138656E+08   0.138656E+08   0.181032E+08   0.180925E+08   0.138666E+08   0.138656E+08   0.138656E+08   0.138709E+08  -0.443732E+00   0.884646E+07   0.884646E+07   0.306039E+02
   0.630290E-04   0.138757E+08   0.138757E+08   0.180328E+08   0.180197E+08   0.138764E+08   0.138757E+08   0.138757E+08   0.138810E+08  -0.444053E+00   0.884886E+07   0.884885E+07   0.337767E+02
   0.696262E-04   0.138880E+08   0.138879E+08   0.179471E+08   0.179312E+08   0.138884E+08   0.138880E+08   0.138880E+08   0.138932E+08  -0.444444E+00   0.885177E+07   0.885176E+07   0.372711E+02
   0.769139E-04   0.139029E+08   0.139028E+08   0.178430E+08   0.178236E+08   0.139029E+08   0.139029E+08   0.139029E+08   0.139081E+08  -0.444919E+00   0.885530E+07   0.885529E+07   0.411171E+02
   0.849645E-04   0.139209E+08   0.139209E+08   0.177166E+08   0.176930E+08   0.139205E+08   0.139209E+08   0.139209E+08   0.139261E+08  -0.445495E+00   0.885959E+07   0.885958E+07   0.453465E+02
   0.938577E-04   0.139428E+08   0.139428E+08   0.175633E+08   0.175347E+08   0.139419E+08   0.139428E+08   0.139428E+08   0.139480E+08  -0.446192E+00   0.886479E+07   0.886477E+07   0.499930E+02
   0.103682E-03   0.139693E+08   0.139693E+08   0.173775E+08   0.173429E+08   0.139677E+08   0.139693E+08   0.139693E+08   0.139744E+08  -0.447036E+00   0.887108E+07   0.887106E+07   0.550916E+02
   0.114534E-03   0.140013E+08   0.140012E+08   0.171530E+08   0.171111E+08   0.139988E+08   0.140013E+08   0.140013E+08   0.140063E+08  -0.448053E+00   0.887868E+07   0.887866E+07   0.606778E+02
   0.126522E-03   0.140398E+08   0.140397E+08   0.168820E+08   0.168314E+08   0.140363E+08   0.140398E+08   0.140398E+08   0.140447E+08  -0.449279E+00   0.888784E+07   0.888781E+07   0.667871E+02
   0.139765E-03   0.140860E+08   0.140859E+08   0.165557E+08   0.164948E+08   0.140814E+08   0.140860E+08   0.140860E+08   0.140908E+08  -0.450751E+00   0.889885E+07   0.889882E+07   0.734535E+02
   0.154395E-03   0.141413E+08   0.141412E+08   0.161643E+08   0.160911E+08   0.141352E+08   0.141413E+08   0.141413E+08   0.141460E+08  -0.452513E+00   0.891205E+07   0.891202E+07   0.807078E+02
   0.170555E-03   0.142073E+08   0.142071E+08   0.156964E+08   0.156088E+08   0.141993E+08   0.142072E+08   0.142073E+08   0.142118E+08  -0.454613E+00   0.892782E+07   0.892777E+07   0.885752E+02
   0.188407E-03   0.142855E+08   0.142854E+08   0.151397E+08   0.150353E+08   0.142754E+08   0.142855E+08   0.142855E+08   0.142899E+08  -0.457104E+00   0.894656E+07   0.894650E+07   0.970721E+02
   0.208127E-03   0.143779E+08   0.143776E+08   0.144812E+08   0.143574E+08   0.143650E+08   0.143778E+08   0.143778E+08   0.143820E+08  -0.460043E+00   0.896872E+07   0.896866E+07   0.106202E+03
   0.229912E-03   0.144861E+08   0.144858E+08   0.137080E+08   0.135622E+08   0.144699E+08   0.144859E+08   0.144860E+08   0.144899E+08  -0.463487E+00   0.899477E+07   0.899469E+07   0.115949E+03
   0.253977E-03   0.146119E+08   0.146116E+08   0.128083E+08   0.126379E+08   0.145917E+08   0.146117E+08   0.146118E+08   0.146155E+08  -0.467493E+00   0.902516E+07   0.902507E+07   0.126274E+03
   0.280561E-03   0.147569E+08   0.147565E+08   0.117730E+08   0.115760E+08   0.147319E+08   0.147567E+08   0.147568E+08   0.147601E+08  -0.472109E+00   0.906032E+07   0.906020E+07   0.137104E+03
   0.309927E-03   0.149223E+08   0.149219E+08   0.105988E+08   0.103735E+08   0.148913E+08   0.149221E+08   0.149223E+08   0.149252E+08  -0.477375E+00   0.910058E+07   0.910045E+07   0.148324E+03
   0.342367E-03   0.151089E+08   0.151083E+08   0.929036E+07   0.903674E+07   0.150706E+08   0.151086E+08   0.151088E+08   0.151113E+08  -0.483311E+00   0.914619E+07   0.914602E+07   0.159766E+03
   0.378202E-03   0.153164E+08   0.153157E+08   0.786536E+07   0.758515E+07   0.152694E+08   0.153161E+08   0.153163E+08   0.153184E+08  -0.489915E+00   0.919717E+07   0.919698E+07   0.171205E+03
   0.417788E-03   0.155440E+08   0.155431E+08   0.635806E+07   0.605563E+07   0.154862E+08   0.155436E+08   0.155438E+08   0.155454E+08  -0.497156E+00   0.925335E+07   0.925312E+07   0.182344E+03
   0.461518E-03   0.157895E+08   0.157885E+08   0.482303E+07   0.450611E+07   0.157187E+08   0.157890E+08   0.157893E+08   0.157904E+08  -0.504968E+00   0.931428E+07   0.931401E+07   0.192819E+03
   0.509825E-03   0.160498E+08   0.160486E+08   0.333630E+07   0.301639E+07   0.159632E+08   0.160492E+08   0.160496E+08   0.160501E+08  -0.513250E+00   0.937918E+07   0.937888E+07   0.202203E+03
   0.563188E-03   0.163206E+08   0.163193E+08   0.199145E+07   0.168366E+07   0.162149E+08   0.163199E+08   0.163204E+08   0.163205E+08  -0.521868E+00   0.944701E+07   0.944666E+07   0.210023E+03
   0.622137E-03   0.165969E+08   0.165954E+08   0.887862E+06   0.609720E+06   0.164679E+08   0.165961E+08   0.165967E+08   0.165963E+08  -0.530661E+00   0.951643E+07   0.951603E+07   0.215799E+03
   0.687256E-03   0.168730E+08   0.168712E+08   0.109205E+06  -0.121952E+06   0.167160E+08   0.168720E+08   0.168727E+08   0.168720E+08  -0.539449E+00   0.958591E+07   0.958546E+07   0.219093E+03
   0.759191E-03   0.171429E+08   0.171409E+08  -0.305993E+06  -0.476995E+06   0.169522E+08   0.171418E+08   0.171426E+08   0.171417E+08  -0.548046E+00   0.965377E+07   0.965327E+07   0.219572E+03
   0.838655E-03   0.174011E+08   0.173988E+08  -0.392522E+06  -0.498912E+06   0.171698E+08   0.173997E+08   0.174007E+08   0.173996E+08  -0.556271E+00   0.971833E+07   0.971778E+07   0.217066E+03
   0.926437E-03   0.176423E+08   0.176397E+08  -0.267250E+06  -0.316419E+06   0.173623E+08   0.176406E+08   0.176419E+08   0.176405E+08  -0.563958E+00   0.977795E+07   0.977736E+07   0.211600E+03
   0.102341E-02   0.178621E+08   0.178593E+08  -0.970873E+05  -0.107251E+06   0.175241E+08   0.178601E+08   0.178617E+08   0.178601E+08  -0.570967E+00   0.983115E+07   0.983053E+07   0.203389E+03
   0.113053E-02   0.180571E+08   0.180541E+08  -0.207480E+05  -0.140219E+05   0.176501E+08   0.180548E+08   0.180566E+08   0.180548E+08  -0.577183E+00   0.987665E+07   0.987600E+07   0.192776E+03
   0.124886E-02   0.182247E+08   0.182215E+08  -0.624598E+05  -0.542389E+05   0.177364E+08   0.182220E+08   0.182242E+08   0.182220E+08  -0.582525E+00   0.991338E+07   0.991271E+07   0.180170E+03
   0.137958E-02   0.183634E+08   0.183601E+08  -0.121703E+06  -0.113649E+06   0.177800E+08   0.183603E+08   0.183629E+08   0.183603E+08  -0.586939E+00   0.994054E+07   0.993985E+07   0.166030E+03
   0.152398E-02   0.184723E+08   0.184689E+08  -0.937450E+05  -0.777379E+05   0.177791E+08   0.184687E+08   0.184718E+08   0.184687E+08  -0.590400E+00   0.995754E+07   0.995686E+07   0.150923E+03
   0.168349E-02   0.185513E+08   0.185478E+08  -0.159875E+05   0.138385E+05   0.177326E+08   0.185470E+08   0.185507E+08   0.185470E+08  -0.592902E+00   0.996399E+07   0.996331E+07   0.135586E+03
   0.185970E-02   0.186004E+08   0.185969E+08  -0.103679E+05   0.301843E+05   0.176398E+08   0.185956E+08   0.185999E+08   0.185956E+08  -0.594450E+00   0.995958E+07   0.995891E+07   0.120831E+03
   0.205435E-02   0.186202E+08   0.186168E+08  -0.548584E+05  -0.126224E+05   0.175014E+08   0.186147E+08   0.186197E+08   0.186147E+08  -0.595060E+00   0.994408E+07   0.994342E+07   0.107338E+03
   0.226938E-02   0.186113E+08   0.186078E+08  -0.320486E+05   0.142916E+05   0.173180E+08   0.186049E+08   0.186107E+08   0.186049E+08  -0.594746E+00   0.991604E+07   0.991539E+07   0.955307E+02
   0.250692E-02   0.185736E+08   0.185701E+08  -0.761314E+04   0.915584E+05   0.170908E+08   0.185664E+08   0.185731E+08   0.185665E+08  -0.593514E+00   0.987632E+07   0.987568E+07   0.855826E+02
   0.276932E-02   0.185081E+08   0.185044E+08  -0.273955E+05   0.676460E+05   0.168218E+08   0.184999E+08   0.185075E+08   0.184999E+08  -0.591387E+00   0.982519E+07   0.982455E+07   0.773088E+02
   0.305918E-02   0.184151E+08   0.184112E+08  -0.852456E+04   0.774902E+05   0.165128E+08   0.184059E+08   0.184145E+08   0.184060E+08  -0.588381E+00   0.976241E+07   0.976177E+07   0.701895E+02
   0.337938E-02   0.182950E+08   0.182910E+08  -0.190632E+05   0.612619E+05   0.161651E+08   0.182849E+08   0.182944E+08   0.182849E+08  -0.584509E+00   0.968764E+07   0.968700E+07   0.636771E+02
   0.373310E-02   0.181480E+08   0.181437E+08  -0.121162E+05   0.576429E+05   0.157792E+08   0.181368E+08   0.181474E+08   0.181368E+08  -0.579774E+00   0.960054E+07   0.959989E+07   0.574270E+02
   0.412384E-02   0.179740E+08   0.179694E+08  -0.180068E+05   0.410225E+05   0.153554E+08   0.179615E+08   0.179733E+08   0.179615E+08  -0.574173E+00   0.950071E+07   0.950007E+07   0.514997E+02
   0.455549E-02   0.177727E+08   0.177678E+08  -0.885136E+04   0.378384E+05   0.148943E+08   0.177590E+08   0.177719E+08   0.177590E+08  -0.567697E+00   0.938777E+07   0.938714E+07   0.461658E+02
   0.503231E-02   0.175435E+08   0.175382E+08  -0.526335E+04   0.305927E+05   0.143969E+08   0.175286E+08   0.175427E+08   0.175286E+08  -0.560331E+00   0.926122E+07   0.926059E+07   0.415456E+02
   0.555904E-02   0.172862E+08   0.172804E+08  -0.853795E+04   0.227909E+05   0.138646E+08   0.172699E+08   0.172853E+08   0.172699E+08  -0.552063E+00   0.912068E+07   0.912006E+07   0.374464E+02
   0.614090E-02   0.170006E+08   0.169943E+08  -0.765428E+04   0.178379E+05   0.132743E+08   0.169829E+08   0.169996E+08   0.169829E+08  -0.542888E+00   0.896596E+07   0.896534E+07   0.336549E+02
   0.678367E-02   0.166852E+08   0.166782E+08  -0.814571E+04   0.143298E+05   0.126612E+08   0.166661E+08   0.166841E+08   0.166661E+08  -0.532759E+00   0.879611E+07   0.879550E+07   0.302115E+02
   0.749371E-02   0.163397E+08   0.163318E+08  -0.642393E+04   0.116017E+05   0.120139E+08   0.163191E+08   0.163384E+08   0.163191E+08  -0.521666E+00   0.861088E+07   0.861026E+07   0.271883E+02
   0.827807E-02   0.159634E+08   0.159545E+08  -0.434771E+04   0.979498E+04   0.113420E+08   0.159412E+08   0.159620E+08   0.159412E+08  -0.509588E+00   0.840981E+07   0.840920E+07   0.244730E+02
   0.914454E-02   0.155555E+08   0.155454E+08  -0.268946E+04   0.811444E+04   0.106537E+08   0.155319E+08   0.155539E+08   0.155319E+08  -0.496504E+00   0.819246E+07   0.819186E+07   0.220303E+02
   0.101017E-01   0.151155E+08   0.151040E+08  -0.340822E+04   0.588870E+04   0.994870E+07   0.150905E+08   0.151137E+08   0.150905E+08  -0.482392E+00   0.795843E+07   0.795782E+07   0.198723E+02
   0.111590E-01   0.146427E+08   0.146296E+08  -0.209411E+04   0.508211E+04   0.922857E+07   0.146164E+08   0.146406E+08   0.146164E+08  -0.467236E+00   0.770733E+07   0.770673E+07   0.179432E+02
   0.123270E-01   0.141366E+08   0.141215E+08  -0.194662E+04   0.401814E+04   0.850103E+07   0.141090E+08   0.141342E+08   0.141090E+08  -0.451016E+00   0.743877E+07   0.743817E+07   0.162361E+02
   0.136173E-01   0.135967E+08   0.135794E+08  -0.125003E+04   0.314253E+04   0.777402E+07   0.135679E+08   0.135940E+08   0.135679E+08  -0.433720E+00   0.715250E+07   0.715189E+07   0.147194E+02
   0.150426E-01   0.130229E+08   0.130030E+08  -0.116497E+04   0.252978E+04   0.705272E+07   0.129930E+08   0.130198E+08   0.129930E+08  -0.415343E+00   0.684825E+07   0.684765E+07   0.133744E+02
   0.166171E-01   0.124154E+08   0.123926E+08  -0.887327E+03   0.184210E+04   0.634160E+07   0.123846E+08   0.124118E+08   0.123846E+08  -0.395894E+00   0.652613E+07   0.652552E+07   0.121771E+02
   0.183565E-01   0.117935E+08   0.117675E+08  -0.638848E+03   0.153022E+04   0.565905E+07   0.117619E+08   0.117894E+08   0.117619E+08  -0.375989E+00   0.619620E+07   0.619559E+07   0.111163E+02
   0.202778E-01   0.111257E+08   0.110963E+08  -0.610150E+03   0.120763E+04   0.499332E+07   0.110936E+08   0.111211E+08   0.110936E+08  -0.354626E+00   0.584192E+07   0.584130E+07   0.101463E+02
   0.224003E-01   0.104206E+08   0.103876E+08  -0.447314E+03   0.774340E+03   0.435558E+07   0.103882E+08   0.104154E+08   0.103882E+08  -0.332076E+00   0.546778E+07   0.546716E+07   0.924931E+01
   0.247449E-01   0.970202E+07   0.966546E+07  -0.324500E+03   0.630420E+03   0.375986E+07   0.966966E+07   0.969629E+07   0.966966E+07  -0.309106E+00   0.508652E+07   0.508590E+07   0.841115E+01
   0.273350E-01   0.897602E+07   0.893616E+07  -0.292421E+03   0.506747E+03   0.321111E+07   0.894395E+07   0.896978E+07   0.894395E+07  -0.285907E+00   0.470251E+07   0.470189E+07   0.760574E+01
   0.301961E-01   0.824085E+07   0.819826E+07  -0.227650E+03   0.405472E+03   0.270934E+07   0.820940E+07   0.823418E+07   0.820940E+07  -0.262426E+00   0.431531E+07   0.431469E+07   0.680800E+01
   0.333567E-01   0.751143E+07   0.746708E+07  -0.147539E+03   0.471130E+03   0.225966E+07   0.748096E+07   0.750448E+07   0.748096E+07  -0.239141E+00   0.393708E+07   0.393648E+07   0.600145E+01
   0.368482E-01   0.681667E+07   0.677196E+07  -0.129316E+03   0.350333E+03   0.186972E+07   0.678751E+07   0.680967E+07   0.678751E+07  -0.216973E+00   0.357807E+07   0.357749E+07   0.518066E+01
   0.407050E-01   0.616904E+07   0.612576E+07  -0.920563E+02   0.259795E+03   0.153682E+07   0.614152E+07   0.616226E+07   0.614152E+07  -0.196323E+00   0.324053E+07   0.324000E+07   0.434579E+01
   0.449656E-01   0.558451E+07   0.554468E+07  -0.646957E+02   0.192719E+03   0.125789E+07   0.555890E+07   0.557827E+07   0.555890E+07  -0.177699E+00   0.293444E+07   0.293396E+07   0.351328E+01
   0.494622E-01   0.509431E+07   0.505958E+07  -0.654537E+02   0.145299E+03   0.103737E+07   0.507070E+07   0.508887E+07   0.507070E+07  -0.162093E+00   0.267728E+07   0.267688E+07   0.274846E+01
   0.539588E-01   0.470711E+07   0.467817E+07  -0.481352E+02   0.112823E+03   0.871012E+06   0.468539E+07   0.470257E+07   0.468539E+07  -0.149776E+00   0.247409E+07   0.247374E+07   0.211276E+01
   0.584553E-01   0.439446E+07   0.437119E+07  -0.214727E+02   0.897602E+02   0.742410E+06   0.437445E+07   0.439081E+07   0.437445E+07  -0.139836E+00   0.231003E+07   0.230974E+07   0.161180E+01
   0.629519E-01   0.413007E+07   0.411166E+07  -0.247461E+02   0.727484E+02   0.639818E+06   0.411154E+07   0.412718E+07   0.411154E+07  -0.131432E+00   0.217127E+07   0.217104E+07   0.124154E+01
   0.674484E-01   0.389253E+07   0.387773E+07  -0.239601E+02   0.597332E+02   0.555147E+06   0.387525E+07   0.389021E+07   0.387525E+07  -0.123878E+00   0.204655E+07   0.204635E+07   0.988569E+00
   0.719450E-01   0.366678E+07   0.365416E+07  -0.188104E+02   0.494579E+02   0.483167E+06   0.365053E+07   0.366480E+07   0.365053E+07  -0.116695E+00   0.192792E+07   0.192774E+07   0.832293E+00
   0.764416E-01   0.345022E+07   0.343844E+07  -0.104144E+02   0.412232E+02   0.421425E+06   0.343479E+07   0.344837E+07   0.343479E+07  -0.109799E+00   0.181402E+07   0.181385E+07   0.749000E+00
   0.809381E-01   0.322985E+07   0.321783E+07  -0.110777E+02   0.344199E+02   0.366782E+06   0.321513E+07   0.322797E+07   0.321513E+07  -0.102777E+00   0.169805E+07   0.169787E+07   0.711411E+00
   0.854347E-01   0.301323E+07   0.300031E+07  -0.246580E+01   0.288177E+02   0.319015E+06   0.299913E+07   0.301121E+07   0.299913E+07  -0.958720E-01   0.158400E+07   0.158382E+07   0.697441E+00
   0.899313E-01   0.280566E+07   0.279160E+07  -0.116611E+02   0.242136E+02   0.277637E+06   0.279212E+07   0.280345E+07   0.279212E+07  -0.892546E-01   0.147469E+07   0.147450E+07   0.688630E+00
   0.944278E-01   0.261325E+07   0.259822E+07   0.767500E+00   0.204539E+02   0.242287E+06   0.260027E+07   0.261089E+07   0.260027E+07  -0.831217E-01   0.137338E+07   0.137319E+07   0.672304E+00
   0.101114E+00   0.236599E+07   0.235042E+07  -0.562799E+01   0.161483E+02   0.199930E+06   0.235385E+07   0.236355E+07   0.235385E+07  -0.752444E-01   0.124325E+07   0.124307E+07   0.621262E+00
   0.107801E+00   0.217180E+07   0.215706E+07  -0.583794E+01   0.130408E+02   0.168025E+06   0.216051E+07   0.216949E+07   0.216051E+07  -0.690642E-01   0.114116E+07   0.114098E+07   0.538933E+00
   0.114487E+00   0.202641E+07   0.201364E+07  -0.474523E+01   0.107888E+02   0.144133E+06   0.201598E+07   0.202441E+07   0.201598E+07  -0.644440E-01   0.106483E+07   0.106468E+07   0.440523E+00
   0.121173E+00   0.191571E+07   0.190538E+07  -0.446062E+01   0.910617E+01   0.125737E+06   0.190607E+07   0.191409E+07   0.190607E+07  -0.609305E-01   0.100678E+07   0.100666E+07   0.346318E+00
   0.127860E+00   0.182187E+07   0.181372E+07  -0.457202E+01   0.777917E+01   0.110715E+06   0.181293E+07   0.182060E+07   0.181293E+07  -0.579530E-01   0.957595E+06   0.957490E+06   0.272429E+00
   0.134546E+00   0.172990E+07   0.172315E+07  -0.199203E+01   0.667114E+01   0.976263E+05   0.172152E+07   0.172884E+07   0.172152E+07  -0.550311E-01   0.909323E+06   0.909232E+06   0.225847E+00
   0.141232E+00   0.163185E+07   0.162558E+07  -0.203904E+01   0.571132E+01   0.857584E+05   0.162394E+07   0.163087E+07   0.162394E+07  -0.519116E-01   0.857784E+06   0.857698E+06   0.204148E+00
   0.147919E+00   0.152775E+07   0.152123E+07  -0.326568E+01   0.487420E+01   0.749544E+05   0.152022E+07   0.152673E+07   0.152022E+07  -0.485962E-01   0.803008E+06   0.802920E+06   0.198567E+00
   0.154605E+00   0.142347E+07   0.141636E+07  -0.248290E+01   0.415668E+01   0.653529E+05   0.141627E+07   0.142235E+07   0.141627E+07  -0.452731E-01   0.748104E+06   0.748012E+06   0.198456E+00
   0.161291E+00   0.132687E+07   0.131928E+07  -0.635763E+00   0.355963E+01   0.571341E+05   0.131999E+07   0.132568E+07   0.131999E+07  -0.421957E-01   0.697258E+06   0.697163E+06   0.195233E+00
   0.167978E+00   0.124423E+07   0.123655E+07  -0.833886E+00   0.307725E+01   0.503546E+05   0.123767E+07   0.124302E+07   0.123767E+07  -0.395642E-01   0.653779E+06   0.653686E+06   0.184593E+00
   0.174664E+00   0.117784E+07   0.117056E+07  -0.858632E+00   0.269429E+01   0.448926E+05   0.117162E+07   0.117670E+07   0.117162E+07  -0.374527E-01   0.618891E+06   0.618804E+06   0.166710E+00
   0.181351E+00   0.112574E+07   0.111923E+07  -0.565572E+00   0.238887E+01   0.404852E+05   0.111985E+07   0.112472E+07   0.111985E+07  -0.357979E-01   0.591548E+06   0.591469E+06   0.144884E+00
   0.188037E+00   0.108298E+07   0.107736E+07  -0.898681E+00   0.213781E+01   0.368136E+05   0.107741E+07   0.108210E+07   0.107741E+07  -0.344412E-01   0.569131E+06   0.569062E+06   0.123501E+00
   0.194723E+00   0.104383E+07   0.103899E+07  -0.132207E+01   0.192161E+01   0.335923E+05   0.103854E+07   0.104307E+07   0.103854E+07  -0.331986E-01   0.548599E+06   0.548537E+06   0.106160E+00
   0.201410E+00   0.100377E+07   0.999432E+06  -0.634401E+00   0.172730E+01   0.306275E+05   0.998733E+06   0.100309E+07   0.998733E+06  -0.319260E-01   0.527572E+06   0.527514E+06   0.945690E-01
   0.208096E+00   0.960808E+06   0.956648E+06  -0.177389E-01   0.154882E+01   0.278341E+05   0.955974E+06   0.960156E+06   0.955974E+06  -0.305592E-01   0.504987E+06   0.504932E+06   0.883789E-01
   0.214782E+00   0.915495E+06   0.911274E+06  -0.292364E+00   0.138526E+01   0.252134E+05   0.910844E+06   0.914834E+06   0.910844E+06  -0.291165E-01   0.481149E+06   0.481094E+06   0.857701E-01
   0.221469E+00   0.870185E+06   0.865801E+06  -0.401534E+00   0.123831E+01   0.228122E+05   0.865701E+06   0.869498E+06   0.865701E+06  -0.276735E-01   0.457304E+06   0.457248E+06   0.844026E-01
   0.228155E+00   0.827728E+06   0.823222E+06  -0.190879E+00   0.110980E+01   0.206801E+05   0.823406E+06   0.827022E+06   0.823406E+06  -0.263214E-01   0.434964E+06   0.434908E+06   0.823124E-01
   0.234841E+00   0.790285E+06   0.785795E+06  -0.302393E+00   0.100008E+01   0.188396E+05   0.786124E+06   0.789581E+06   0.786124E+06  -0.251297E-01   0.415271E+06   0.415216E+06   0.784639E-01
   0.241528E+00   0.758620E+06   0.754312E+06  -0.371371E+00   0.907592E+00   0.172754E+05   0.754623E+06   0.757945E+06   0.754623E+06  -0.241227E-01   0.398632E+06   0.398579E+06   0.728528E-01
   0.248214E+00   0.732038E+06   0.728035E+06  -0.101011E+00   0.829269E+00   0.159411E+05   0.728202E+06   0.731411E+06   0.728202E+06  -0.232781E-01   0.384675E+06   0.384626E+06   0.662374E-01
   0.254901E+00   0.708846E+06   0.705194E+06  -0.968077E-01   0.761460E+00   0.147761E+05   0.705164E+06   0.708274E+06   0.705164E+06  -0.225417E-01   0.372506E+06   0.372460E+06   0.596779E-01
   0.261587E+00   0.687090E+06   0.683751E+06  -0.372043E+00   0.700871E+00   0.137233E+05   0.683549E+06   0.686567E+06   0.683549E+06  -0.218507E-01   0.361088E+06   0.361046E+06   0.540872E-01
   0.268273E+00   0.665236E+06   0.662116E+06  -0.415172E+00   0.645191E+00   0.127421E+05   0.661822E+06   0.664747E+06   0.661822E+06  -0.211562E-01   0.349612E+06   0.349572E+06   0.499419E-01
   0.274960E+00   0.642580E+06   0.639569E+06  -0.237612E+00   0.593277E+00   0.118136E+05   0.639281E+06   0.642108E+06   0.639281E+06  -0.204356E-01   0.337705E+06   0.337666E+06   0.472124E-01
   0.281646E+00   0.619294E+06   0.616308E+06  -0.236014E+00   0.544940E+00   0.109368E+05   0.616100E+06   0.618826E+06   0.616100E+06  -0.196946E-01   0.325460E+06   0.325421E+06   0.454828E-01
   0.288332E+00   0.596162E+06   0.593160E+06  -0.207549E+00   0.500520E+00   0.101214E+05   0.593065E+06   0.595692E+06   0.593065E+06  -0.189583E-01   0.313292E+06   0.313254E+06   0.441742E-01
   0.295019E+00   0.574155E+06   0.571146E+06  -0.904104E-01   0.460427E+00   0.937829E+04   0.571153E+06   0.573684E+06   0.571153E+06  -0.182578E-01   0.301718E+06   0.301680E+06   0.427719E-01
   0.301705E+00   0.554034E+06   0.551062E+06  -0.121118E+00   0.424809E+00   0.871309E+04   0.551125E+06   0.553569E+06   0.551125E+06  -0.176176E-01   0.291138E+06   0.291101E+06   0.409776E-01
   0.308391E+00   0.536101E+06   0.533219E+06  -0.233705E+00   0.393426E+00   0.812342E+04   0.533283E+06   0.535649E+06   0.533283E+06  -0.170472E-01   0.281713E+06   0.281677E+06   0.387535E-01
   0.315078E+00   0.520160E+06   0.517412E+06  -0.175444E+00   0.365703E+00   0.759960E+04   0.517433E+06   0.519730E+06   0.517433E+06  -0.165405E-01   0.273340E+06   0.273306E+06   0.362694E-01
   0.321764E+00   0.505666E+06   0.503068E+06  -0.837047E-01   0.340899E+00   0.712798E+04   0.503024E+06   0.505259E+06   0.503024E+06  -0.160800E-01   0.265729E+06   0.265697E+06   0.337921E-01
