#    L    TT             EE             BB             TE             PP             TP             EP          
   123   0.341164E+04   0.973845E+00   0.000000E+00  -0.356981E+02   0.799441E-07   0.280596E-03  -0.954141E-06
   124   0.344551E+04   0.981973E+00   0.000000E+00  -0.362262E+02   0.794237E-07   0.277618E-03  -0.958644E-06
   125   0.347938E+04   0.989706E+00   0.000000E+00  -0.367445E+02   0.789074E-07   0.274689E-03  -0.961719E-06
   126   0.351332E+04   0.997117E+00   0.000000E+00  -0.372524E+02   0.783954E-07   0.271809E-03  -0.963327E-06
   127   0.354725E+04   0.100406E+01   0.000000E+00  -0.377490E+02   0.778875E-07   0.268977E-03  -0.963426E-06
   128   0.358118E+04   0.101068E+01   0.000000E+00  -0.382336E+02   0.773839E-07   0.266194E-03  -0.961973E-06
   129   0.361518E+04   0.101683E+01   0.000000E+00  -0.387055E+02   0.768844E-07   0.263459E-03  -0.958928E-06
   130   0.364917E+04   0.102251E+01   0.000000E+00  -0.391639E+02   0.763891E-07   0.260771E-03  -0.954249E-06
   131   0.368315E+04   0.102787E+01   0.000000E+00  -0.396103E+02   0.758980E-07   0.258131E-03  -0.947926E-06
   132   0.371720E+04   0.103276E+01   0.000000E+00  -0.400418E+02   0.754109E-07   0.255537E-03  -0.940076E-06
   133   0.375117E+04   0.103725E+01   0.000000E+00  -0.404606E+02   0.749280E-07   0.252988E-03  -0.930849E-06
   134   0.378514E+04   0.104135E+01   0.000000E+00  -0.408623E+02   0.744492E-07   0.250483E-03  -0.920392E-06
   135   0.381910E+04   0.104496E+01   0.000000E+00  -0.412499E+02   0.739744E-07   0.248021E-03  -0.908854E-06
   136   0.385292E+04   0.104810E+01   0.000000E+00  -0.416197E+02   0.735036E-07   0.245600E-03  -0.896384E-06
   137   0.388673E+04   0.105083E+01   0.000000E+00  -0.419740E+02   0.730367E-07   0.243220E-03  -0.883131E-06
   138   0.392046E+04   0.105308E+01   0.000000E+00  -0.423113E+02   0.725739E-07   0.240879E-03  -0.869242E-06
   139   0.395398E+04   0.105500E+01   0.000000E+00  -0.426310E+02   0.721149E-07   0.238577E-03  -0.854866E-06
   140   0.398757E+04   0.105636E+01   0.000000E+00  -0.429337E+02   0.716598E-07   0.236312E-03  -0.840152E-06
   141   0.402094E+04   0.105724E+01   0.000000E+00  -0.432173E+02   0.712086E-07   0.234082E-03  -0.825247E-06
   142   0.405431E+04   0.105770E+01   0.000000E+00  -0.434826E+02   0.707612E-07   0.231888E-03  -0.810301E-06
   143   0.408761E+04   0.105775E+01   0.000000E+00  -0.437296E+02   0.703176E-07   0.229727E-03  -0.795460E-06
   144   0.412070E+04   0.105731E+01   0.000000E+00  -0.439575E+02   0.698778E-07   0.227599E-03  -0.780874E-06
   145   0.415364E+04   0.105653E+01   0.000000E+00  -0.441658E+02   0.694417E-07   0.225502E-03  -0.766690E-06
   146   0.418667E+04   0.105518E+01   0.000000E+00  -0.443543E+02   0.690093E-07   0.223436E-03  -0.753057E-06
   147   0.421933E+04   0.105348E+01   0.000000E+00  -0.445218E+02   0.685806E-07   0.221398E-03  -0.740123E-06
   148   0.425186E+04   0.105129E+01   0.000000E+00  -0.446695E+02   0.681555E-07   0.219389E-03  -0.728035E-06
   149   0.428432E+04   0.104867E+01   0.000000E+00  -0.447963E+02   0.677341E-07   0.217407E-03  -0.716942E-06
   150   0.431649E+04   0.104571E+01   0.000000E+00  -0.448997E+02   0.673162E-07   0.215451E-03  -0.706991E-06
   151   0.434853E+04   0.104232E+01   0.000000E+00  -0.449828E+02   0.669019E-07   0.213519E-03  -0.698292E-06
   152   0.438028E+04   0.103842E+01   0.000000E+00  -0.450442E+02   0.664912E-07   0.211612E-03  -0.690800E-06
   153   0.441191E+04   0.103416E+01   0.000000E+00  -0.450815E+02   0.660840E-07   0.209728E-03  -0.684432E-06
   154   0.444333E+04   0.102954E+01   0.000000E+00  -0.450970E+02   0.656802E-07   0.207867E-03  -0.679103E-06
   155   0.447454E+04   0.102456E+01   0.000000E+00  -0.450898E+02   0.652799E-07   0.206029E-03  -0.674730E-06
   156   0.450541E+04   0.101920E+01   0.000000E+00  -0.450600E+02   0.648831E-07   0.204213E-03  -0.671230E-06
   157   0.453622E+04   0.101348E+01   0.000000E+00  -0.450061E+02   0.644897E-07   0.202418E-03  -0.668520E-06
   158   0.456676E+04   0.100745E+01   0.000000E+00  -0.449287E+02   0.640996E-07   0.200644E-03  -0.666515E-06
   159   0.459703E+04   0.100096E+01   0.000000E+00  -0.448278E+02   0.637129E-07   0.198890E-03  -0.665133E-06
   160   0.462711E+04   0.994172E+00   0.000000E+00  -0.447019E+02   0.633295E-07   0.197156E-03  -0.664289E-06
   161   0.465699E+04   0.987141E+00   0.000000E+00  -0.445525E+02   0.629495E-07   0.195442E-03  -0.663901E-06
   162   0.468661E+04   0.979720E+00   0.000000E+00  -0.443795E+02   0.625727E-07   0.193746E-03  -0.663886E-06
   163   0.471611E+04   0.971979E+00   0.000000E+00  -0.441814E+02   0.621992E-07   0.192068E-03  -0.664160E-06
   164   0.474521E+04   0.963990E+00   0.000000E+00  -0.439597E+02   0.618289E-07   0.190408E-03  -0.664639E-06
   165   0.477419E+04   0.955674E+00   0.000000E+00  -0.437122E+02   0.614618E-07   0.188765E-03  -0.665241E-06
   166   0.480291E+04   0.947177E+00   0.000000E+00  -0.434402E+02   0.610979E-07   0.187139E-03  -0.665881E-06
   167   0.483145E+04   0.938273E+00   0.000000E+00  -0.431444E+02   0.607371E-07   0.185529E-03  -0.666478E-06
   168   0.485959E+04   0.929329E+00   0.000000E+00  -0.428227E+02   0.603795E-07   0.183934E-03  -0.666947E-06
   169   0.488748E+04   0.920044E+00   0.000000E+00  -0.424750E+02   0.600250E-07   0.182354E-03  -0.667206E-06
   170   0.491511E+04   0.910639E+00   0.000000E+00  -0.421028E+02   0.596736E-07   0.180788E-03  -0.667171E-06
   171   0.494235E+04   0.901109E+00   0.000000E+00  -0.417038E+02   0.593252E-07   0.179237E-03  -0.666759E-06
   172   0.496926E+04   0.891377E+00   0.000000E+00  -0.412794E+02   0.589799E-07   0.177698E-03  -0.665886E-06
   173   0.499578E+04   0.881439E+00   0.000000E+00  -0.408296E+02   0.586375E-07   0.176173E-03  -0.664471E-06
   174   0.502206E+04   0.871590E+00   0.000000E+00  -0.403544E+02   0.582982E-07   0.174659E-03  -0.662429E-06
   175   0.504802E+04   0.861528E+00   0.000000E+00  -0.398531E+02   0.579618E-07   0.173158E-03  -0.659677E-06
   176   0.507351E+04   0.851472E+00   0.000000E+00  -0.393255E+02   0.576283E-07   0.171667E-03  -0.656152E-06
   177   0.509869E+04   0.841345E+00   0.000000E+00  -0.387731E+02   0.572978E-07   0.170188E-03  -0.651863E-06
   178   0.512348E+04   0.831363E+00   0.000000E+00  -0.381944E+02   0.569701E-07   0.168720E-03  -0.646841E-06
   179   0.514788E+04   0.821224E+00   0.000000E+00  -0.375892E+02   0.566453E-07   0.167264E-03  -0.641113E-06
   180   0.517203E+04   0.811148E+00   0.000000E+00  -0.369590E+02   0.563232E-07   0.165818E-03  -0.634711E-06
   181   0.519571E+04   0.801128E+00   0.000000E+00  -0.363037E+02   0.560040E-07   0.164385E-03  -0.627662E-06
   182   0.521899E+04   0.791234E+00   0.000000E+00  -0.356217E+02   0.556875E-07   0.162962E-03  -0.619997E-06
   183   0.524180E+04   0.781387E+00   0.000000E+00  -0.349145E+02   0.553738E-07   0.161551E-03  -0.611744E-06
   184   0.526429E+04   0.771657E+00   0.000000E+00  -0.341811E+02   0.550628E-07   0.160152E-03  -0.602933E-06
   185   0.528638E+04   0.762187E+00   0.000000E+00  -0.334239E+02   0.547544E-07   0.158764E-03  -0.593593E-06
   186   0.530769E+04   0.752831E+00   0.000000E+00  -0.326396E+02   0.544487E-07   0.157388E-03  -0.583754E-06
   187   0.532890E+04   0.743725E+00   0.000000E+00  -0.318298E+02   0.541457E-07   0.156023E-03  -0.573444E-06
   188   0.534963E+04   0.734850E+00   0.000000E+00  -0.309958E+02   0.538451E-07   0.154670E-03  -0.562693E-06
   189   0.536981E+04   0.726238E+00   0.000000E+00  -0.301361E+02   0.535472E-07   0.153329E-03  -0.551531E-06
   190   0.538988E+04   0.717936E+00   0.000000E+00  -0.292528E+02   0.532518E-07   0.151999E-03  -0.539986E-06
   191   0.540910E+04   0.709962E+00   0.000000E+00  -0.283429E+02   0.529589E-07   0.150682E-03  -0.528088E-06
   192   0.542798E+04   0.702332E+00   0.000000E+00  -0.274086E+02   0.526685E-07   0.149376E-03  -0.515865E-06
   193   0.544630E+04   0.695087E+00   0.000000E+00  -0.264511E+02   0.523805E-07   0.148082E-03  -0.503348E-06
   194   0.546429E+04   0.688251E+00   0.000000E+00  -0.254683E+02   0.520949E-07   0.146800E-03  -0.490566E-06
   195   0.548171E+04   0.681857E+00   0.000000E+00  -0.244623E+02   0.518118E-07   0.145531E-03  -0.477547E-06
   196   0.549858E+04   0.675937E+00   0.000000E+00  -0.234322E+02   0.515309E-07   0.144273E-03  -0.464321E-06
   197   0.551503E+04   0.670531E+00   0.000000E+00  -0.223795E+02   0.512525E-07   0.143027E-03  -0.450917E-06
   198   0.553099E+04   0.665656E+00   0.000000E+00  -0.213034E+02   0.509763E-07   0.141793E-03  -0.437364E-06
   199   0.554646E+04   0.661344E+00   0.000000E+00  -0.202045E+02   0.507024E-07   0.140572E-03  -0.423692E-06
   200   0.556143E+04   0.657620E+00   0.000000E+00  -0.190834E+02   0.504308E-07   0.139363E-03  -0.409930E-06
   201   0.557584E+04   0.654540E+00   0.000000E+00  -0.179394E+02   0.501613E-07   0.138166E-03  -0.396102E-06
   202   0.558976E+04   0.652110E+00   0.000000E+00  -0.167739E+02   0.498941E-07   0.136981E-03  -0.382217E-06
   203   0.560310E+04   0.650391E+00   0.000000E+00  -0.155860E+02   0.496291E-07   0.135808E-03  -0.368276E-06
   204   0.561580E+04   0.649404E+00   0.000000E+00  -0.143787E+02   0.493662E-07   0.134647E-03  -0.354284E-06
   205   0.562801E+04   0.649195E+00   0.000000E+00  -0.131496E+02   0.491055E-07   0.133498E-03  -0.340244E-06
   206   0.563957E+04   0.649802E+00   0.000000E+00  -0.118999E+02   0.488469E-07   0.132361E-03  -0.326159E-06
   207   0.565063E+04   0.651246E+00   0.000000E+00  -0.106299E+02   0.485904E-07   0.131235E-03  -0.312032E-06
   208   0.566097E+04   0.653579E+00   0.000000E+00  -0.934016E+01   0.483360E-07   0.130120E-03  -0.297866E-06
   209   0.567074E+04   0.656826E+00   0.000000E+00  -0.803091E+01   0.480837E-07   0.129017E-03  -0.283664E-06
   210   0.567994E+04   0.661037E+00   0.000000E+00  -0.670297E+01   0.478334E-07   0.127925E-03  -0.269430E-06
   211   0.568857E+04   0.666244E+00   0.000000E+00  -0.535631E+01   0.475851E-07   0.126844E-03  -0.255167E-06
   212   0.569647E+04   0.672475E+00   0.000000E+00  -0.399179E+01   0.473389E-07   0.125774E-03  -0.240877E-06
   213   0.570387E+04   0.679776E+00   0.000000E+00  -0.260929E+01   0.470947E-07   0.124714E-03  -0.226565E-06
   214   0.571062E+04   0.688139E+00   0.000000E+00  -0.120992E+01   0.468524E-07   0.123665E-03  -0.212233E-06
   215   0.571679E+04   0.697759E+00   0.000000E+00   0.205659E+00   0.466122E-07   0.122627E-03  -0.197884E-06
   216   0.572232E+04   0.708450E+00   0.000000E+00   0.163804E+01   0.463738E-07   0.121600E-03  -0.183522E-06
   217   0.572734E+04   0.720368E+00   0.000000E+00   0.308530E+01   0.461374E-07   0.120582E-03  -0.169150E-06
   218   0.573171E+04   0.733512E+00   0.000000E+00   0.454774E+01   0.459029E-07   0.119575E-03  -0.154771E-06
   219   0.573551E+04   0.747885E+00   0.000000E+00   0.602642E+01   0.456703E-07   0.118577E-03  -0.140388E-06
   220   0.573872E+04   0.763634E+00   0.000000E+00   0.751695E+01   0.454395E-07   0.117590E-03  -0.126004E-06
   221   0.574136E+04   0.780686E+00   0.000000E+00   0.902165E+01   0.452106E-07   0.116613E-03  -0.111623E-06
   222   0.574341E+04   0.799189E+00   0.000000E+00   0.105391E+02   0.449835E-07   0.115645E-03  -0.972476E-07
   223   0.574474E+04   0.819069E+00   0.000000E+00   0.120702E+02   0.447582E-07   0.114686E-03  -0.828809E-07
   224   0.574563E+04   0.840327E+00   0.000000E+00   0.136111E+02   0.445348E-07   0.113738E-03  -0.685264E-07
   225   0.574587E+04   0.863112E+00   0.000000E+00   0.151652E+02   0.443131E-07   0.112798E-03  -0.541870E-07
   226   0.574553E+04   0.887424E+00   0.000000E+00   0.167285E+02   0.440932E-07   0.111868E-03  -0.398660E-07
   227   0.574453E+04   0.913262E+00   0.000000E+00   0.183028E+02   0.438750E-07   0.110946E-03  -0.255666E-07
   228   0.574302E+04   0.940629E+00   0.000000E+00   0.198867E+02   0.436585E-07   0.110034E-03  -0.112920E-07
   229   0.574093E+04   0.969597E+00   0.000000E+00   0.214787E+02   0.434437E-07   0.109131E-03   0.295479E-08
   230   0.573818E+04   0.100017E+01   0.000000E+00   0.230796E+02   0.432306E-07   0.108236E-03   0.171704E-07
