#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.105244E+04   0.450659E-01   0.000000E+00   0.320375E+01   0.501153E-07   0.302509E-02  -0.149508E-04
     3   0.993172E+03   0.704738E-01   0.000000E+00   0.388358E+01   0.607164E-07   0.302353E-02  -0.178447E-04
     4   0.934802E+03   0.759527E-01   0.000000E+00   0.390647E+01   0.697193E-07   0.294877E-02  -0.174837E-04
     5   0.889502E+03   0.644632E-01   0.000000E+00   0.355809E+01   0.774893E-07   0.284699E-02  -0.148788E-04
     6   0.856921E+03   0.455208E-01   0.000000E+00   0.305051E+01   0.842278E-07   0.273758E-02  -0.109865E-04
     7   0.834747E+03   0.278409E-01   0.000000E+00   0.251363E+01   0.901229E-07   0.262937E-02  -0.667085E-05
     8   0.820163E+03   0.158190E-01   0.000000E+00   0.202702E+01   0.953095E-07   0.252165E-02  -0.261931E-05
     9   0.811542E+03   0.965421E-02   0.000000E+00   0.162652E+01   0.998998E-07   0.241435E-02   0.643868E-06
    10   0.807638E+03   0.732400E-02   0.000000E+00   0.132491E+01   0.103963E-06   0.231130E-02   0.278195E-05
    11   0.807050E+03   0.657452E-02   0.000000E+00   0.112357E+01   0.107594E-06   0.221757E-02   0.373102E-05
    12   0.809946E+03   0.608909E-02   0.000000E+00   0.101659E+01   0.110818E-06   0.213273E-02   0.369744E-05
    13   0.814625E+03   0.531625E-02   0.000000E+00   0.983013E+00   0.113680E-06   0.205503E-02   0.298360E-05
    14   0.820245E+03   0.459950E-02   0.000000E+00   0.997866E+00   0.116233E-06   0.198296E-02   0.187597E-05
    15   0.827181E+03   0.413610E-02   0.000000E+00   0.104182E+01   0.118507E-06   0.191497E-02   0.592880E-06
    16   0.835898E+03   0.400823E-02   0.000000E+00   0.109918E+01   0.120529E-06   0.184991E-02  -0.654404E-06
    17   0.846286E+03   0.420428E-02   0.000000E+00   0.116003E+01   0.122328E-06   0.178770E-02  -0.160584E-05
    18   0.857367E+03   0.451288E-02   0.000000E+00   0.121859E+01   0.123928E-06   0.172853E-02  -0.205859E-05
    19   0.870000E+03   0.486562E-02   0.000000E+00   0.127324E+01   0.125340E-06   0.167240E-02  -0.207594E-05
    20   0.882548E+03   0.529457E-02   0.000000E+00   0.132089E+01   0.126575E-06   0.161925E-02  -0.179473E-05
    21   0.895374E+03   0.582333E-02   0.000000E+00   0.136291E+01   0.127653E-06   0.156886E-02  -0.138930E-05
    22   0.908754E+03   0.654621E-02   0.000000E+00   0.140126E+01   0.128596E-06   0.152098E-02  -0.100581E-05
    23   0.922485E+03   0.748938E-02   0.000000E+00   0.144082E+01   0.129412E-06   0.147527E-02  -0.646669E-06
    24   0.936613E+03   0.862691E-02   0.000000E+00   0.148565E+01   0.130108E-06   0.143147E-02  -0.301772E-06
    25   0.951125E+03   0.996368E-02   0.000000E+00   0.153359E+01   0.130695E-06   0.138977E-02  -0.522307E-07
    26   0.965872E+03   0.114734E-01   0.000000E+00   0.158283E+01   0.131184E-06   0.135036E-02   0.168087E-07
    27   0.981067E+03   0.131386E-01   0.000000E+00   0.163208E+01   0.131584E-06   0.131318E-02  -0.107376E-06
    28   0.996529E+03   0.149681E-01   0.000000E+00   0.168068E+01   0.131901E-06   0.127801E-02  -0.393249E-06
    29   0.101229E+04   0.169524E-01   0.000000E+00   0.172493E+01   0.132137E-06   0.124440E-02  -0.704213E-06
    30   0.102827E+04   0.190919E-01   0.000000E+00   0.176019E+01   0.132291E-06   0.121197E-02  -0.907399E-06
    31   0.104437E+04   0.214052E-01   0.000000E+00   0.178724E+01   0.132375E-06   0.118091E-02  -0.986677E-06
    32   0.106087E+04   0.238984E-01   0.000000E+00   0.180731E+01   0.132400E-06   0.115143E-02  -0.965991E-06
    33   0.107776E+04   0.265590E-01   0.000000E+00   0.181799E+01   0.132370E-06   0.112339E-02  -0.913481E-06
    34   0.109485E+04   0.293885E-01   0.000000E+00   0.181742E+01   0.132286E-06   0.109651E-02  -0.887764E-06
    35   0.111211E+04   0.324126E-01   0.000000E+00   0.180632E+01   0.132154E-06   0.107032E-02  -0.866404E-06
    36   0.112949E+04   0.356639E-01   0.000000E+00   0.178526E+01   0.131976E-06   0.104449E-02  -0.810827E-06
    37   0.114697E+04   0.391444E-01   0.000000E+00   0.175534E+01   0.131757E-06   0.101938E-02  -0.698238E-06
    38   0.116483E+04   0.428541E-01   0.000000E+00   0.171918E+01   0.131500E-06   0.995422E-03  -0.523763E-06
    39   0.118306E+04   0.467892E-01   0.000000E+00   0.167618E+01   0.131205E-06   0.972691E-03  -0.338239E-06
    40   0.120142E+04   0.509506E-01   0.000000E+00   0.162472E+01   0.130877E-06   0.951176E-03  -0.206206E-06
    41   0.122003E+04   0.553448E-01   0.000000E+00   0.156316E+01   0.130515E-06   0.930830E-03  -0.174537E-06
    42   0.123866E+04   0.599812E-01   0.000000E+00   0.149051E+01   0.130124E-06   0.911463E-03  -0.220260E-06
    43   0.125743E+04   0.648701E-01   0.000000E+00   0.140598E+01   0.129704E-06   0.892855E-03  -0.303092E-06
    44   0.127620E+04   0.700069E-01   0.000000E+00   0.130967E+01   0.129258E-06   0.874786E-03  -0.382893E-06
    45   0.129532E+04   0.753971E-01   0.000000E+00   0.120177E+01   0.128788E-06   0.857036E-03  -0.419646E-06
    46   0.131471E+04   0.810471E-01   0.000000E+00   0.108059E+01   0.128297E-06   0.839449E-03  -0.385508E-06
    47   0.133424E+04   0.869515E-01   0.000000E+00   0.947014E+00   0.127787E-06   0.822118E-03  -0.300904E-06
    48   0.135385E+04   0.931095E-01   0.000000E+00   0.805167E+00   0.127258E-06   0.805197E-03  -0.198236E-06
    49   0.137362E+04   0.994978E-01   0.000000E+00   0.658601E+00   0.126712E-06   0.788842E-03  -0.109816E-06
    50   0.139381E+04   0.106086E+00   0.000000E+00   0.504083E+00   0.126151E-06   0.773207E-03  -0.678805E-07
    51   0.141420E+04   0.112841E+00   0.000000E+00   0.336987E+00   0.125577E-06   0.758394E-03  -0.946071E-07
    52   0.143499E+04   0.119854E+00   0.000000E+00   0.152755E+00   0.124989E-06   0.744289E-03  -0.172224E-06
    53   0.145579E+04   0.127278E+00   0.000000E+00  -0.513022E-01   0.124390E-06   0.730729E-03  -0.273034E-06
    54   0.147650E+04   0.135112E+00   0.000000E+00  -0.269909E+00   0.123780E-06   0.717549E-03  -0.369402E-06
    55   0.149733E+04   0.143342E+00   0.000000E+00  -0.497673E+00   0.123160E-06   0.704585E-03  -0.433751E-06
    56   0.151847E+04   0.151826E+00   0.000000E+00  -0.735589E+00   0.122530E-06   0.691717E-03  -0.446945E-06
    57   0.153986E+04   0.160455E+00   0.000000E+00  -0.983902E+00   0.121892E-06   0.678996E-03  -0.423429E-06
    58   0.156155E+04   0.169230E+00   0.000000E+00  -0.124390E+01   0.121246E-06   0.666515E-03  -0.386002E-06
    59   0.158339E+04   0.178186E+00   0.000000E+00  -0.151690E+01   0.120593E-06   0.654369E-03  -0.357419E-06
    60   0.160542E+04   0.187370E+00   0.000000E+00  -0.180277E+01   0.119932E-06   0.642651E-03  -0.360396E-06
    61   0.162795E+04   0.196871E+00   0.000000E+00  -0.210107E+01   0.119265E-06   0.631428E-03  -0.411056E-06
    62   0.165039E+04   0.206680E+00   0.000000E+00  -0.241243E+01   0.118592E-06   0.620667E-03  -0.499289E-06
    63   0.167293E+04   0.216763E+00   0.000000E+00  -0.273738E+01   0.117914E-06   0.610308E-03  -0.608447E-06
    64   0.169587E+04   0.227138E+00   0.000000E+00  -0.307668E+01   0.117233E-06   0.600293E-03  -0.721912E-06
    65   0.171882E+04   0.237785E+00   0.000000E+00  -0.343048E+01   0.116548E-06   0.590563E-03  -0.823092E-06
    66   0.174206E+04   0.248640E+00   0.000000E+00  -0.379662E+01   0.115862E-06   0.581065E-03  -0.898475E-06
    67   0.176544E+04   0.259706E+00   0.000000E+00  -0.417274E+01   0.115174E-06   0.571781E-03  -0.946801E-06
    68   0.178921E+04   0.271021E+00   0.000000E+00  -0.455771E+01   0.114485E-06   0.562697E-03  -0.969867E-06
    69   0.181315E+04   0.282543E+00   0.000000E+00  -0.495036E+01   0.113795E-06   0.553802E-03  -0.969467E-06
    70   0.183739E+04   0.294311E+00   0.000000E+00  -0.535289E+01   0.113105E-06   0.545083E-03  -0.947391E-06
    71   0.186176E+04   0.306313E+00   0.000000E+00  -0.576811E+01   0.112415E-06   0.536536E-03  -0.906340E-06
    72   0.188630E+04   0.318522E+00   0.000000E+00  -0.619719E+01   0.111724E-06   0.528184E-03  -0.852666E-06
    73   0.191099E+04   0.330905E+00   0.000000E+00  -0.664037E+01   0.111034E-06   0.520060E-03  -0.793628E-06
    74   0.193589E+04   0.343451E+00   0.000000E+00  -0.709644E+01   0.110344E-06   0.512196E-03  -0.736475E-06
    75   0.196112E+04   0.356172E+00   0.000000E+00  -0.756356E+01   0.109653E-06   0.504623E-03  -0.688450E-06
    76   0.198663E+04   0.369068E+00   0.000000E+00  -0.804082E+01   0.108963E-06   0.497362E-03  -0.654784E-06
    77   0.201247E+04   0.382134E+00   0.000000E+00  -0.852801E+01   0.108273E-06   0.490385E-03  -0.632689E-06
    78   0.203866E+04   0.395400E+00   0.000000E+00  -0.902657E+01   0.107584E-06   0.483653E-03  -0.617379E-06
    79   0.206499E+04   0.408812E+00   0.000000E+00  -0.953277E+01   0.106896E-06   0.477126E-03  -0.604072E-06
    80   0.209155E+04   0.422378E+00   0.000000E+00  -0.100480E+02   0.106210E-06   0.470766E-03  -0.587993E-06
    81   0.211824E+04   0.436051E+00   0.000000E+00  -0.105729E+02   0.105525E-06   0.464536E-03  -0.565660E-06
    82   0.214514E+04   0.449850E+00   0.000000E+00  -0.111067E+02   0.104842E-06   0.458419E-03  -0.538768E-06
    83   0.217220E+04   0.463752E+00   0.000000E+00  -0.116491E+02   0.104162E-06   0.452402E-03  -0.510296E-06
    84   0.219952E+04   0.477751E+00   0.000000E+00  -0.121985E+02   0.103484E-06   0.446471E-03  -0.483227E-06
    85   0.222697E+04   0.491824E+00   0.000000E+00  -0.127563E+02   0.102809E-06   0.440611E-03  -0.460536E-06
    86   0.225465E+04   0.505981E+00   0.000000E+00  -0.133215E+02   0.102137E-06   0.434815E-03  -0.444536E-06
    87   0.228278E+04   0.520195E+00   0.000000E+00  -0.138933E+02   0.101469E-06   0.429088E-03  -0.434887E-06
    88   0.231090E+04   0.534483E+00   0.000000E+00  -0.144717E+02   0.100803E-06   0.423444E-03  -0.430586E-06
    89   0.233938E+04   0.548832E+00   0.000000E+00  -0.150580E+02   0.100141E-06   0.417894E-03  -0.430633E-06
    90   0.236804E+04   0.563208E+00   0.000000E+00  -0.156493E+02   0.994820E-07   0.412450E-03  -0.434027E-06
    91   0.239682E+04   0.577606E+00   0.000000E+00  -0.162463E+02   0.988267E-07   0.407121E-03  -0.439909E-06
    92   0.242587E+04   0.592012E+00   0.000000E+00  -0.168482E+02   0.981749E-07   0.401906E-03  -0.447978E-06
    93   0.245517E+04   0.606421E+00   0.000000E+00  -0.174552E+02   0.975268E-07   0.396803E-03  -0.458073E-06
    94   0.248451E+04   0.620796E+00   0.000000E+00  -0.180659E+02   0.968823E-07   0.391807E-03  -0.470034E-06
    95   0.251412E+04   0.635140E+00   0.000000E+00  -0.186811E+02   0.962415E-07   0.386917E-03  -0.483700E-06
    96   0.254371E+04   0.649438E+00   0.000000E+00  -0.193001E+02   0.956044E-07   0.382127E-03  -0.498912E-06
    97   0.257371E+04   0.663678E+00   0.000000E+00  -0.199223E+02   0.949710E-07   0.377437E-03  -0.515508E-06
    98   0.260392E+04   0.677853E+00   0.000000E+00  -0.205456E+02   0.943415E-07   0.372841E-03  -0.533331E-06
    99   0.263418E+04   0.691928E+00   0.000000E+00  -0.211730E+02   0.937158E-07   0.368337E-03  -0.552219E-06
   100   0.266472E+04   0.705903E+00   0.000000E+00  -0.218002E+02   0.930939E-07   0.363921E-03  -0.572012E-06
   101   0.269539E+04   0.719841E+00   0.000000E+00  -0.224302E+02   0.924760E-07   0.359591E-03  -0.592552E-06
   102   0.272657E+04   0.733594E+00   0.000000E+00  -0.230608E+02   0.918621E-07   0.355344E-03  -0.613679E-06
   103   0.275766E+04   0.747237E+00   0.000000E+00  -0.236930E+02   0.912521E-07   0.351175E-03  -0.635233E-06
   104   0.278897E+04   0.760772E+00   0.000000E+00  -0.243238E+02   0.906462E-07   0.347083E-03  -0.657055E-06
   105   0.282042E+04   0.774126E+00   0.000000E+00  -0.249548E+02   0.900444E-07   0.343063E-03  -0.678987E-06
   106   0.285208E+04   0.787376E+00   0.000000E+00  -0.255854E+02   0.894468E-07   0.339113E-03  -0.700867E-06
   107   0.288368E+04   0.800373E+00   0.000000E+00  -0.262141E+02   0.888533E-07   0.335230E-03  -0.722539E-06
   108   0.291564E+04   0.813193E+00   0.000000E+00  -0.268418E+02   0.882641E-07   0.331409E-03  -0.743842E-06
   109   0.294776E+04   0.825764E+00   0.000000E+00  -0.274671E+02   0.876791E-07   0.327649E-03  -0.764619E-06
   110   0.297995E+04   0.838087E+00   0.000000E+00  -0.280885E+02   0.870985E-07   0.323946E-03  -0.784709E-06
   111   0.301231E+04   0.850238E+00   0.000000E+00  -0.287078E+02   0.865223E-07   0.320298E-03  -0.803974E-06
   112   0.304481E+04   0.862142E+00   0.000000E+00  -0.293240E+02   0.859504E-07   0.316703E-03  -0.822353E-06
   113   0.307755E+04   0.873800E+00   0.000000E+00  -0.299358E+02   0.853828E-07   0.313161E-03  -0.839805E-06
   114   0.311037E+04   0.885137E+00   0.000000E+00  -0.305424E+02   0.848196E-07   0.309672E-03  -0.856286E-06
   115   0.314341E+04   0.896302E+00   0.000000E+00  -0.311437E+02   0.842608E-07   0.306236E-03  -0.871757E-06
   116   0.317646E+04   0.907071E+00   0.000000E+00  -0.317391E+02   0.837062E-07   0.302852E-03  -0.886175E-06
   117   0.320981E+04   0.917520E+00   0.000000E+00  -0.323277E+02   0.831560E-07   0.299519E-03  -0.899500E-06
   118   0.324331E+04   0.927796E+00   0.000000E+00  -0.329104E+02   0.826100E-07   0.296238E-03  -0.911688E-06
   119   0.327681E+04   0.937752E+00   0.000000E+00  -0.334848E+02   0.820683E-07   0.293009E-03  -0.922699E-06
   120   0.331046E+04   0.947238E+00   0.000000E+00  -0.340511E+02   0.815309E-07   0.289830E-03  -0.932492E-06
   121   0.334412E+04   0.956552E+00   0.000000E+00  -0.346091E+02   0.809977E-07   0.286702E-03  -0.941024E-06
   122   0.337784E+04   0.965396E+00   0.000000E+00  -0.351581E+02   0.804688E-07   0.283624E-03  -0.948254E-06
