#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.337938E-02   0.179497E+08   0.179456E+08  -0.335406E+05   0.398631E+05   0.158211E+08   0.179395E+08   0.179490E+08   0.179395E+08  -0.467308E+00   0.881463E+07   0.881399E+07   0.634369E+02
   0.373310E-02   0.177845E+08   0.177802E+08  -0.260829E+05   0.401334E+05   0.154174E+08   0.177732E+08   0.177838E+08   0.177732E+08  -0.462975E+00   0.873051E+07   0.872987E+07   0.571922E+02
   0.412384E-02   0.175967E+08   0.175922E+08  -0.308314E+05   0.269268E+05   0.149804E+08   0.175843E+08   0.175960E+08   0.175843E+08  -0.458053E+00   0.863574E+07   0.863510E+07   0.512741E+02
   0.455549E-02   0.173856E+08   0.173807E+08  -0.201967E+05   0.264712E+05   0.145101E+08   0.173719E+08   0.173848E+08   0.173719E+08  -0.452521E+00   0.852981E+07   0.852918E+07   0.459522E+02
   0.503231E-02   0.171500E+08   0.171447E+08  -0.150081E+05   0.214033E+05   0.140069E+08   0.171350E+08   0.171491E+08   0.171350E+08  -0.446350E+00   0.841215E+07   0.841153E+07   0.413458E+02
   0.555904E-02   0.168891E+08   0.168833E+08  -0.167136E+05   0.153890E+05   0.134719E+08   0.168729E+08   0.168882E+08   0.168729E+08  -0.439521E+00   0.828232E+07   0.828170E+07   0.372613E+02
   0.614090E-02   0.166026E+08   0.165962E+08  -0.143871E+05   0.118853E+05   0.128816E+08   0.165849E+08   0.166016E+08   0.165849E+08  -0.432020E+00   0.814006E+07   0.813944E+07   0.334848E+02
   0.678367E-02   0.162885E+08   0.162814E+08  -0.136120E+05   0.954955E+04   0.122710E+08   0.162694E+08   0.162874E+08   0.162694E+08  -0.423800E+00   0.798442E+07   0.798381E+07   0.300564E+02
   0.749371E-02   0.159463E+08   0.159384E+08  -0.108139E+05   0.776988E+04   0.116282E+08   0.159257E+08   0.159450E+08   0.159257E+08  -0.414847E+00   0.781512E+07   0.781451E+07   0.270480E+02
   0.827807E-02   0.155751E+08   0.155662E+08  -0.784422E+04   0.673020E+04   0.109629E+08   0.155530E+08   0.155737E+08   0.155530E+08  -0.405139E+00   0.763170E+07   0.763109E+07   0.243466E+02
   0.914454E-02   0.151740E+08   0.151639E+08  -0.599052E+04   0.566929E+04   0.102831E+08   0.151505E+08   0.151724E+08   0.151505E+08  -0.394653E+00   0.743369E+07   0.743309E+07   0.219174E+02
   0.101017E-01   0.147422E+08   0.147307E+08  -0.603244E+04   0.394312E+04   0.958814E+07   0.147173E+08   0.147404E+08   0.147173E+08  -0.383369E+00   0.722070E+07   0.722010E+07   0.197717E+02
   0.111590E-01   0.142791E+08   0.142659E+08  -0.436614E+04   0.353868E+04   0.887969E+07   0.142528E+08   0.142770E+08   0.142528E+08  -0.371270E+00   0.699235E+07   0.699175E+07   0.178542E+02
   0.123270E-01   0.137839E+08   0.137688E+08  -0.374165E+04   0.279792E+04   0.816531E+07   0.137564E+08   0.137816E+08   0.137564E+08  -0.358338E+00   0.674825E+07   0.674765E+07   0.161577E+02
   0.136173E-01   0.132562E+08   0.132389E+08  -0.265934E+04   0.218156E+04   0.745288E+07   0.132275E+08   0.132535E+08   0.132275E+08  -0.344562E+00   0.648816E+07   0.648756E+07   0.146507E+02
   0.150426E-01   0.126958E+08   0.126759E+08  -0.233464E+04   0.177596E+04   0.674748E+07   0.126660E+08   0.126927E+08   0.126660E+08  -0.329935E+00   0.621183E+07   0.621123E+07   0.133144E+02
   0.166171E-01   0.121028E+08   0.120800E+08  -0.183555E+04   0.125367E+04   0.605350E+07   0.120721E+08   0.120992E+08   0.120721E+08  -0.314464E+00   0.591933E+07   0.591872E+07   0.121251E+02
   0.183565E-01   0.114959E+08   0.114700E+08  -0.137502E+04   0.107195E+04   0.538880E+07   0.114645E+08   0.114919E+08   0.114645E+08  -0.298637E+00   0.561981E+07   0.561920E+07   0.110714E+02
   0.202778E-01   0.108446E+08   0.108152E+08  -0.119504E+04   0.853315E+03   0.474225E+07   0.108126E+08   0.108400E+08   0.108126E+08  -0.281657E+00   0.529827E+07   0.529765E+07   0.101079E+02
   0.224003E-01   0.101569E+08   0.101239E+08  -0.895169E+03   0.502763E+03   0.412468E+07   0.101247E+08   0.101518E+08   0.101247E+08  -0.263738E+00   0.495881E+07   0.495819E+07   0.921663E+01
   0.247449E-01   0.945632E+07   0.941976E+07  -0.665508E+03   0.422960E+03   0.354943E+07   0.942412E+07   0.945059E+07   0.942412E+07  -0.245488E+00   0.461299E+07   0.461237E+07   0.838355E+01
   0.273350E-01   0.874853E+07   0.870866E+07  -0.547855E+03   0.350436E+03   0.302115E+07   0.871662E+07   0.874228E+07   0.871662E+07  -0.227058E+00   0.426470E+07   0.426408E+07   0.758259E+01
   0.301961E-01   0.803186E+07   0.798927E+07  -0.419038E+03   0.287967E+03   0.253978E+07   0.800059E+07   0.802519E+07   0.800058E+07  -0.208406E+00   0.391349E+07   0.391288E+07   0.678873E+01
   0.333567E-01   0.732079E+07   0.727644E+07  -0.291848E+03   0.459162E+03   0.210990E+07   0.729050E+07   0.731384E+07   0.729050E+07  -0.189909E+00   0.357019E+07   0.356959E+07   0.598552E+01
   0.368482E-01   0.664346E+07   0.659874E+07  -0.236141E+03   0.341422E+03   0.173847E+07   0.661448E+07   0.663645E+07   0.661448E+07  -0.172300E+00   0.324466E+07   0.324409E+07   0.516756E+01
   0.407050E-01   0.601224E+07   0.596896E+07  -0.171059E+03   0.253185E+03   0.142272E+07   0.598491E+07   0.600546E+07   0.598491E+07  -0.155900E+00   0.293882E+07   0.293829E+07   0.433505E+01
   0.449656E-01   0.544265E+07   0.540282E+07  -0.123237E+03   0.187818E+03   0.115920E+07   0.541723E+07   0.543641E+07   0.541723E+07  -0.141113E+00   0.266146E+07   0.266098E+07   0.350448E+01
   0.494622E-01   0.496500E+07   0.493027E+07  -0.109536E+03   0.141606E+03   0.951561E+06   0.494158E+07   0.495956E+07   0.494158E+07  -0.128723E+00   0.242836E+07   0.242796E+07   0.274117E+01
   0.539588E-01   0.458768E+07   0.455874E+07  -0.823222E+02   0.109958E+03   0.795406E+06   0.456616E+07   0.458315E+07   0.456616E+07  -0.118943E+00   0.224413E+07   0.224379E+07   0.210659E+01
   0.584553E-01   0.428299E+07   0.425972E+07  -0.486453E+02   0.874816E+02   0.675072E+06   0.426318E+07   0.427935E+07   0.426318E+07  -0.111051E+00   0.209536E+07   0.209508E+07   0.160649E+01
   0.629519E-01   0.402533E+07   0.400692E+07  -0.467569E+02   0.709021E+02   0.579418E+06   0.400700E+07   0.402244E+07   0.400700E+07  -0.104378E+00   0.196953E+07   0.196930E+07   0.123690E+01
   0.674484E-01   0.379381E+07   0.377902E+07  -0.420223E+02   0.582175E+02   0.500795E+06   0.377674E+07   0.379150E+07   0.377674E+07  -0.983797E-01   0.185641E+07   0.185621E+07   0.984492E+00
   0.719450E-01   0.357379E+07   0.356118E+07  -0.337584E+02   0.482031E+02   0.434260E+06   0.355774E+07   0.357182E+07   0.355774E+07  -0.926752E-01   0.174881E+07   0.174863E+07   0.828693E+00
   0.764416E-01   0.336273E+07   0.335095E+07  -0.152155E+02   0.401774E+02   0.377446E+06   0.334750E+07   0.336088E+07   0.334750E+07  -0.871987E-01   0.164550E+07   0.164533E+07   0.745812E+00
   0.809381E-01   0.314796E+07   0.313594E+07  -0.150854E+02   0.335467E+02   0.327416E+06   0.313343E+07   0.314607E+07   0.313343E+07  -0.816223E-01   0.154030E+07   0.154013E+07   0.708593E+00
   0.854347E-01   0.293684E+07   0.292392E+07  -0.582038E+01   0.280866E+02   0.283877E+06   0.292293E+07   0.293482E+07   0.292293E+07  -0.761389E-01   0.143685E+07   0.143668E+07   0.694951E+00
   0.899313E-01   0.273454E+07   0.272048E+07  -0.144796E+02   0.235993E+02   0.246316E+06   0.272118E+07   0.273233E+07   0.272118E+07  -0.708838E-01   0.133770E+07   0.133752E+07   0.686428E+00
   0.944278E-01   0.254701E+07   0.253199E+07  -0.161288E+01   0.199350E+02   0.214341E+06   0.253421E+07   0.254466E+07   0.253421E+07  -0.660132E-01   0.124581E+07   0.124562E+07   0.670351E+00
   0.101114E+00   0.230603E+07   0.229046E+07  -0.750699E+01   0.157387E+02   0.176165E+06   0.229405E+07   0.230359E+07   0.229405E+07  -0.597574E-01   0.112777E+07   0.112758E+07   0.619611E+00
   0.107801E+00   0.211676E+07   0.210203E+07  -0.735513E+01   0.127099E+02   0.147503E+06   0.210563E+07   0.211446E+07   0.210563E+07  -0.548494E-01   0.103516E+07   0.103499E+07   0.537511E+00
   0.114487E+00   0.197506E+07   0.196229E+07  -0.600025E+01   0.105151E+02   0.126092E+06   0.196477E+07   0.197306E+07   0.196477E+07  -0.511801E-01   0.965923E+06   0.965772E+06   0.439274E+00
   0.121173E+00   0.186715E+07   0.185682E+07  -0.551981E+01   0.887517E+01   0.109644E+06   0.185766E+07   0.186553E+07   0.185766E+07  -0.483899E-01   0.913270E+06   0.913145E+06   0.345202E+00
   0.127860E+00   0.177569E+07   0.176754E+07  -0.547678E+01   0.758183E+01   0.962525E+05   0.176688E+07   0.177441E+07   0.176688E+07  -0.460253E-01   0.868650E+06   0.868546E+06   0.271422E+00
   0.134546E+00   0.168604E+07   0.167930E+07  -0.276781E+01   0.650190E+01   0.846335E+05   0.167780E+07   0.168498E+07   0.167780E+07  -0.437049E-01   0.824862E+06   0.824772E+06   0.224938E+00
   0.141232E+00   0.159047E+07   0.158421E+07  -0.270316E+01   0.556644E+01   0.741470E+05   0.158270E+07   0.158949E+07   0.158270E+07  -0.412274E-01   0.778111E+06   0.778025E+06   0.203331E+00
   0.147919E+00   0.148902E+07   0.148250E+07  -0.383245E+01   0.475055E+01   0.646432E+05   0.148162E+07   0.148800E+07   0.148162E+07  -0.385945E-01   0.728424E+06   0.728336E+06   0.197837E+00
   0.154605E+00   0.138738E+07   0.138027E+07  -0.296619E+01   0.405123E+01   0.562289E+05   0.138030E+07   0.138627E+07   0.138030E+07  -0.359553E-01   0.678620E+06   0.678528E+06   0.197805E+00
   0.161291E+00   0.129324E+07   0.128565E+07  -0.104961E+01   0.346933E+01   0.490473E+05   0.128648E+07   0.129205E+07   0.128648E+07  -0.335113E-01   0.632497E+06   0.632403E+06   0.194652E+00
   0.167978E+00   0.121269E+07   0.120502E+07  -0.119164E+01   0.299919E+01   0.431354E+05   0.120625E+07   0.121149E+07   0.120625E+07  -0.314215E-01   0.593057E+06   0.592964E+06   0.184070E+00
   0.174664E+00   0.114799E+07   0.114071E+07  -0.117185E+01   0.262594E+01   0.383786E+05   0.114188E+07   0.114685E+07   0.114188E+07  -0.297446E-01   0.561410E+06   0.561322E+06   0.166233E+00
   0.181351E+00   0.109721E+07   0.109069E+07  -0.843274E+00   0.232827E+01   0.345440E+05   0.109142E+07   0.109619E+07   0.109142E+07  -0.284304E-01   0.536606E+06   0.536528E+06   0.144446E+00
   0.188037E+00   0.105553E+07   0.104991E+07  -0.114719E+01   0.208358E+01   0.313534E+05   0.105006E+07   0.105465E+07   0.105006E+07  -0.273529E-01   0.516272E+06   0.516202E+06   0.123094E+00
   0.194723E+00   0.101737E+07   0.101253E+07  -0.154544E+01   0.187286E+01   0.285595E+05   0.101218E+07   0.101661E+07   0.101218E+07  -0.263661E-01   0.497647E+06   0.497585E+06   0.105781E+00
   0.201410E+00   0.978328E+06   0.973986E+06  -0.835174E+00   0.168348E+01   0.259949E+05   0.973380E+06   0.977648E+06   0.973380E+06  -0.253554E-01   0.478572E+06   0.478516E+06   0.942165E-01
   0.208096E+00   0.936450E+06   0.932291E+06  -0.197765E+00   0.150953E+01   0.235857E+05   0.931707E+06   0.935799E+06   0.931707E+06  -0.242699E-01   0.458085E+06   0.458030E+06   0.880522E-01
   0.214782E+00   0.892288E+06   0.888067E+06  -0.453374E+00   0.135012E+01   0.213317E+05   0.887723E+06   0.891626E+06   0.887723E+06  -0.231242E-01   0.436462E+06   0.436407E+06   0.854685E-01
   0.221469E+00   0.848128E+06   0.843743E+06  -0.545462E+00   0.120690E+01   0.192712E+05   0.843726E+06   0.847441E+06   0.843726E+06  -0.219781E-01   0.414832E+06   0.414776E+06   0.841245E-01
   0.228155E+00   0.806748E+06   0.802242E+06  -0.319866E+00   0.108165E+01   0.174448E+05   0.802505E+06   0.806043E+06   0.802505E+06  -0.209044E-01   0.394567E+06   0.394510E+06   0.820557E-01
   0.234841E+00   0.770255E+06   0.765765E+06  -0.418619E+00   0.974709E+00   0.158700E+05   0.766171E+06   0.769551E+06   0.766171E+06  -0.199579E-01   0.376703E+06   0.376648E+06   0.782256E-01
   0.241528E+00   0.739392E+06   0.735085E+06  -0.476852E+00   0.884568E+00   0.145326E+05   0.735469E+06   0.738718E+06   0.735469E+06  -0.191581E-01   0.361609E+06   0.361556E+06   0.726304E-01
   0.248214E+00   0.713483E+06   0.709481E+06  -0.197395E+00   0.808232E+00   0.133927E+05   0.709719E+06   0.712856E+06   0.709719E+06  -0.184874E-01   0.348949E+06   0.348900E+06   0.660285E-01
   0.254901E+00   0.690879E+06   0.687227E+06  -0.185301E+00   0.742143E+00   0.123981E+05   0.687266E+06   0.690307E+06   0.687266E+06  -0.179025E-01   0.337910E+06   0.337864E+06   0.594809E-01
   0.261587E+00   0.669674E+06   0.666335E+06  -0.453489E+00   0.683092E+00   0.115005E+05   0.666201E+06   0.669151E+06   0.666201E+06  -0.173538E-01   0.327553E+06   0.327510E+06   0.539011E-01
   0.268273E+00   0.648373E+06   0.645253E+06  -0.490153E+00   0.628824E+00   0.106655E+05   0.645026E+06   0.647884E+06   0.645026E+06  -0.168022E-01   0.317142E+06   0.317102E+06   0.497661E-01
   0.274960E+00   0.626291E+06   0.623281E+06  -0.306561E+00   0.578227E+00   0.987681E+04   0.623056E+06   0.625819E+06   0.623056E+06  -0.162299E-01   0.306341E+06   0.306302E+06   0.470467E-01
   0.281646E+00   0.603596E+06   0.600610E+06  -0.299343E+00   0.531116E+00   0.913346E+04   0.600464E+06   0.603128E+06   0.600464E+06  -0.156414E-01   0.295233E+06   0.295195E+06   0.453269E-01
   0.288332E+00   0.581051E+06   0.578049E+06  -0.265713E+00   0.487823E+00   0.844321E+04   0.578014E+06   0.580580E+06   0.578014E+06  -0.150566E-01   0.284196E+06   0.284158E+06   0.440276E-01
   0.295019E+00   0.559602E+06   0.556594E+06  -0.143913E+00   0.448747E+00   0.781490E+04   0.556658E+06   0.559131E+06   0.556658E+06  -0.145003E-01   0.273696E+06   0.273658E+06   0.426339E-01
   0.301705E+00   0.539991E+06   0.537019E+06  -0.170485E+00   0.414032E+00   0.725300E+04   0.537138E+06   0.539526E+06   0.537138E+06  -0.139918E-01   0.264099E+06   0.264062E+06   0.408472E-01
   0.308391E+00   0.522512E+06   0.519631E+06  -0.279426E+00   0.383446E+00   0.675525E+04   0.519750E+06   0.522061E+06   0.519750E+06  -0.135389E-01   0.255550E+06   0.255514E+06   0.386301E-01
   0.315078E+00   0.506976E+06   0.504228E+06  -0.217939E+00   0.356426E+00   0.631336E+04   0.504302E+06   0.506546E+06   0.504302E+06  -0.131365E-01   0.247955E+06   0.247920E+06   0.361522E-01
   0.321764E+00   0.492848E+06   0.490251E+06  -0.123317E+00   0.332251E+00   0.591582E+04   0.490259E+06   0.492442E+06   0.490259E+06  -0.127707E-01   0.241050E+06   0.241018E+06   0.336805E-01
