#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105040E-04   0.168984E+08   0.168984E+08   0.225178E+08   0.225175E+08   0.169005E+08   0.168984E+08   0.168984E+08   0.169050E+08  -0.440637E+00   0.871457E+07   0.871457E+07   0.568969E+01
   0.116035E-04   0.168985E+08   0.168985E+08   0.225151E+08   0.225146E+08   0.169007E+08   0.168985E+08   0.168985E+08   0.169051E+08  -0.440640E+00   0.871461E+07   0.871461E+07   0.628504E+01
   0.128180E-04   0.168987E+08   0.168987E+08   0.225117E+08   0.225112E+08   0.169008E+08   0.168987E+08   0.168987E+08   0.169053E+08  -0.440644E+00   0.871466E+07   0.871466E+07   0.694263E+01
   0.141597E-04   0.168989E+08   0.168989E+08   0.225076E+08   0.225070E+08   0.169010E+08   0.168989E+08   0.168989E+08   0.169055E+08  -0.440650E+00   0.871472E+07   0.871472E+07   0.766896E+01
   0.156418E-04   0.168991E+08   0.168991E+08   0.225026E+08   0.225018E+08   0.169012E+08   0.168991E+08   0.168991E+08   0.169057E+08  -0.440656E+00   0.871479E+07   0.871479E+07   0.847119E+01
   0.172790E-04   0.168994E+08   0.168994E+08   0.224965E+08   0.224955E+08   0.169015E+08   0.168995E+08   0.168994E+08   0.169060E+08  -0.440664E+00   0.871488E+07   0.871487E+07   0.935723E+01
   0.190876E-04   0.168998E+08   0.168998E+08   0.224891E+08   0.224879E+08   0.169019E+08   0.168998E+08   0.168998E+08   0.169064E+08  -0.440674E+00   0.871498E+07   0.871498E+07   0.103358E+02
   0.210855E-04   0.169003E+08   0.169003E+08   0.224800E+08   0.224785E+08   0.169023E+08   0.169003E+08   0.169003E+08   0.169069E+08  -0.440686E+00   0.871511E+07   0.871511E+07   0.114165E+02
   0.232925E-04   0.169008E+08   0.169008E+08   0.224690E+08   0.224672E+08   0.169028E+08   0.169008E+08   0.169008E+08   0.169074E+08  -0.440700E+00   0.871527E+07   0.871527E+07   0.126099E+02
   0.257305E-04   0.169015E+08   0.169015E+08   0.224555E+08   0.224533E+08   0.169035E+08   0.169015E+08   0.169015E+08   0.169081E+08  -0.440717E+00   0.871546E+07   0.871546E+07   0.139276E+02
   0.284237E-04   0.169023E+08   0.169023E+08   0.224390E+08   0.224363E+08   0.169042E+08   0.169023E+08   0.169023E+08   0.169089E+08  -0.440739E+00   0.871569E+07   0.871569E+07   0.153826E+02
   0.313988E-04   0.169033E+08   0.169033E+08   0.224189E+08   0.224156E+08   0.169052E+08   0.169033E+08   0.169033E+08   0.169099E+08  -0.440765E+00   0.871598E+07   0.871598E+07   0.169888E+02
   0.346853E-04   0.169046E+08   0.169046E+08   0.223945E+08   0.223904E+08   0.169064E+08   0.169046E+08   0.169046E+08   0.169111E+08  -0.440796E+00   0.871633E+07   0.871632E+07   0.187619E+02
   0.383158E-04   0.169061E+08   0.169061E+08   0.223646E+08   0.223597E+08   0.169078E+08   0.169061E+08   0.169061E+08   0.169126E+08  -0.440835E+00   0.871675E+07   0.871675E+07   0.207187E+02
   0.423263E-04   0.169079E+08   0.169079E+08   0.223283E+08   0.223223E+08   0.169095E+08   0.169079E+08   0.169079E+08   0.169144E+08  -0.440882E+00   0.871726E+07   0.871726E+07   0.228780E+02
   0.467566E-04   0.169101E+08   0.169101E+08   0.222840E+08   0.222767E+08   0.169116E+08   0.169101E+08   0.169101E+08   0.169166E+08  -0.440939E+00   0.871790E+07   0.871789E+07   0.252600E+02
   0.516506E-04   0.169128E+08   0.169128E+08   0.222300E+08   0.222211E+08   0.169141E+08   0.169128E+08   0.169128E+08   0.169193E+08  -0.441009E+00   0.871866E+07   0.871866E+07   0.278870E+02
   0.570568E-04   0.169161E+08   0.169161E+08   0.221643E+08   0.221535E+08   0.169172E+08   0.169161E+08   0.169161E+08   0.169226E+08  -0.441094E+00   0.871959E+07   0.871959E+07   0.307830E+02
   0.630290E-04   0.169201E+08   0.169201E+08   0.220843E+08   0.220712E+08   0.169209E+08   0.169201E+08   0.169201E+08   0.169266E+08  -0.441197E+00   0.872072E+07   0.872072E+07   0.339742E+02
   0.696262E-04   0.169250E+08   0.169250E+08   0.219871E+08   0.219711E+08   0.169255E+08   0.169250E+08   0.169250E+08   0.169314E+08  -0.441322E+00   0.872210E+07   0.872209E+07   0.374887E+02
   0.769139E-04   0.169309E+08   0.169308E+08   0.218689E+08   0.218495E+08   0.169310E+08   0.169309E+08   0.169309E+08   0.169373E+08  -0.441475E+00   0.872377E+07   0.872376E+07   0.413568E+02
   0.849645E-04   0.169380E+08   0.169380E+08   0.217255E+08   0.217019E+08   0.169377E+08   0.169380E+08   0.169380E+08   0.169444E+08  -0.441659E+00   0.872580E+07   0.872579E+07   0.456105E+02
   0.938577E-04   0.169467E+08   0.169467E+08   0.215515E+08   0.215229E+08   0.169458E+08   0.169467E+08   0.169467E+08   0.169530E+08  -0.441883E+00   0.872826E+07   0.872824E+07   0.502835E+02
   0.103682E-03   0.169572E+08   0.169571E+08   0.213409E+08   0.213062E+08   0.169557E+08   0.169572E+08   0.169572E+08   0.169634E+08  -0.442153E+00   0.873123E+07   0.873121E+07   0.554109E+02
   0.114534E-03   0.169698E+08   0.169698E+08   0.210862E+08   0.210442E+08   0.169675E+08   0.169698E+08   0.169698E+08   0.169760E+08  -0.442478E+00   0.873481E+07   0.873479E+07   0.610284E+02
   0.126522E-03   0.169850E+08   0.169850E+08   0.207789E+08   0.207282E+08   0.169817E+08   0.169850E+08   0.169850E+08   0.169911E+08  -0.442870E+00   0.873913E+07   0.873910E+07   0.671716E+02
   0.139765E-03   0.170033E+08   0.170032E+08   0.204091E+08   0.203481E+08   0.169987E+08   0.170033E+08   0.170033E+08   0.170092E+08  -0.443341E+00   0.874431E+07   0.874428E+07   0.738746E+02
   0.154395E-03   0.170251E+08   0.170250E+08   0.199655E+08   0.198922E+08   0.170191E+08   0.170251E+08   0.170251E+08   0.170309E+08  -0.443904E+00   0.875051E+07   0.875048E+07   0.811680E+02
   0.170555E-03   0.170511E+08   0.170510E+08   0.194355E+08   0.193477E+08   0.170432E+08   0.170511E+08   0.170511E+08   0.170567E+08  -0.444573E+00   0.875790E+07   0.875786E+07   0.890771E+02
   0.188407E-03   0.170819E+08   0.170817E+08   0.188050E+08   0.187004E+08   0.170718E+08   0.170819E+08   0.170819E+08   0.170873E+08  -0.445367E+00   0.876667E+07   0.876662E+07   0.976180E+02
   0.208127E-03   0.171182E+08   0.171180E+08   0.180595E+08   0.179355E+08   0.171054E+08   0.171181E+08   0.171182E+08   0.171234E+08  -0.446302E+00   0.877701E+07   0.877694E+07   0.106793E+03
   0.229912E-03   0.171607E+08   0.171604E+08   0.171843E+08   0.170383E+08   0.171446E+08   0.171606E+08   0.171606E+08   0.171656E+08  -0.447395E+00   0.878912E+07   0.878904E+07   0.116588E+03
   0.253977E-03   0.172099E+08   0.172096E+08   0.161660E+08   0.159954E+08   0.171898E+08   0.172098E+08   0.172099E+08   0.172145E+08  -0.448663E+00   0.880319E+07   0.880309E+07   0.126961E+03
   0.280561E-03   0.172665E+08   0.172662E+08   0.149942E+08   0.147968E+08   0.172415E+08   0.172664E+08   0.172665E+08   0.172707E+08  -0.450121E+00   0.881939E+07   0.881928E+07   0.137838E+03
   0.309927E-03   0.173309E+08   0.173305E+08   0.136643E+08   0.134386E+08   0.173000E+08   0.173307E+08   0.173309E+08   0.173347E+08  -0.451778E+00   0.883785E+07   0.883771E+07   0.149102E+03
   0.342367E-03   0.174033E+08   0.174027E+08   0.121807E+08   0.119266E+08   0.173650E+08   0.174030E+08   0.174032E+08   0.174065E+08  -0.453638E+00   0.885862E+07   0.885845E+07   0.160586E+03
   0.378202E-03   0.174834E+08   0.174827E+08   0.105613E+08   0.102805E+08   0.174363E+08   0.174830E+08   0.174833E+08   0.174861E+08  -0.455699E+00   0.888166E+07   0.888146E+07   0.172060E+03
   0.417788E-03   0.175707E+08   0.175699E+08   0.884177E+07   0.853850E+07   0.175130E+08   0.175703E+08   0.175706E+08   0.175729E+08  -0.457945E+00   0.890682E+07   0.890659E+07   0.183226E+03
   0.461518E-03   0.176644E+08   0.176634E+08   0.707913E+07   0.676108E+07   0.175935E+08   0.176639E+08   0.176642E+08   0.176659E+08  -0.460352E+00   0.893382E+07   0.893355E+07   0.193718E+03
   0.509825E-03   0.177628E+08   0.177617E+08   0.535319E+07   0.503173E+07   0.176762E+08   0.177623E+08   0.177627E+08   0.177638E+08  -0.462884E+00   0.896222E+07   0.896191E+07   0.203105E+03
   0.563188E-03   0.178643E+08   0.178630E+08   0.376247E+07   0.345251E+07   0.177585E+08   0.178636E+08   0.178641E+08   0.178647E+08  -0.465492E+00   0.899144E+07   0.899109E+07   0.210913E+03
   0.622137E-03   0.179665E+08   0.179650E+08   0.241228E+07   0.213103E+07   0.178374E+08   0.179657E+08   0.179663E+08   0.179664E+08  -0.468120E+00   0.902079E+07   0.902039E+07   0.216660E+03
   0.687256E-03   0.180670E+08   0.180652E+08   0.139279E+07   0.115715E+07   0.179099E+08   0.180661E+08   0.180668E+08   0.180664E+08  -0.470706E+00   0.904946E+07   0.904900E+07   0.219907E+03
   0.759191E-03   0.181633E+08   0.181613E+08   0.749082E+06   0.571592E+06   0.179724E+08   0.181621E+08   0.181630E+08   0.181623E+08  -0.473184E+00   0.907658E+07   0.907608E+07   0.220321E+03
   0.838655E-03   0.182528E+08   0.182505E+08   0.452359E+06   0.336648E+06   0.180213E+08   0.182514E+08   0.182525E+08   0.182516E+08  -0.475491E+00   0.910126E+07   0.910072E+07   0.217732E+03
   0.926437E-03   0.183332E+08   0.183307E+08   0.390564E+06   0.328211E+06   0.180531E+08   0.183316E+08   0.183328E+08   0.183317E+08  -0.477565E+00   0.912265E+07   0.912206E+07   0.212171E+03
   0.102341E-02   0.184025E+08   0.183997E+08   0.399921E+06   0.371541E+06   0.180643E+08   0.184005E+08   0.184020E+08   0.184006E+08  -0.479351E+00   0.913990E+07   0.913928E+07   0.203855E+03
   0.113053E-02   0.184588E+08   0.184557E+08   0.342876E+06   0.325191E+06   0.180517E+08   0.184565E+08   0.184583E+08   0.184566E+08  -0.480802E+00   0.915226E+07   0.915160E+07   0.193132E+03
   0.124886E-02   0.185007E+08   0.184974E+08   0.194410E+06   0.171113E+06   0.180122E+08   0.184980E+08   0.185001E+08   0.184980E+08  -0.481878E+00   0.915905E+07   0.915838E+07   0.180417E+03
   0.137958E-02   0.185270E+08   0.185236E+08   0.526315E+05   0.217107E+05   0.179434E+08   0.185238E+08   0.185264E+08   0.185238E+08  -0.482547E+00   0.915971E+07   0.915902E+07   0.166173E+03
   0.152398E-02   0.185368E+08   0.185334E+08   0.188363E+05  -0.110957E+05   0.178436E+08   0.185332E+08   0.185363E+08   0.185332E+08  -0.482786E+00   0.915374E+07   0.915305E+07   0.150972E+03
   0.168349E-02   0.185295E+08   0.185260E+08   0.518187E+05   0.302187E+05   0.177108E+08   0.185253E+08   0.185290E+08   0.185253E+08  -0.482577E+00   0.914073E+07   0.914004E+07   0.135553E+03
   0.185970E-02   0.185045E+08   0.185010E+08   0.260033E+05   0.119844E+05   0.175440E+08   0.184996E+08   0.185039E+08   0.184996E+08  -0.481906E+00   0.912029E+07   0.911962E+07   0.120732E+03
   0.205435E-02   0.184612E+08   0.184577E+08  -0.397675E+05  -0.524213E+05   0.173425E+08   0.184556E+08   0.184606E+08   0.184556E+08  -0.480758E+00   0.909204E+07   0.909138E+07   0.107186E+03
   0.226938E-02   0.183991E+08   0.183956E+08  -0.307315E+05  -0.319359E+05   0.171062E+08   0.183928E+08   0.183986E+08   0.183928E+08  -0.479119E+00   0.905448E+07   0.905383E+07   0.953401E+02
   0.250692E-02   0.183174E+08   0.183138E+08  -0.146963E+05   0.541583E+05   0.168350E+08   0.183102E+08   0.183168E+08   0.183102E+08  -0.476966E+00   0.900808E+07   0.900744E+07   0.853654E+02
   0.276932E-02   0.182155E+08   0.182118E+08  -0.391648E+05   0.358975E+05   0.165300E+08   0.182074E+08   0.182149E+08   0.182074E+08  -0.474287E+00   0.895293E+07   0.895229E+07   0.770758E+02
   0.305918E-02   0.180931E+08   0.180893E+08  -0.224690E+05   0.507122E+05   0.161919E+08   0.180840E+08   0.180925E+08   0.180840E+08  -0.471072E+00   0.888860E+07   0.888796E+07   0.699494E+02
