#    L    TT             EE             TE             PP             TP          
     2   0.105244E+04   0.450659E-01   0.320375E+01   0.103959E+07   0.281986E+05
     3   0.993172E+03   0.704738E-01   0.388358E+01   0.159404E+07   0.336304E+05
     4   0.934802E+03   0.759527E-01   0.390647E+01   0.208260E+07   0.361328E+05
     5   0.889502E+03   0.644632E-01   0.355809E+01   0.251160E+07   0.370885E+05
     6   0.856921E+03   0.455208E-01   0.305051E+01   0.288824E+07   0.372026E+05
     7   0.834747E+03   0.278409E-01   0.251363E+01   0.322050E+07   0.368545E+05
     8   0.820163E+03   0.158190E-01   0.202702E+01   0.351482E+07   0.361895E+05
     9   0.811542E+03   0.965421E-02   0.162652E+01   0.377678E+07   0.353012E+05
    10   0.807638E+03   0.732400E-02   0.132491E+01   0.401020E+07   0.343079E+05
    11   0.807050E+03   0.657452E-02   0.112357E+01   0.421972E+07   0.333288E+05
    12   0.809946E+03   0.608909E-02   0.101659E+01   0.440714E+07   0.323907E+05
    13   0.814625E+03   0.531625E-02   0.983013E+00   0.457495E+07   0.314897E+05
    14   0.820245E+03   0.459950E-02   0.997866E+00   0.472579E+07   0.306192E+05
    15   0.827181E+03   0.413610E-02   0.104182E+01   0.486138E+07   0.297677E+05
    16   0.835898E+03   0.400823E-02   0.109918E+01   0.498318E+07   0.289257E+05
    17   0.846286E+03   0.420428E-02   0.116003E+01   0.509271E+07   0.280987E+05
    18   0.857367E+03   0.451288E-02   0.121859E+01   0.519132E+07   0.272950E+05
    19   0.870000E+03   0.486562E-02   0.127324E+01   0.527969E+07   0.265187E+05
    20   0.882548E+03   0.529457E-02   0.132089E+01   0.535847E+07   0.257725E+05
    21   0.895374E+03   0.582333E-02   0.136291E+01   0.542872E+07   0.250557E+05
    22   0.908754E+03   0.654621E-02   0.140126E+01   0.549148E+07   0.243664E+05
    23   0.922485E+03   0.748938E-02   0.144082E+01   0.554728E+07   0.237012E+05
    24   0.936613E+03   0.862691E-02   0.148565E+01   0.559653E+07   0.230577E+05
    25   0.951125E+03   0.996368E-02   0.153359E+01   0.563980E+07   0.224398E+05
    26   0.965872E+03   0.114734E-01   0.158283E+01   0.567769E+07   0.218520E+05
    27   0.981067E+03   0.131386E-01   0.163208E+01   0.571066E+07   0.212940E+05
    28   0.996529E+03   0.149681E-01   0.168068E+01   0.573907E+07   0.207634E+05
    29   0.101229E+04   0.169524E-01   0.172493E+01   0.576301E+07   0.202535E+05
    30   0.102827E+04   0.190919E-01   0.176019E+01   0.578258E+07   0.197587E+05
    31   0.104437E+04   0.214052E-01   0.178724E+01   0.579831E+07   0.192824E+05
    32   0.106087E+04   0.238984E-01   0.180731E+01   0.581075E+07   0.188286E+05
    33   0.107776E+04   0.265590E-01   0.181799E+01   0.582011E+07   0.183954E+05
    34   0.109485E+04   0.293885E-01   0.181742E+01   0.582652E+07   0.179785E+05
    35   0.111211E+04   0.324126E-01   0.180632E+01   0.583020E+07   0.175707E+05
    36   0.112949E+04   0.356639E-01   0.178526E+01   0.583137E+07   0.171666E+05
    37   0.114697E+04   0.391444E-01   0.175534E+01   0.583020E+07   0.167722E+05
    38   0.116483E+04   0.428541E-01   0.171918E+01   0.582686E+07   0.163950E+05
    39   0.118306E+04   0.467892E-01   0.167618E+01   0.582148E+07   0.160364E+05
    40   0.120142E+04   0.509506E-01   0.162472E+01   0.581416E+07   0.156964E+05
    41   0.122003E+04   0.553448E-01   0.156316E+01   0.580501E+07   0.153744E+05
    42   0.123866E+04   0.599812E-01   0.149051E+01   0.579415E+07   0.150673E+05
    43   0.125743E+04   0.648701E-01   0.140598E+01   0.578170E+07   0.147717E+05
    44   0.127620E+04   0.700069E-01   0.130967E+01   0.576778E+07   0.144840E+05
    45   0.129532E+04   0.753971E-01   0.120177E+01   0.575251E+07   0.142006E+05
    46   0.131471E+04   0.810471E-01   0.108059E+01   0.573601E+07   0.139191E+05
    47   0.133424E+04   0.869515E-01   0.947014E+00   0.571836E+07   0.136410E+05
    48   0.135385E+04   0.931095E-01   0.805167E+00   0.569963E+07   0.133689E+05
    49   0.137362E+04   0.994978E-01   0.658601E+00   0.567993E+07   0.131056E+05
    50   0.139381E+04   0.106086E+00   0.504083E+00   0.565931E+07   0.128535E+05
    51   0.141420E+04   0.112841E+00   0.336987E+00   0.563787E+07   0.126145E+05
    52   0.143499E+04   0.119854E+00   0.152755E+00   0.561565E+07   0.123868E+05
    53   0.145579E+04   0.127278E+00  -0.513022E-01   0.559271E+07   0.121676E+05
    54   0.147650E+04   0.135112E+00  -0.269909E+00   0.556909E+07   0.119543E+05
    55   0.149733E+04   0.143342E+00  -0.497673E+00   0.554485E+07   0.117441E+05
    56   0.151847E+04   0.151826E+00  -0.735589E+00   0.552004E+07   0.115352E+05
    57   0.153986E+04   0.160455E+00  -0.983902E+00   0.549468E+07   0.113283E+05
