#    L    TT             EE             BB             TE          
     2   0.733117E+03   0.440322E-01   0.150397E-05   0.250977E+01
     3   0.760283E+03   0.698092E-01   0.300857E-05   0.359169E+01
     4   0.765384E+03   0.755830E-01   0.501568E-05   0.384452E+01
     5   0.762265E+03   0.642899E-01   0.752613E-05   0.357738E+01
     6   0.757575E+03   0.454512E-01   0.105409E-04   0.307198E+01
     7   0.754465E+03   0.278087E-01   0.140613E-04   0.250825E+01
     8   0.753819E+03   0.157874E-01   0.180885E-04   0.199274E+01
     9   0.755860E+03   0.961173E-02   0.226243E-04   0.157307E+01
    10   0.760161E+03   0.727646E-02   0.276701E-04   0.126564E+01
    11   0.765914E+03   0.653593E-02   0.332279E-04   0.107035E+01
    12   0.773888E+03   0.607348E-02   0.392995E-04   0.975743E+00
    13   0.782711E+03   0.533230E-02   0.458871E-04   0.956125E+00
    14   0.791777E+03   0.464988E-02   0.529926E-04   0.983117E+00
    15   0.801602E+03   0.421867E-02   0.606182E-04   0.103751E+01
    16   0.812769E+03   0.411679E-02   0.687662E-04   0.110390E+01
    17   0.825286E+03   0.433014E-02   0.774387E-04   0.116984E+01
    18   0.838266E+03   0.464629E-02   0.866380E-04   0.122743E+01
    19   0.852581E+03   0.499983E-02   0.963663E-04   0.127741E+01
    20   0.866596E+03   0.542676E-02   0.106626E-03   0.131992E+01
    21   0.880713E+03   0.595426E-02   0.117418E-03   0.135841E+01
    22   0.895249E+03   0.667940E-02   0.128747E-03   0.139589E+01
    23   0.910028E+03   0.762825E-02   0.140612E-03   0.143527E+01
    24   0.925115E+03   0.877424E-02   0.153016E-03   0.147868E+01
    25   0.940488E+03   0.101227E-01   0.165962E-03   0.152507E+01
    26   0.955996E+03   0.116476E-01   0.179449E-03   0.157422E+01
    27   0.971867E+03   0.133308E-01   0.193481E-03   0.162510E+01
    28   0.987942E+03   0.151798E-01   0.208058E-03   0.167667E+01
    29   0.100427E+04   0.171832E-01   0.223181E-03   0.172352E+01
    30   0.102078E+04   0.193396E-01   0.238851E-03   0.175943E+01
    31   0.103737E+04   0.216679E-01   0.255070E-03   0.178560E+01
    32   0.105431E+04   0.241752E-01   0.271837E-03   0.180421E+01
    33   0.107161E+04   0.268502E-01   0.289153E-03   0.181383E+01
