#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.105244E+04   0.320375E+01   0.302509E-02   0.320375E+01   0.450659E-01  -0.149508E-04   0.302509E-02  -0.149508E-04   0.501153E-07
     3   0.993172E+03   0.388358E+01   0.302353E-02   0.388358E+01   0.704738E-01  -0.178447E-04   0.302353E-02  -0.178447E-04   0.607164E-07
     4   0.934802E+03   0.390647E+01   0.294877E-02   0.390647E+01   0.759527E-01  -0.174837E-04   0.294877E-02  -0.174837E-04   0.697193E-07
     5   0.889502E+03   0.355809E+01   0.284699E-02   0.355809E+01   0.644632E-01  -0.148788E-04   0.284699E-02  -0.148788E-04   0.774893E-07
     6   0.856921E+03   0.305051E+01   0.273758E-02   0.305051E+01   0.455208E-01  -0.109865E-04   0.273758E-02  -0.109865E-04   0.842278E-07
     7   0.834747E+03   0.251363E+01   0.262937E-02   0.251363E+01   0.278409E-01  -0.667085E-05   0.262937E-02  -0.667085E-05   0.901229E-07
     8   0.820163E+03   0.202702E+01   0.252165E-02   0.202702E+01   0.158190E-01  -0.261931E-05   0.252165E-02  -0.261931E-05   0.953095E-07
     9   0.811542E+03   0.162652E+01   0.241435E-02   0.162652E+01   0.965421E-02   0.643868E-06   0.241435E-02   0.643868E-06   0.998998E-07
    10   0.807638E+03   0.132491E+01   0.231130E-02   0.132491E+01   0.732400E-02   0.278195E-05   0.231130E-02   0.278195E-05   0.103963E-06
    11   0.807050E+03   0.112357E+01   0.221757E-02   0.112357E+01   0.657452E-02   0.373102E-05   0.221757E-02   0.373102E-05   0.107594E-06
    12   0.809946E+03   0.101659E+01   0.213271E-02   0.101659E+01   0.608909E-02   0.369866E-05   0.213271E-02   0.369866E-05   0.110818E-06
    13   0.814625E+03   0.983013E+00   0.205503E-02   0.983013E+00   0.531625E-02   0.298360E-05   0.205503E-02   0.298360E-05   0.113680E-06
    14   0.820245E+03   0.997866E+00   0.198295E-02   0.997866E+00   0.459950E-02   0.187582E-05   0.198295E-02   0.187582E-05   0.116233E-06
    15   0.827181E+03   0.104182E+01   0.191497E-02   0.104182E+01   0.413610E-02   0.592880E-06   0.191497E-02   0.592880E-06   0.118507E-06
    16   0.835898E+03   0.109918E+01   0.184991E-02   0.109918E+01   0.400823E-02  -0.653916E-06   0.184991E-02  -0.653916E-06   0.120529E-06
    17   0.846286E+03   0.116003E+01   0.178770E-02   0.116003E+01   0.420428E-02  -0.160584E-05   0.178770E-02  -0.160584E-05   0.122328E-06
    18   0.857367E+03   0.121859E+01   0.172853E-02   0.121859E+01   0.451288E-02  -0.205897E-05   0.172853E-02  -0.205897E-05   0.123927E-06
    19   0.870000E+03   0.127324E+01   0.167240E-02   0.127324E+01   0.486562E-02  -0.207594E-05   0.167240E-02  -0.207594E-05   0.125340E-06
    20   0.882548E+03   0.132089E+01   0.161925E-02   0.132089E+01   0.529457E-02  -0.179487E-05   0.161925E-02  -0.179487E-05   0.126575E-06
    21   0.895374E+03   0.136291E+01   0.156886E-02   0.136291E+01   0.582333E-02  -0.138930E-05   0.156886E-02  -0.138930E-05   0.127653E-06
    22   0.908754E+03   0.140126E+01   0.152098E-02   0.140126E+01   0.654621E-02  -0.100567E-05   0.152098E-02  -0.100567E-05   0.128596E-06
    23   0.922485E+03   0.144082E+01   0.147527E-02   0.144082E+01   0.748938E-02  -0.646669E-06   0.147527E-02  -0.646669E-06   0.129412E-06
    24   0.936613E+03   0.148565E+01   0.143147E-02   0.148565E+01   0.862691E-02  -0.301895E-06   0.143147E-02  -0.301895E-06   0.130108E-06
    25   0.951125E+03   0.153359E+01   0.138977E-02   0.153359E+01   0.996368E-02  -0.522307E-07   0.138977E-02  -0.522307E-07   0.130695E-06
    26   0.965872E+03   0.158283E+01   0.135036E-02   0.158283E+01   0.114734E-01   0.168268E-07   0.135036E-02   0.168268E-07   0.131184E-06
    27   0.981067E+03   0.163208E+01   0.131318E-02   0.163208E+01   0.131386E-01  -0.107376E-06   0.131318E-02  -0.107376E-06   0.131584E-06
    28   0.996529E+03   0.168068E+01   0.127801E-02   0.168068E+01   0.149681E-01  -0.393143E-06   0.127801E-02  -0.393143E-06   0.131901E-06
    29   0.101229E+04   0.172493E+01   0.124440E-02   0.172493E+01   0.169524E-01  -0.704213E-06   0.124440E-02  -0.704213E-06   0.132137E-06
    30   0.102827E+04   0.176019E+01   0.121197E-02   0.176019E+01   0.190919E-01  -0.907437E-06   0.121197E-02  -0.907437E-06   0.132291E-06
    31   0.104437E+04   0.178724E+01   0.118091E-02   0.178724E+01   0.214052E-01  -0.986678E-06   0.118091E-02  -0.986678E-06   0.132375E-06
    32   0.106087E+04   0.180731E+01   0.115143E-02   0.180731E+01   0.238984E-01  -0.966026E-06   0.115143E-02  -0.966026E-06   0.132400E-06
    33   0.107776E+04   0.181799E+01   0.112339E-02   0.181799E+01   0.265590E-01  -0.913481E-06   0.112339E-02  -0.913481E-06   0.132370E-06
    34   0.109485E+04   0.181742E+01   0.109651E-02   0.181742E+01   0.293885E-01  -0.887743E-06   0.109651E-02  -0.887743E-06   0.132286E-06
