#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    35   0.111211E+04   0.180632E+01   0.107032E-02   0.180632E+01   0.324126E-01  -0.866404E-06   0.107032E-02  -0.866404E-06   0.132154E-06
    36   0.112949E+04   0.178526E+01   0.104450E-02   0.178526E+01   0.356639E-01  -0.810788E-06   0.104450E-02  -0.810788E-06   0.131976E-06
    37   0.114697E+04   0.175534E+01   0.101938E-02   0.175534E+01   0.391444E-01  -0.698238E-06   0.101938E-02  -0.698238E-06   0.131757E-06
    38   0.116483E+04   0.171918E+01   0.995422E-03   0.171918E+01   0.428541E-01  -0.523944E-06   0.995422E-03  -0.523944E-06   0.131500E-06
    39   0.118306E+04   0.167618E+01   0.972692E-03   0.167618E+01   0.467892E-01  -0.338466E-06   0.972692E-03  -0.338466E-06   0.131205E-06
    40   0.120142E+04   0.162472E+01   0.951176E-03   0.162472E+01   0.509506E-01  -0.206206E-06   0.951176E-03  -0.206206E-06   0.130877E-06
    41   0.122003E+04   0.156316E+01   0.930828E-03   0.156316E+01   0.553448E-01  -0.174146E-06   0.930828E-03  -0.174146E-06   0.130515E-06
    42   0.123866E+04   0.149051E+01   0.911459E-03   0.149051E+01   0.599812E-01  -0.219582E-06   0.911459E-03  -0.219582E-06   0.130123E-06
    43   0.125743E+04   0.140598E+01   0.892851E-03   0.140598E+01   0.648701E-01  -0.302393E-06   0.892851E-03  -0.302393E-06   0.129703E-06
    44   0.127620E+04   0.130967E+01   0.874784E-03   0.130967E+01   0.700069E-01  -0.382455E-06   0.874784E-03  -0.382455E-06   0.129258E-06
    45   0.129532E+04   0.120177E+01   0.857036E-03   0.120177E+01   0.753971E-01  -0.419646E-06   0.857036E-03  -0.419646E-06   0.128788E-06
    46   0.131471E+04   0.108059E+01   0.839451E-03   0.108059E+01   0.810471E-01  -0.385920E-06   0.839451E-03  -0.385920E-06   0.128297E-06
    47   0.133424E+04   0.947014E+00   0.822120E-03   0.947014E+00   0.869515E-01  -0.301540E-06   0.822120E-03  -0.301540E-06   0.127787E-06
    48   0.135385E+04   0.805167E+00   0.805200E-03   0.805167E+00   0.931095E-01  -0.198847E-06   0.805200E-03  -0.198847E-06   0.127258E-06
    49   0.137362E+04   0.658601E+00   0.788844E-03   0.658601E+00   0.994978E-01  -0.110180E-06   0.788844E-03  -0.110180E-06   0.126712E-06
    50   0.139381E+04   0.504083E+00   0.773207E-03   0.504083E+00   0.106086E+00  -0.678805E-07   0.773207E-03  -0.678805E-07   0.126151E-06
    51   0.141420E+04   0.336987E+00   0.758392E-03   0.336987E+00   0.112841E+00  -0.942882E-07   0.758392E-03  -0.942882E-07   0.125577E-06
    52   0.143499E+04   0.152755E+00   0.744286E-03   0.152755E+00   0.119854E+00  -0.171741E-06   0.744286E-03  -0.171741E-06   0.124989E-06
    53   0.145579E+04  -0.513022E-01   0.730726E-03  -0.513022E-01   0.127278E+00  -0.272577E-06   0.730726E-03  -0.272577E-06   0.124390E-06
    54   0.147650E+04  -0.269909E+00   0.717547E-03  -0.269909E+00   0.135112E+00  -0.369135E-06   0.717547E-03  -0.369135E-06   0.123780E-06
    55   0.149733E+04  -0.497673E+00   0.704585E-03  -0.497673E+00   0.143342E+00  -0.433751E-06   0.704585E-03  -0.433751E-06   0.123160E-06
    56   0.151847E+04  -0.735589E+00   0.691718E-03  -0.735589E+00   0.151826E+00  -0.447170E-06   0.691718E-03  -0.447170E-06   0.122530E-06
    57   0.153986E+04  -0.983902E+00   0.678997E-03  -0.983902E+00   0.160455E+00  -0.423765E-06   0.678997E-03  -0.423765E-06   0.121892E-06
    58   0.156155E+04  -0.124390E+01   0.666517E-03  -0.124390E+01   0.169230E+00  -0.386315E-06   0.666517E-03  -0.386315E-06   0.121246E-06
    59   0.158339E+04  -0.151690E+01   0.654370E-03  -0.151690E+01   0.178186E+00  -0.357599E-06   0.654370E-03  -0.357599E-06   0.120593E-06
    60   0.160542E+04  -0.180277E+01   0.642651E-03  -0.180277E+01   0.187370E+00  -0.360396E-06   0.642651E-03  -0.360396E-06   0.119932E-06
    61   0.162795E+04  -0.210107E+01   0.631427E-03  -0.210107E+01   0.196871E+00  -0.410915E-06   0.631427E-03  -0.410915E-06   0.119265E-06
    62   0.165039E+04  -0.241243E+01   0.620666E-03  -0.241243E+01   0.206680E+00  -0.499085E-06   0.620666E-03  -0.499085E-06   0.118592E-06
    63   0.167293E+04  -0.273738E+01   0.610308E-03  -0.273738E+01   0.216763E+00  -0.608265E-06   0.610308E-03  -0.608265E-06   0.117914E-06
    64   0.169587E+04  -0.307668E+01   0.600293E-03  -0.307668E+01   0.227138E+00  -0.721815E-06   0.600293E-03  -0.721815E-06   0.117233E-06
    65   0.171882E+04  -0.343048E+01   0.590563E-03  -0.343048E+01   0.237785E+00  -0.823092E-06   0.590563E-03  -0.823092E-06   0.116548E-06
    66   0.174206E+04  -0.379662E+01   0.581065E-03  -0.379662E+01   0.248640E+00  -0.898533E-06   0.581065E-03  -0.898533E-06   0.115862E-06
    67   0.176544E+04  -0.417274E+01   0.571781E-03  -0.417274E+01   0.259706E+00  -0.946871E-06   0.571781E-03  -0.946871E-06   0.115174E-06
    68   0.178921E+04  -0.455771E+01   0.562697E-03  -0.455771E+01   0.271021E+00  -0.969920E-06   0.562697E-03  -0.969920E-06   0.114485E-06
    69   0.181315E+04  -0.495036E+01   0.553802E-03  -0.495036E+01   0.282543E+00  -0.969489E-06   0.553802E-03  -0.969489E-06   0.113795E-06
    70   0.183739E+04  -0.535289E+01   0.545083E-03  -0.535289E+01   0.294311E+00  -0.947391E-06   0.545083E-03  -0.947391E-06   0.113105E-06
    71   0.186176E+04  -0.576811E+01   0.536536E-03  -0.576811E+01   0.306313E+00  -0.906342E-06   0.536536E-03  -0.906342E-06   0.112415E-06
    72   0.188630E+04  -0.619719E+01   0.528184E-03  -0.619719E+01   0.318522E+00  -0.852680E-06   0.528184E-03  -0.852680E-06   0.111724E-06
    73   0.191099E+04  -0.664037E+01   0.520060E-03  -0.664037E+01   0.330905E+00  -0.793649E-06   0.520060E-03  -0.793649E-06   0.111034E-06
    74   0.193589E+04  -0.709644E+01   0.512196E-03  -0.709644E+01   0.343451E+00  -0.736491E-06   0.512196E-03  -0.736491E-06   0.110344E-06
    75   0.196112E+04  -0.756356E+01   0.504623E-03  -0.756356E+01   0.356172E+00  -0.688450E-06   0.504623E-03  -0.688450E-06   0.109653E-06
    76   0.198663E+04  -0.804082E+01   0.497362E-03  -0.804082E+01   0.369068E+00  -0.654766E-06   0.497362E-03  -0.654766E-06   0.108963E-06
    77   0.201247E+04  -0.852801E+01   0.490385E-03  -0.852801E+01   0.382134E+00  -0.632660E-06   0.490385E-03  -0.632660E-06   0.108273E-06
    78   0.203866E+04  -0.902657E+01   0.483653E-03  -0.902657E+01   0.395400E+00  -0.617351E-06   0.483653E-03  -0.617351E-06   0.107584E-06
    79   0.206499E+04  -0.953277E+01   0.477126E-03  -0.953277E+01   0.408812E+00  -0.604055E-06   0.477126E-03  -0.604055E-06   0.106896E-06
    80   0.209155E+04  -0.100480E+02   0.470766E-03  -0.100480E+02   0.422378E+00  -0.587993E-06   0.470766E-03  -0.587993E-06   0.106210E-06
    81   0.211824E+04  -0.105729E+02   0.464536E-03  -0.105729E+02   0.436051E+00  -0.565674E-06   0.464536E-03  -0.565674E-06   0.105525E-06
    82   0.214514E+04  -0.111067E+02   0.458419E-03  -0.111067E+02   0.449850E+00  -0.538788E-06   0.458419E-03  -0.538788E-06   0.104842E-06
    83   0.217220E+04  -0.116491E+02   0.452402E-03  -0.116491E+02   0.463752E+00  -0.510314E-06   0.452402E-03  -0.510314E-06   0.104162E-06
    84   0.219952E+04  -0.121985E+02   0.446470E-03  -0.121985E+02   0.477751E+00  -0.483237E-06   0.446470E-03  -0.483237E-06   0.103484E-06
    85   0.222697E+04  -0.127563E+02   0.440611E-03  -0.127563E+02   0.491824E+00  -0.460536E-06   0.440611E-03  -0.460536E-06   0.102809E-06
    86   0.225465E+04  -0.133215E+02   0.434815E-03  -0.133215E+02   0.505981E+00  -0.444529E-06   0.434815E-03  -0.444529E-06   0.102137E-06
    87   0.228278E+04  -0.138933E+02   0.429089E-03  -0.138933E+02   0.520195E+00  -0.434878E-06   0.429089E-03  -0.434878E-06   0.101469E-06
    88   0.231090E+04  -0.144717E+02   0.423445E-03  -0.144717E+02   0.534483E+00  -0.430580E-06   0.423445E-03  -0.430580E-06   0.100803E-06
    89   0.233938E+04  -0.150580E+02   0.417894E-03  -0.150580E+02   0.548832E+00  -0.430630E-06   0.417894E-03  -0.430630E-06   0.100141E-06
    90   0.236804E+04  -0.156493E+02   0.412450E-03  -0.156493E+02   0.563208E+00  -0.434027E-06   0.412450E-03  -0.434027E-06   0.994820E-07
    91   0.239682E+04  -0.162463E+02   0.407121E-03  -0.162463E+02   0.577606E+00  -0.439908E-06   0.407121E-03  -0.439908E-06   0.988266E-07
    92   0.242587E+04  -0.168482E+02   0.401905E-03  -0.168482E+02   0.592012E+00  -0.447972E-06   0.401905E-03  -0.447972E-06   0.981748E-07
    93   0.245517E+04  -0.174552E+02   0.396801E-03  -0.174552E+02   0.606421E+00  -0.458060E-06   0.396801E-03  -0.458060E-06   0.975266E-07
    94   0.248451E+04  -0.180659E+02   0.391805E-03  -0.180659E+02   0.620796E+00  -0.470013E-06   0.391805E-03  -0.470013E-06   0.968820E-07
    95   0.251412E+04  -0.186811E+02   0.386914E-03  -0.186811E+02   0.635140E+00  -0.483671E-06   0.386914E-03  -0.483671E-06   0.962412E-07
    96   0.254371E+04  -0.193001E+02   0.382124E-03  -0.193001E+02   0.649438E+00  -0.498874E-06   0.382124E-03  -0.498874E-06   0.956040E-07
    97   0.257371E+04  -0.199223E+02   0.377433E-03  -0.199223E+02   0.663678E+00  -0.515464E-06   0.377433E-03  -0.515464E-06   0.949706E-07
    98   0.260392E+04  -0.205456E+02   0.372836E-03  -0.205456E+02   0.677853E+00  -0.533281E-06   0.372836E-03  -0.533281E-06   0.943410E-07
    99   0.263418E+04  -0.211730E+02   0.368332E-03  -0.211730E+02   0.691928E+00  -0.552164E-06   0.368332E-03  -0.552164E-06   0.937153E-07
   100   0.266472E+04  -0.218002E+02   0.363917E-03  -0.218002E+02   0.705903E+00  -0.571956E-06   0.363917E-03  -0.571956E-06   0.930934E-07
   101   0.269539E+04  -0.224302E+02   0.359587E-03  -0.224302E+02   0.719841E+00  -0.592495E-06   0.359587E-03  -0.592495E-06   0.924755E-07
   102   0.272657E+04  -0.230608E+02   0.355340E-03  -0.230608E+02   0.733594E+00  -0.613624E-06   0.355340E-03  -0.613624E-06   0.918616E-07
   103   0.275766E+04  -0.236930E+02   0.351171E-03  -0.236930E+02   0.747237E+00  -0.635182E-06   0.351171E-03  -0.635182E-06   0.912517E-07
   104   0.278897E+04  -0.243238E+02   0.347079E-03  -0.243238E+02   0.760772E+00  -0.657009E-06   0.347079E-03  -0.657009E-06   0.906459E-07
   105   0.282042E+04  -0.249548E+02   0.343060E-03  -0.249548E+02   0.774126E+00  -0.678947E-06   0.343060E-03  -0.678947E-06   0.900441E-07
   106   0.285208E+04  -0.255854E+02   0.339111E-03  -0.255854E+02   0.787376E+00  -0.700836E-06   0.339111E-03  -0.700836E-06   0.894465E-07
   107   0.288368E+04  -0.262141E+02   0.335228E-03  -0.262141E+02   0.800373E+00  -0.722516E-06   0.335228E-03  -0.722516E-06   0.888531E-07
   108   0.291564E+04  -0.268418E+02   0.331408E-03  -0.268418E+02   0.813193E+00  -0.743828E-06   0.331408E-03  -0.743828E-06   0.882640E-07
   109   0.294776E+04  -0.274671E+02   0.327649E-03  -0.274671E+02   0.825764E+00  -0.764612E-06   0.327649E-03  -0.764612E-06   0.876791E-07
   110   0.297995E+04  -0.280885E+02   0.323946E-03  -0.280885E+02   0.838087E+00  -0.784709E-06   0.323946E-03  -0.784709E-06   0.870985E-07
   111   0.301231E+04  -0.287078E+02   0.320298E-03  -0.287078E+02   0.850238E+00  -0.803980E-06   0.320298E-03  -0.803980E-06   0.865223E-07
   112   0.304481E+04  -0.293240E+02   0.316703E-03  -0.293240E+02   0.862142E+00  -0.822362E-06   0.316703E-03  -0.822362E-06   0.859504E-07
   113   0.307755E+04  -0.299358E+02   0.313162E-03  -0.299358E+02   0.873800E+00  -0.839815E-06   0.313162E-03  -0.839815E-06   0.853829E-07
   114   0.311037E+04  -0.305424E+02   0.309673E-03  -0.305424E+02   0.885137E+00  -0.856298E-06   0.309673E-03  -0.856298E-06   0.848197E-07
   115   0.314341E+04  -0.311437E+02   0.306237E-03  -0.311437E+02   0.896302E+00  -0.871768E-06   0.306237E-03  -0.871768E-06   0.842608E-07
   116   0.317646E+04  -0.317391E+02   0.302852E-03  -0.317391E+02   0.907071E+00  -0.886185E-06   0.302852E-03  -0.886185E-06   0.837062E-07
   117   0.320981E+04  -0.323277E+02   0.299520E-03  -0.323277E+02   0.917520E+00  -0.899507E-06   0.299520E-03  -0.899507E-06   0.831560E-07
   118   0.324331E+04  -0.329104E+02   0.296239E-03  -0.329104E+02   0.927796E+00  -0.911693E-06   0.296239E-03  -0.911693E-06   0.826100E-07
   119   0.327681E+04  -0.334848E+02   0.293010E-03  -0.334848E+02   0.937752E+00  -0.922702E-06   0.293010E-03  -0.922702E-06   0.820683E-07
   120   0.331046E+04  -0.340511E+02   0.289831E-03  -0.340511E+02   0.947238E+00  -0.932492E-06   0.289831E-03  -0.932492E-06   0.815309E-07
   121   0.334412E+04  -0.346091E+02   0.286703E-03  -0.346091E+02   0.956552E+00  -0.941021E-06   0.286703E-03  -0.941021E-06   0.809977E-07
   122   0.337784E+04  -0.351581E+02   0.283625E-03  -0.351581E+02   0.965396E+00  -0.948249E-06   0.283625E-03  -0.948249E-06   0.804688E-07
   123   0.341164E+04  -0.356981E+02   0.280597E-03  -0.356981E+02   0.973845E+00  -0.954134E-06   0.280597E-03  -0.954134E-06   0.799441E-07
   124   0.344551E+04  -0.362262E+02   0.277618E-03  -0.362262E+02   0.981973E+00  -0.958634E-06   0.277618E-03  -0.958634E-06   0.794236E-07
   125   0.347938E+04  -0.367445E+02   0.274689E-03  -0.367445E+02   0.989706E+00  -0.961709E-06   0.274689E-03  -0.961709E-06   0.789074E-07
   126   0.351332E+04  -0.372524E+02   0.271809E-03  -0.372524E+02   0.997117E+00  -0.963317E-06   0.271809E-03  -0.963317E-06   0.783954E-07
   127   0.354725E+04  -0.377490E+02   0.268977E-03  -0.377490E+02   0.100406E+01  -0.963416E-06   0.268977E-03  -0.963416E-06   0.778875E-07
   128   0.358118E+04  -0.382336E+02   0.266194E-03  -0.382336E+02   0.101068E+01  -0.961965E-06   0.266194E-03  -0.961965E-06   0.773839E-07
   129   0.361518E+04  -0.387055E+02   0.263459E-03  -0.387055E+02   0.101683E+01  -0.958923E-06   0.263459E-03  -0.958923E-06   0.768844E-07
   130   0.364917E+04  -0.391639E+02   0.260771E-03  -0.391639E+02   0.102251E+01  -0.954249E-06   0.260771E-03  -0.954249E-06   0.763891E-07
   131   0.368315E+04  -0.396103E+02   0.258131E-03  -0.396103E+02   0.102787E+01  -0.947932E-06   0.258131E-03  -0.947932E-06   0.758980E-07
   132   0.371720E+04  -0.400418E+02   0.255537E-03  -0.400418E+02   0.103276E+01  -0.940090E-06   0.255537E-03  -0.940090E-06   0.754109E-07
   133   0.375117E+04  -0.404606E+02   0.252988E-03  -0.404606E+02   0.103725E+01  -0.930870E-06   0.252988E-03  -0.930870E-06   0.749280E-07
   134   0.378514E+04  -0.408623E+02   0.250483E-03  -0.408623E+02   0.104135E+01  -0.920420E-06   0.250483E-03  -0.920420E-06   0.744492E-07
   135   0.381910E+04  -0.412499E+02   0.248020E-03  -0.412499E+02   0.104496E+01  -0.908890E-06   0.248020E-03  -0.908890E-06   0.739743E-07
   136   0.385292E+04  -0.416197E+02   0.245600E-03  -0.416197E+02   0.104810E+01  -0.896427E-06   0.245600E-03  -0.896427E-06   0.735035E-07
   137   0.388673E+04  -0.419740E+02   0.243219E-03  -0.419740E+02   0.105083E+01  -0.883179E-06   0.243219E-03  -0.883179E-06   0.730367E-07
   138   0.392046E+04  -0.423113E+02   0.240879E-03  -0.423113E+02   0.105308E+01  -0.869295E-06   0.240879E-03  -0.869295E-06   0.725738E-07
   139   0.395398E+04  -0.426310E+02   0.238576E-03  -0.426310E+02   0.105500E+01  -0.854922E-06   0.238576E-03  -0.854922E-06   0.721148E-07
   140   0.398757E+04  -0.429337E+02   0.236311E-03  -0.429337E+02   0.105636E+01  -0.840210E-06   0.236311E-03  -0.840210E-06   0.716598E-07
   141   0.402094E+04  -0.432173E+02   0.234082E-03  -0.432173E+02   0.105724E+01  -0.825305E-06   0.234082E-03  -0.825305E-06   0.712085E-07
   142   0.405431E+04  -0.434826E+02   0.231887E-03  -0.434826E+02   0.105770E+01  -0.810357E-06   0.231887E-03  -0.810357E-06   0.707611E-07
   143   0.408761E+04  -0.437296E+02   0.229726E-03  -0.437296E+02   0.105775E+01  -0.795514E-06   0.229726E-03  -0.795514E-06   0.703175E-07
   144   0.412070E+04  -0.439575E+02   0.227598E-03  -0.439575E+02   0.105731E+01  -0.780924E-06   0.227598E-03  -0.780924E-06   0.698777E-07
   145   0.415364E+04  -0.441658E+02   0.225502E-03  -0.441658E+02   0.105653E+01  -0.766734E-06   0.225502E-03  -0.766734E-06   0.694416E-07
   146   0.418667E+04  -0.443543E+02   0.223435E-03  -0.443543E+02   0.105518E+01  -0.753094E-06   0.223435E-03  -0.753094E-06   0.690092E-07
   147   0.421933E+04  -0.445218E+02   0.221398E-03  -0.445218E+02   0.105348E+01  -0.740152E-06   0.221398E-03  -0.740152E-06   0.685805E-07
   148   0.425186E+04  -0.446695E+02   0.219389E-03  -0.446695E+02   0.105129E+01  -0.728055E-06   0.219389E-03  -0.728055E-06   0.681555E-07
   149   0.428432E+04  -0.447963E+02   0.217407E-03  -0.447963E+02   0.104867E+01  -0.716952E-06   0.217407E-03  -0.716952E-06   0.677341E-07
   150   0.431649E+04  -0.448997E+02   0.215451E-03  -0.448997E+02   0.104571E+01  -0.706991E-06   0.215451E-03  -0.706991E-06   0.673162E-07
   151   0.434853E+04  -0.449828E+02   0.213519E-03  -0.449828E+02   0.104232E+01  -0.698282E-06   0.213519E-03  -0.698282E-06   0.669019E-07
   152   0.438028E+04  -0.450442E+02   0.211612E-03  -0.450442E+02   0.103842E+01  -0.690780E-06   0.211612E-03  -0.690780E-06   0.664912E-07
   153   0.441191E+04  -0.450815E+02   0.209728E-03  -0.450815E+02   0.103416E+01  -0.684402E-06   0.209728E-03  -0.684402E-06   0.660840E-07
   154   0.444333E+04  -0.450970E+02   0.207867E-03  -0.450970E+02   0.102954E+01  -0.679064E-06   0.207867E-03  -0.679064E-06   0.656802E-07
   155   0.447454E+04  -0.450898E+02   0.206029E-03  -0.450898E+02   0.102456E+01  -0.674683E-06   0.206029E-03  -0.674683E-06   0.652799E-07
   156   0.450541E+04  -0.450600E+02   0.204213E-03  -0.450600E+02   0.101920E+01  -0.671175E-06   0.204213E-03  -0.671175E-06   0.648830E-07
   157   0.453622E+04  -0.450061E+02   0.202418E-03  -0.450061E+02   0.101348E+01  -0.668458E-06   0.202418E-03  -0.668458E-06   0.644896E-07
   158   0.456676E+04  -0.449287E+02   0.200644E-03  -0.449287E+02   0.100745E+01  -0.666448E-06   0.200644E-03  -0.666448E-06   0.640995E-07
   159   0.459703E+04  -0.448278E+02   0.198890E-03  -0.448278E+02   0.100096E+01  -0.665061E-06   0.198890E-03  -0.665061E-06   0.637128E-07
   160   0.462711E+04  -0.447019E+02   0.197156E-03  -0.447019E+02   0.994172E+00  -0.664215E-06   0.197156E-03  -0.664215E-06   0.633294E-07
   161   0.465699E+04  -0.445525E+02   0.195442E-03  -0.445525E+02   0.987141E+00  -0.663826E-06   0.195442E-03  -0.663826E-06   0.629494E-07
   162   0.468661E+04  -0.443795E+02   0.193746E-03  -0.443795E+02   0.979720E+00  -0.663810E-06   0.193746E-03  -0.663810E-06   0.625726E-07
   163   0.471611E+04  -0.441814E+02   0.192068E-03  -0.441814E+02   0.971979E+00  -0.664084E-06   0.192068E-03  -0.664084E-06   0.621991E-07
   164   0.474521E+04  -0.439597E+02   0.190408E-03  -0.439597E+02   0.963990E+00  -0.664565E-06   0.190408E-03  -0.664565E-06   0.618288E-07
   165   0.477419E+04  -0.437122E+02   0.188765E-03  -0.437122E+02   0.955674E+00  -0.665170E-06   0.188765E-03  -0.665170E-06   0.614617E-07
   166   0.480291E+04  -0.434402E+02   0.187139E-03  -0.434402E+02   0.947177E+00  -0.665815E-06   0.187139E-03  -0.665815E-06   0.610978E-07
   167   0.483145E+04  -0.431444E+02   0.185528E-03  -0.431444E+02   0.938273E+00  -0.666417E-06   0.185528E-03  -0.666417E-06   0.607370E-07
   168   0.485959E+04  -0.428227E+02   0.183933E-03  -0.428227E+02   0.929329E+00  -0.666893E-06   0.183933E-03  -0.666893E-06   0.603794E-07
   169   0.488748E+04  -0.424750E+02   0.182354E-03  -0.424750E+02   0.920044E+00  -0.667158E-06   0.182354E-03  -0.667158E-06   0.600249E-07
   170   0.491511E+04  -0.421028E+02   0.180788E-03  -0.421028E+02   0.910639E+00  -0.667130E-06   0.180788E-03  -0.667130E-06   0.596735E-07
   171   0.494235E+04  -0.417038E+02   0.179236E-03  -0.417038E+02   0.901109E+00  -0.666726E-06   0.179236E-03  -0.666726E-06   0.593251E-07
   172   0.496926E+04  -0.412794E+02   0.177698E-03  -0.412794E+02   0.891377E+00  -0.665862E-06   0.177698E-03  -0.665862E-06   0.589798E-07
   173   0.499578E+04  -0.408296E+02   0.176173E-03  -0.408296E+02   0.881439E+00  -0.664455E-06   0.176173E-03  -0.664455E-06   0.586375E-07
   174   0.502206E+04  -0.403544E+02   0.174659E-03  -0.403544E+02   0.871590E+00  -0.662421E-06   0.174659E-03  -0.662421E-06   0.582982E-07
   175   0.504802E+04  -0.398531E+02   0.173158E-03  -0.398531E+02   0.861528E+00  -0.659677E-06   0.173158E-03  -0.659677E-06   0.579618E-07
   176   0.507351E+04  -0.393255E+02   0.171667E-03  -0.393255E+02   0.851472E+00  -0.656159E-06   0.171667E-03  -0.656159E-06   0.576283E-07
   177   0.509869E+04  -0.387731E+02   0.170188E-03  -0.387731E+02   0.841345E+00  -0.651877E-06   0.170188E-03  -0.651877E-06   0.572978E-07
   178   0.512348E+04  -0.381944E+02   0.168720E-03  -0.381944E+02   0.831363E+00  -0.646860E-06   0.168720E-03  -0.646860E-06   0.569701E-07
