#           k/h    P           
 0.99999997E-04 0.43515826E+03
 0.10202013E-03 0.44358929E+03
 0.10408108E-03 0.45218347E+03
 0.10618366E-03 0.46094397E+03
 0.10832871E-03 0.46987396E+03
 0.11051710E-03 0.47897675E+03
 0.11274968E-03 0.48825558E+03
 0.11502737E-03 0.49771393E+03
 0.11735109E-03 0.50735519E+03
 0.11972173E-03 0.51718292E+03
 0.12214028E-03 0.52720068E+03
 0.12460767E-03 0.53741217E+03
 0.12712492E-03 0.54782111E+03
 0.12969300E-03 0.55843134E+03
 0.13231297E-03 0.56924664E+03
 0.13498588E-03 0.58027100E+03
 0.13771278E-03 0.59150842E+03
 0.14049475E-03 0.60296295E+03
 0.14333293E-03 0.61463885E+03
 0.14622846E-03 0.62654022E+03
 0.14918247E-03 0.63867151E+03
 0.15219615E-03 0.65103711E+03
 0.15527071E-03 0.66364148E+03
 0.15840739E-03 0.67648920E+03
 0.16160744E-03 0.68958496E+03
 0.16487212E-03 0.70293353E+03
 0.16820275E-03 0.71653967E+03
 0.17160067E-03 0.73040833E+03
 0.17506724E-03 0.74454449E+03
 0.17860383E-03 0.75895331E+03
 0.18221186E-03 0.77364001E+03
 0.18589280E-03 0.78860980E+03
 0.18964807E-03 0.80386816E+03
 0.19347922E-03 0.81942053E+03
 0.19738778E-03 0.83527246E+03
 0.20137527E-03 0.85142981E+03
 0.20544330E-03 0.86789819E+03
 0.20959355E-03 0.88468365E+03
 0.21382760E-03 0.90179218E+03
 0.21814722E-03 0.91922986E+03
 0.22255408E-03 0.93700293E+03
 0.22704997E-03 0.95511774E+03
 0.23163669E-03 0.97358081E+03
 0.23631606E-03 0.99239868E+03
 0.24108996E-03 0.10115780E+04
 0.24596031E-03 0.10311256E+04
 0.25092901E-03 0.10510485E+04
 0.25599814E-03 0.10713535E+04
 0.26116965E-03 0.10920482E+04
 0.26644560E-03 0.11131395E+04
 0.27182818E-03 0.11346351E+04
 0.27731949E-03 0.11565425E+04
 0.28292168E-03 0.11788693E+04
 0.28863709E-03 0.12016233E+04
 0.29446793E-03 0.12248126E+04
 0.30041661E-03 0.12484452E+04
 0.30648540E-03 0.12725294E+04
 0.31267683E-03 0.12970737E+04
 0.31899329E-03 0.13220864E+04
 0.32543740E-03 0.13475763E+04
 0.33201167E-03 0.13735521E+04
 0.33871876E-03 0.14000228E+04
 0.34556136E-03 0.14269976E+04
 0.35254212E-03 0.14544855E+04
 0.35966394E-03 0.14824961E+04
 0.36692963E-03 0.15110389E+04
 0.37434211E-03 0.15401238E+04
 0.38190430E-03 0.15697603E+04
 0.38961932E-03 0.15999587E+04
 0.39749016E-03 0.16307291E+04
 0.40552000E-03 0.16620818E+04
 0.41371203E-03 0.16940273E+04
 0.42206954E-03 0.17265764E+04
 0.43059592E-03 0.17597399E+04
 0.43929456E-03 0.17935286E+04
