#    L    TT             EE             TE             PP             TP          
     2   0.906489E+03   0.443686E-01   0.266473E+01   0.112853E+07   0.279856E+05
     3   0.879987E+03   0.699888E-01   0.358820E+01   0.174079E+07   0.303603E+05
     4   0.845889E+03   0.756445E-01   0.377109E+01   0.227883E+07   0.305441E+05
     5   0.817400E+03   0.642849E-01   0.350022E+01   0.274934E+07   0.298688E+05
     6   0.796689E+03   0.454249E-01   0.302126E+01   0.316055E+07   0.288591E+05
     7   0.783273E+03   0.277891E-01   0.248997E+01   0.352161E+07   0.277458E+05
     8   0.775555E+03   0.157859E-01   0.200093E+01   0.383995E+07   0.265672E+05
     9   0.772502E+03   0.962621E-02   0.159752E+01   0.412198E+07   0.253431E+05
    10   0.773137E+03   0.729698E-02   0.129574E+01   0.437210E+07   0.241451E+05
    11   0.776265E+03   0.654975E-02   0.109757E+01   0.459558E+07   0.230555E+05
    12   0.782282E+03   0.606977E-02   0.995679E+00   0.479454E+07   0.220795E+05
    13   0.789616E+03   0.530473E-02   0.967616E+00   0.497179E+07   0.211959E+05
    14   0.797517E+03   0.459674E-02   0.987286E+00   0.513034E+07   0.203821E+05
    15   0.806424E+03   0.414156E-02   0.103545E+01   0.527213E+07   0.196172E+05
    16   0.816858E+03   0.401993E-02   0.109655E+01   0.539882E+07   0.188848E+05
    17   0.828766E+03   0.421920E-02   0.115966E+01   0.551212E+07   0.181858E+05
    18   0.841216E+03   0.452741E-02   0.121820E+01   0.561351E+07   0.175246E+05
    19   0.855076E+03   0.487717E-02   0.127140E+01   0.570379E+07   0.169018E+05
    20   0.868716E+03   0.530190E-02   0.131742E+01   0.578369E+07   0.163167E+05
    21   0.882518E+03   0.582649E-02   0.135838E+01   0.585439E+07   0.157649E+05
    22   0.896778E+03   0.654627E-02   0.139667E+01   0.591703E+07   0.152420E+05
    23   0.911311E+03   0.748736E-02   0.143640E+01   0.597220E+07   0.147455E+05
    24   0.926176E+03   0.862359E-02   0.148088E+01   0.602037E+07   0.142744E+05
    25   0.941362E+03   0.996000E-02   0.152841E+01   0.606216E+07   0.138331E+05
    26   0.956721E+03   0.114705E-01   0.157779E+01   0.609823E+07   0.134252E+05
    27   0.972474E+03   0.131373E-01   0.162784E+01   0.612910E+07   0.130486E+05
    28   0.988447E+03   0.149688E-01   0.167774E+01   0.615514E+07   0.126982E+05
    29   0.100468E+04   0.169547E-01   0.172315E+01   0.617646E+07   0.123656E+05
    30   0.102110E+04   0.190949E-01   0.175879E+01   0.619319E+07   0.120434E+05
    31   0.103760E+04   0.214078E-01   0.178562E+01   0.620589E+07   0.117345E+05
    32   0.105446E+04   0.239000E-01   0.180523E+01   0.621516E+07   0.114426E+05
    33   0.107169E+04   0.265597E-01   0.181562E+01   0.622121E+07   0.111662E+05
    34   0.108909E+04   0.293885E-01   0.181515E+01   0.622421E+07   0.109018E+05
    35   0.110665E+04   0.324122E-01   0.180436E+01   0.622437E+07   0.106426E+05
    36   0.112430E+04   0.356631E-01   0.178351E+01   0.622194E+07   0.103835E+05
    37   0.114204E+04   0.391431E-01   0.175355E+01   0.621710E+07   0.101307E+05
    38   0.116014E+04   0.428521E-01   0.171708E+01   0.621005E+07   0.989185E+04
    39   0.117860E+04   0.467867E-01   0.167367E+01   0.620091E+07   0.966838E+04
    40   0.119717E+04   0.509476E-01   0.162191E+01   0.618978E+07   0.946046E+04
    41   0.121598E+04   0.553417E-01   0.156034E+01   0.617680E+07   0.926761E+04
    42   0.123478E+04   0.599783E-01   0.148790E+01   0.616209E+07   0.908698E+04
    43   0.125373E+04   0.648676E-01   0.140371E+01   0.614577E+07   0.891514E+04
    44   0.127266E+04   0.700046E-01   0.130775E+01   0.612797E+07   0.874869E+04
    45   0.129193E+04   0.753950E-01   0.120009E+01   0.610883E+07   0.858418E+04
    46   0.131147E+04   0.810448E-01   0.107898E+01   0.608846E+07   0.841919E+04
    47   0.133114E+04   0.869489E-01   0.945322E+00   0.606694E+07   0.825527E+04
    48   0.135088E+04   0.931066E-01   0.803321E+00   0.604438E+07   0.809498E+04
    49   0.137079E+04   0.994946E-01   0.656595E+00   0.602085E+07   0.794086E+04
    50   0.139109E+04   0.106082E+00   0.501979E+00   0.599644E+07   0.779546E+04
    51   0.141159E+04   0.112838E+00   0.334898E+00   0.597122E+07   0.766047E+04
    52   0.143249E+04   0.119851E+00   0.150772E+00   0.594526E+07   0.753413E+04
    53   0.145338E+04   0.127275E+00  -0.531292E-01   0.591860E+07   0.741380E+04
    54   0.147419E+04   0.135111E+00  -0.271571E+00   0.589131E+07   0.729687E+04
    55   0.149510E+04   0.143340E+00  -0.499199E+00   0.586342E+07   0.718070E+04
    56   0.151632E+04   0.151825E+00  -0.737041E+00   0.583500E+07   0.706338E+04
    57   0.153780E+04   0.160453E+00  -0.985326E+00   0.580607E+07   0.694588E+04
    58   0.155957E+04   0.169228E+00  -0.124532E+01   0.577667E+07   0.682987E+04
    59   0.158149E+04   0.178184E+00  -0.151830E+01   0.574681E+07   0.671704E+04
    60   0.160359E+04   0.187368E+00  -0.180414E+01   0.571654E+07   0.660906E+04
    61   0.162619E+04   0.196869E+00  -0.210235E+01   0.568589E+07   0.650718E+04
    62   0.164868E+04   0.206678E+00  -0.241359E+01   0.565489E+07   0.641089E+04
    63   0.167129E+04   0.216762E+00  -0.273840E+01   0.562361E+07   0.631926E+04
    64   0.169428E+04   0.227137E+00  -0.307756E+01   0.559208E+07   0.623135E+04
    65   0.171729E+04   0.237784E+00  -0.343123E+01   0.556035E+07   0.614622E+04
    66   0.174059E+04   0.248640E+00  -0.379729E+01   0.552848E+07   0.606305E+04
    67   0.176401E+04   0.259706E+00  -0.417335E+01   0.549648E+07   0.598156E+04
    68   0.178784E+04   0.271021E+00  -0.455830E+01   0.546438E+07   0.590155E+04
    69   0.181183E+04   0.282543E+00  -0.495094E+01   0.543220E+07   0.582287E+04
    70   0.183610E+04   0.294311E+00  -0.535348E+01   0.539996E+07   0.574533E+04
    71   0.186051E+04   0.306312E+00  -0.576872E+01   0.536768E+07   0.566888E+04
    72   0.188510E+04   0.318521E+00  -0.619783E+01   0.533536E+07   0.559401E+04
    73   0.190983E+04   0.330904E+00  -0.664104E+01   0.530301E+07   0.552131E+04
    74   0.193477E+04   0.343450E+00  -0.709714E+01   0.527062E+07   0.545140E+04
    75   0.196003E+04   0.356170E+00  -0.756428E+01   0.523821E+07   0.538487E+04
    76   0.198558E+04   0.369067E+00  -0.804155E+01   0.520577E+07   0.532213E+04
    77   0.201145E+04   0.382133E+00  -0.852875E+01   0.517332E+07   0.526278E+04
    78   0.203767E+04   0.395398E+00  -0.902732E+01   0.514088E+07   0.520624E+04
    79   0.206403E+04   0.408811E+00  -0.953352E+01   0.510848E+07   0.515190E+04
    80   0.209063E+04   0.422377E+00  -0.100488E+02   0.507612E+07   0.509917E+04
    81   0.211734E+04   0.436049E+00  -0.105737E+02   0.504382E+07   0.504751E+04
    82   0.214427E+04   0.449849E+00  -0.111074E+02   0.501160E+07   0.499664E+04
    83   0.217135E+04   0.463750E+00  -0.116499E+02   0.497948E+07   0.494633E+04
    84   0.219869E+04   0.477750E+00  -0.121993E+02   0.494746E+07   0.489634E+04
    85   0.222617E+04   0.491823E+00  -0.127571E+02   0.491556E+07   0.484645E+04
    86   0.225387E+04   0.505980E+00  -0.133223E+02   0.488378E+07   0.479650E+04
    87   0.228203E+04   0.520194E+00  -0.138941E+02   0.485214E+07   0.474663E+04
    88   0.231017E+04   0.534481E+00  -0.144725E+02   0.482064E+07   0.469704E+04
    89   0.233867E+04   0.548831E+00  -0.150588E+02   0.478929E+07   0.464794E+04
    90   0.236735E+04   0.563207E+00  -0.156501E+02   0.475808E+07   0.459955E+04
    91   0.239615E+04   0.577605E+00  -0.162470E+02   0.472703E+07   0.455203E+04
    92   0.242521E+04   0.592011E+00  -0.168490E+02   0.469614E+07   0.450539E+04
    93   0.245453E+04   0.606420E+00  -0.174559E+02   0.466542E+07   0.445962E+04
    94   0.248390E+04   0.620795E+00  -0.180666E+02   0.463485E+07   0.441467E+04
    95   0.251353E+04   0.635139E+00  -0.186818E+02   0.460445E+07   0.437054E+04
    96   0.254313E+04   0.649437E+00  -0.193008E+02   0.457422E+07   0.432718E+04
    97   0.257315E+04   0.663677E+00  -0.199230E+02   0.454416E+07   0.428458E+04
    98   0.260337E+04   0.677852E+00  -0.205463E+02   0.451428E+07   0.424270E+04
    99   0.263364E+04   0.691927E+00  -0.211737E+02   0.448456E+07   0.420152E+04
   100   0.266420E+04   0.705903E+00  -0.218008E+02   0.445503E+07   0.416101E+04
   101   0.269488E+04   0.719840E+00  -0.224308E+02   0.442568E+07   0.412116E+04
   102   0.272607E+04   0.733593E+00  -0.230614E+02   0.439651E+07   0.408192E+04
   103   0.275718E+04   0.747236E+00  -0.236936E+02   0.436752E+07   0.404328E+04
   104   0.278850E+04   0.760771E+00  -0.243243E+02   0.433872E+07   0.400520E+04
   105   0.281996E+04   0.774126E+00  -0.249553E+02   0.431011E+07   0.396766E+04
   106   0.285164E+04   0.787375E+00  -0.255858E+02   0.428170E+07   0.393064E+04
