#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105040E-04   0.147764E+08   0.147764E+08   0.196890E+08   0.196886E+08   0.147785E+08   0.147764E+08   0.147764E+08   0.147822E+08  -0.430924E+00   0.782402E+07   0.782402E+07   0.562139E+01
   0.116035E-04   0.147766E+08   0.147766E+08   0.196864E+08   0.196859E+08   0.147787E+08   0.147766E+08   0.147766E+08   0.147824E+08  -0.430930E+00   0.782408E+07   0.782408E+07   0.620959E+01
   0.128180E-04   0.147769E+08   0.147769E+08   0.196833E+08   0.196827E+08   0.147790E+08   0.147769E+08   0.147769E+08   0.147827E+08  -0.430938E+00   0.782415E+07   0.782415E+07   0.685929E+01
   0.141597E-04   0.147772E+08   0.147772E+08   0.196795E+08   0.196788E+08   0.147793E+08   0.147772E+08   0.147772E+08   0.147830E+08  -0.430947E+00   0.782424E+07   0.782424E+07   0.757690E+01
   0.156418E-04   0.147776E+08   0.147776E+08   0.196748E+08   0.196740E+08   0.147797E+08   0.147776E+08   0.147776E+08   0.147834E+08  -0.430959E+00   0.782434E+07   0.782434E+07   0.836951E+01
   0.172790E-04   0.147781E+08   0.147781E+08   0.196692E+08   0.196682E+08   0.147801E+08   0.147781E+08   0.147781E+08   0.147839E+08  -0.430973E+00   0.782448E+07   0.782448E+07   0.924492E+01
   0.190876E-04   0.147787E+08   0.147787E+08   0.196622E+08   0.196610E+08   0.147807E+08   0.147787E+08   0.147787E+08   0.147845E+08  -0.430990E+00   0.782464E+07   0.782464E+07   0.102117E+02
   0.210855E-04   0.147794E+08   0.147794E+08   0.196538E+08   0.196523E+08   0.147814E+08   0.147794E+08   0.147794E+08   0.147852E+08  -0.431011E+00   0.782483E+07   0.782483E+07   0.112795E+02
   0.232925E-04   0.147803E+08   0.147803E+08   0.196435E+08   0.196417E+08   0.147823E+08   0.147803E+08   0.147803E+08   0.147861E+08  -0.431037E+00   0.782507E+07   0.782507E+07   0.124585E+02
   0.257305E-04   0.147814E+08   0.147814E+08   0.196310E+08   0.196288E+08   0.147833E+08   0.147814E+08   0.147814E+08   0.147871E+08  -0.431068E+00   0.782537E+07   0.782537E+07   0.137605E+02
   0.284237E-04   0.147827E+08   0.147827E+08   0.196157E+08   0.196130E+08   0.147846E+08   0.147827E+08   0.147827E+08   0.147885E+08  -0.431106E+00   0.782572E+07   0.782572E+07   0.151980E+02
   0.313988E-04   0.147843E+08   0.147843E+08   0.195970E+08   0.195937E+08   0.147861E+08   0.147843E+08   0.147843E+08   0.147901E+08  -0.431152E+00   0.782616E+07   0.782616E+07   0.167850E+02
   0.346853E-04   0.147863E+08   0.147863E+08   0.195743E+08   0.195702E+08   0.147880E+08   0.147863E+08   0.147863E+08   0.147920E+08  -0.431209E+00   0.782669E+07   0.782669E+07   0.185368E+02
