#    L    TT             EE             TE             PP             TP          
     2   0.733114E+03   0.440307E-01   0.250977E+01   0.130287E+07   0.221606E+05
     3   0.760276E+03   0.698062E-01   0.359169E+01   0.201536E+07   0.200533E+05
     4   0.765373E+03   0.755780E-01   0.384452E+01   0.263804E+07   0.169425E+05
     5   0.762249E+03   0.642824E-01   0.357738E+01   0.317893E+07   0.140090E+05
     6   0.757552E+03   0.454406E-01   0.307198E+01   0.364830E+07   0.114990E+05
     7   0.754434E+03   0.277947E-01   0.250826E+01   0.405748E+07   0.941706E+04
     8   0.753779E+03   0.157694E-01   0.199275E+01   0.441567E+07   0.764025E+04
     9   0.755810E+03   0.958911E-02   0.157308E+01   0.473071E+07   0.607793E+04
    10   0.760100E+03   0.724879E-02   0.126565E+01   0.500809E+07   0.473232E+04
    11   0.765841E+03   0.650271E-02   0.107037E+01   0.525414E+07   0.362894E+04
    12   0.773802E+03   0.603419E-02   0.975763E+00   0.547153E+07   0.274110E+04
    13   0.782612E+03   0.528642E-02   0.956152E+00   0.566368E+07   0.202169E+04
    14   0.791663E+03   0.459689E-02   0.983153E+00   0.583421E+07   0.142477E+04
    15   0.801473E+03   0.415807E-02   0.103755E+01   0.598543E+07   0.916010E+03
    16   0.812624E+03   0.404804E-02   0.110396E+01   0.611937E+07   0.468895E+03
    17   0.825123E+03   0.425273E-02   0.116991E+01   0.623801E+07   0.766456E+02
    18   0.838085E+03   0.455969E-02   0.122752E+01   0.634314E+07  -0.262869E+03
    19   0.852381E+03   0.490352E-02   0.127752E+01   0.643571E+07  -0.552912E+03
    20   0.866377E+03   0.532020E-02   0.132006E+01   0.651659E+07  -0.798092E+03
    21   0.880474E+03   0.583693E-02   0.135857E+01   0.658716E+07  -0.100728E+04
    22   0.894989E+03   0.655078E-02   0.139608E+01   0.664875E+07  -0.118882E+04
    23   0.909747E+03   0.748779E-02   0.143549E+01   0.670204E+07  -0.134474E+04
    24   0.924811E+03   0.862143E-02   0.147894E+01   0.674758E+07  -0.147464E+04
    25   0.940162E+03   0.995695E-02   0.152537E+01   0.678612E+07  -0.157469E+04
    26   0.955646E+03   0.114685E-01   0.157457E+01   0.681839E+07  -0.164204E+04
    27   0.971494E+03   0.131377E-01   0.162550E+01   0.684498E+07  -0.168108E+04
    28   0.987544E+03   0.149722E-01   0.167713E+01   0.686635E+07  -0.169883E+04
    29   0.100385E+04   0.169606E-01   0.172404E+01   0.688261E+07  -0.170538E+04
    30   0.102033E+04   0.191015E-01   0.176000E+01   0.689390E+07  -0.170908E+04
    31   0.103689E+04   0.214138E-01   0.178624E+01   0.690088E+07  -0.170811E+04
    32   0.105381E+04   0.239044E-01   0.180492E+01   0.690421E+07  -0.169913E+04
