#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.188407E-03   0.198308E+08   0.198307E+08   0.223284E+08   0.222234E+08   0.198208E+08   0.198308E+08   0.198308E+08   0.198373E+08  -0.472688E+00   0.104602E+08   0.104601E+08   0.989523E+02
   0.208127E-03   0.198289E+08   0.198286E+08   0.215036E+08   0.213792E+08   0.198161E+08   0.198288E+08   0.198288E+08   0.198350E+08  -0.472629E+00   0.104591E+08   0.104590E+08   0.108245E+03
   0.229912E-03   0.198265E+08   0.198262E+08   0.205354E+08   0.203889E+08   0.198104E+08   0.198263E+08   0.198264E+08   0.198323E+08  -0.472559E+00   0.104578E+08   0.104577E+08   0.118163E+03
   0.253977E-03   0.198235E+08   0.198232E+08   0.194088E+08   0.192377E+08   0.198034E+08   0.198234E+08   0.198235E+08   0.198291E+08  -0.472473E+00   0.104562E+08   0.104562E+08   0.128662E+03
   0.280561E-03   0.198200E+08   0.198196E+08   0.181122E+08   0.179142E+08   0.197950E+08   0.198198E+08   0.198199E+08   0.198251E+08  -0.472371E+00   0.104543E+08   0.104542E+08   0.139669E+03
   0.309927E-03   0.198157E+08   0.198153E+08   0.166398E+08   0.164135E+08   0.197847E+08   0.198155E+08   0.198157E+08   0.198204E+08  -0.472247E+00   0.104520E+08   0.104519E+08   0.151062E+03
   0.342367E-03   0.198106E+08   0.198100E+08   0.149955E+08   0.147408E+08   0.197722E+08   0.198103E+08   0.198105E+08   0.198147E+08  -0.472100E+00   0.104493E+08   0.104491E+08   0.162672E+03
   0.378202E-03   0.198043E+08   0.198036E+08   0.131974E+08   0.129160E+08   0.197571E+08   0.198040E+08   0.198042E+08   0.198078E+08  -0.471924E+00   0.104459E+08   0.104457E+08   0.174266E+03
   0.417788E-03   0.197968E+08   0.197960E+08   0.112821E+08   0.109785E+08   0.197389E+08   0.197964E+08   0.197967E+08   0.197997E+08  -0.471714E+00   0.104418E+08   0.104416E+08   0.185540E+03
   0.461518E-03   0.197878E+08   0.197869E+08   0.930896E+07   0.899075E+07   0.197168E+08   0.197874E+08   0.197877E+08   0.197900E+08  -0.471467E+00   0.104370E+08   0.104367E+08   0.196124E+03
   0.509825E-03   0.197770E+08   0.197759E+08   0.736097E+07   0.703967E+07   0.196901E+08   0.197765E+08   0.197769E+08   0.197786E+08  -0.471175E+00   0.104312E+08   0.104309E+08   0.205583E+03
   0.563188E-03   0.197642E+08   0.197629E+08   0.554115E+07   0.523175E+07   0.196581E+08   0.197635E+08   0.197640E+08   0.197651E+08  -0.470834E+00   0.104242E+08   0.104239E+08   0.213436E+03
   0.622137E-03   0.197489E+08   0.197474E+08   0.396024E+07   0.368001E+07   0.196194E+08   0.197481E+08   0.197487E+08   0.197492E+08  -0.470435E+00   0.104160E+08   0.104156E+08   0.219200E+03
   0.687256E-03   0.197309E+08   0.197291E+08   0.271455E+07   0.248033E+07   0.195733E+08   0.197299E+08   0.197306E+08   0.197306E+08  -0.469972E+00   0.104063E+08   0.104058E+08   0.222430E+03
   0.759191E-03   0.197096E+08   0.197075E+08   0.185547E+07   0.167963E+07   0.195181E+08   0.197084E+08   0.197092E+08   0.197089E+08  -0.469435E+00   0.103948E+08   0.103943E+08   0.222793E+03
   0.838655E-03   0.196846E+08   0.196822E+08   0.136014E+07   0.124590E+07   0.194524E+08   0.196832E+08   0.196842E+08   0.196835E+08  -0.468814E+00   0.103813E+08   0.103808E+08   0.220121E+03
   0.926437E-03   0.196553E+08   0.196527E+08   0.112140E+07   0.105963E+07   0.193744E+08   0.196536E+08   0.196549E+08   0.196540E+08  -0.468097E+00   0.103656E+08   0.103650E+08   0.214443E+03
   0.102341E-02   0.196212E+08   0.196184E+08   0.978712E+06   0.949055E+06   0.192822E+08   0.196193E+08   0.196208E+08   0.196195E+08  -0.467269E+00   0.103474E+08   0.103468E+08   0.205984E+03
   0.113053E-02   0.195817E+08   0.195786E+08   0.795738E+06   0.773716E+06   0.191736E+08   0.195794E+08   0.195812E+08   0.195796E+08  -0.466311E+00   0.103263E+08   0.103256E+08   0.195098E+03
   0.124886E-02   0.195358E+08   0.195326E+08   0.546523E+06   0.514642E+06   0.190463E+08   0.195331E+08   0.195353E+08   0.195333E+08  -0.465204E+00   0.103018E+08   0.103011E+08   0.182208E+03
   0.137958E-02   0.194830E+08   0.194796E+08   0.326424E+06   0.281826E+06   0.188983E+08   0.194798E+08   0.194824E+08   0.194799E+08  -0.463928E+00   0.102737E+08   0.102730E+08   0.167784E+03
   0.152398E-02   0.194221E+08   0.194186E+08   0.232847E+06   0.184031E+06   0.187276E+08   0.194184E+08   0.194216E+08   0.194185E+08  -0.462462E+00   0.102413E+08   0.102406E+08   0.152407E+03
   0.168349E-02   0.193523E+08   0.193488E+08   0.220454E+06   0.175628E+06   0.185322E+08   0.193480E+08   0.193517E+08   0.193481E+08  -0.460782E+00   0.102041E+08   0.102034E+08   0.136819E+03
   0.185970E-02   0.192724E+08   0.192689E+08   0.160029E+06   0.120229E+06   0.183103E+08   0.192675E+08   0.192718E+08   0.192675E+08  -0.458861E+00   0.101617E+08   0.101610E+08   0.121842E+03
   0.205435E-02   0.191812E+08   0.191778E+08   0.675926E+05   0.289095E+05   0.180609E+08   0.191757E+08   0.191807E+08   0.191757E+08  -0.456672E+00   0.101133E+08   0.101126E+08   0.108156E+03
