#    L    TT             EE             TE             PP             TP          
     2   0.732443E+03   0.456325E-01   0.388867E+01   0.141173E+07  -0.655014E+03
     3   0.757525E+03   0.710429E-01   0.453226E+01   0.214189E+07  -0.265021E+04
     4   0.754534E+03   0.764448E-01   0.438239E+01   0.276963E+07  -0.404235E+04
     5   0.747188E+03   0.648327E-01   0.385458E+01   0.330930E+07  -0.499389E+04
     6   0.741254E+03   0.457517E-01   0.320254E+01   0.377390E+07  -0.562825E+04
     7   0.738501E+03   0.279459E-01   0.256402E+01   0.417633E+07  -0.603196E+04
     8   0.738912E+03   0.158253E-01   0.201346E+01   0.452664E+07  -0.632855E+04
     9   0.742214E+03   0.959632E-02   0.157916E+01   0.483322E+07  -0.658623E+04
    10   0.747774E+03   0.723674E-02   0.126710E+01   0.510186E+07  -0.677621E+04
    11   0.754717E+03   0.648711E-02   0.107109E+01   0.533916E+07  -0.685538E+04
    12   0.763789E+03   0.602110E-02   0.975889E+00   0.554789E+07  -0.683105E+04
    13   0.773607E+03   0.527724E-02   0.955211E+00   0.573159E+07  -0.673402E+04
    14   0.783552E+03   0.459017E-02   0.980878E+00   0.589393E+07  -0.659585E+04
    15   0.794151E+03   0.415217E-02   0.103416E+01   0.603728E+07  -0.643980E+04
    16   0.805996E+03   0.404190E-02   0.110007E+01   0.616368E+07  -0.628340E+04
    17   0.819107E+03   0.424616E-02   0.116607E+01   0.627513E+07  -0.612933E+04
    18   0.832609E+03   0.455330E-02   0.122407E+01   0.637342E+07  -0.597580E+04
    19   0.847383E+03   0.489806E-02   0.127475E+01   0.645950E+07  -0.581795E+04
    20   0.861803E+03   0.531629E-02   0.131818E+01   0.653423E+07  -0.565197E+04
    21   0.876275E+03   0.583470E-02   0.135750E+01   0.659897E+07  -0.548130E+04
    22   0.891124E+03   0.654989E-02   0.139549E+01   0.665506E+07  -0.531075E+04
    23   0.906176E+03   0.748789E-02   0.143528E+01   0.670317E+07  -0.514335E+04
    24   0.921505E+03   0.862218E-02   0.147920E+01   0.674382E+07  -0.498038E+04
    25   0.937100E+03   0.995790E-02   0.152601E+01   0.677775E+07  -0.481801E+04
    26   0.952818E+03   0.114690E-01   0.157524E+01   0.680568E+07  -0.465202E+04
    27   0.968886E+03   0.131373E-01   0.162582E+01   0.682819E+07  -0.448168E+04
    28   0.985140E+03   0.149707E-01   0.167683E+01   0.684572E+07  -0.430810E+04
    29   0.100163E+04   0.169582E-01   0.172321E+01   0.685838E+07  -0.413632E+04
    30   0.101828E+04   0.190989E-01   0.175910E+01   0.686630E+07  -0.397047E+04
    31   0.103499E+04   0.214114E-01   0.178560E+01   0.687012E+07  -0.380712E+04
    32   0.105205E+04   0.239027E-01   0.180466E+01   0.687050E+07  -0.364230E+04
    33   0.106944E+04   0.265614E-01   0.181463E+01   0.686767E+07  -0.347735E+04
    34   0.108700E+04   0.293894E-01   0.181415E+01   0.686180E+07  -0.331573E+04
    35   0.110470E+04   0.324125E-01   0.180354E+01   0.685313E+07  -0.316415E+04
    36   0.112249E+04   0.356630E-01   0.178279E+01   0.684193E+07  -0.302729E+04
    37   0.114036E+04   0.391424E-01   0.175273E+01   0.682839E+07  -0.289844E+04
    38   0.115858E+04   0.428508E-01   0.171594E+01   0.681271E+07  -0.276947E+04
    39   0.117714E+04   0.467847E-01   0.167211E+01   0.679502E+07  -0.263818E+04
    40   0.119581E+04   0.509453E-01   0.162007E+01   0.677544E+07  -0.250380E+04
    41   0.121469E+04   0.553392E-01   0.155847E+01   0.675409E+07  -0.236622E+04
    42   0.123358E+04   0.599760E-01   0.148622E+01   0.673112E+07  -0.222793E+04
    43   0.125259E+04   0.648656E-01   0.140232E+01   0.670664E+07  -0.209206E+04
    44   0.127158E+04   0.700029E-01   0.130667E+01   0.668080E+07  -0.196174E+04
    45   0.129092E+04   0.753933E-01   0.119921E+01   0.665372E+07  -0.184011E+04
    46   0.131052E+04   0.810430E-01   0.107813E+01   0.662553E+07  -0.172927E+04
    47   0.133024E+04   0.869468E-01   0.944359E+00   0.659633E+07  -0.162718E+04
