#           k/h    P           
 0.84994361E-03 0.28775906E+04
 0.86711359E-03 0.29387253E+04
 0.88463066E-03 0.30010234E+04
 0.90250134E-03 0.30644978E+04
 0.92073303E-03 0.31291626E+04
 0.93933311E-03 0.31950305E+04
 0.95830887E-03 0.32621155E+04
 0.97766798E-03 0.33304309E+04
 0.99741819E-03 0.33999905E+04
 0.10175674E-02 0.34708074E+04
 0.10381236E-02 0.35428950E+04
 0.10590950E-02 0.36162664E+04
 0.10804901E-02 0.36909348E+04
 0.11023175E-02 0.37669143E+04
 0.11245857E-02 0.38442173E+04
 0.11473041E-02 0.39228569E+04
 0.11704812E-02 0.40028464E+04
 0.11941264E-02 0.40841987E+04
 0.12182494E-02 0.41669272E+04
 0.12428596E-02 0.42510449E+04
 0.12679670E-02 0.43365640E+04
 0.12935817E-02 0.44234976E+04
 0.13197137E-02 0.45118584E+04
 0.13463736E-02 0.46016592E+04
 0.13735722E-02 0.46929126E+04
 0.14013201E-02 0.47856304E+04
 0.14296286E-02 0.48798252E+04
 0.14585090E-02 0.49755093E+04
 0.14879731E-02 0.50726948E+04
 0.15180323E-02 0.51713936E+04
 0.15486985E-02 0.52716177E+04
 0.15799842E-02 0.53733784E+04
 0.16119020E-02 0.54766870E+04
 0.16444647E-02 0.55815547E+04
 0.16776850E-02 0.56879922E+04
 0.17115764E-02 0.57960098E+04
 0.17461524E-02 0.59056182E+04
 0.17814270E-02 0.60168267E+04
 0.18174142E-02 0.61296445E+04
 0.18541284E-02 0.62440806E+04
 0.18915841E-02 0.63601440E+04
 0.19297971E-02 0.64778423E+04
 0.19687817E-02 0.65971836E+04
 0.20085536E-02 0.67181758E+04
 0.20491290E-02 0.68408247E+04
 0.20905242E-02 0.69651372E+04
 0.21327557E-02 0.70911147E+04
 0.21758399E-02 0.72187578E+04
 0.22197948E-02 0.73480654E+04
 0.22646377E-02 0.74790366E+04
 0.23103864E-02 0.76116694E+04
 0.23570592E-02 0.77459644E+04
 0.24046749E-02 0.78819233E+04
 0.24532524E-02 0.80195469E+04
 0.25028118E-02 0.81588359E+04
 0.25533722E-02 0.82997891E+04
 0.26049537E-02 0.84424053E+04
 0.26575772E-02 0.85866797E+04
 0.27112637E-02 0.87326094E+04
 0.27660348E-02 0.88801885E+04
 0.28219123E-02 0.90294111E+04
 0.28789188E-02 0.91802695E+04
 0.29370766E-02 0.93327520E+04
 0.29964095E-02 0.94868496E+04
 0.30569409E-02 0.96425488E+04
 0.31186952E-02 0.97998379E+04
 0.31816978E-02 0.99587002E+04
 0.32459723E-02 0.10119119E+05
 0.33115451E-02 0.10281074E+05
 0.33784427E-02 0.10444546E+05
 0.34466919E-02 0.10609513E+05
 0.35163197E-02 0.10775950E+05
 0.35873537E-02 0.10943831E+05
 0.36598232E-02 0.11113126E+05
 0.37337563E-02 0.11283807E+05
 0.38091831E-02 0.11455841E+05
 0.38861334E-02 0.11629192E+05
 0.39646388E-02 0.11803827E+05
 0.40447293E-02 0.11979706E+05
 0.41264393E-02 0.12156789E+05
 0.42097992E-02 0.12335034E+05
 0.42948425E-02 0.12514394E+05
 0.43816040E-02 0.12694814E+05
 0.44701183E-02 0.12876245E+05
 0.45604203E-02 0.13058629E+05
 0.46525472E-02 0.13241909E+05
 0.47465344E-02 0.13426023E+05
 0.48424210E-02 0.13610911E+05
 0.49402444E-02 0.13796505E+05
 0.50400435E-02 0.13982737E+05
 0.51418589E-02 0.14169541E+05
 0.52457317E-02 0.14356855E+05
 0.53517036E-02 0.14544618E+05
 0.54598148E-02 0.14732769E+05
 0.55701104E-02 0.14921240E+05
 0.56826337E-02 0.15109959E+05
 0.57974309E-02 0.15298814E+05
 0.59145465E-02 0.15487688E+05
 0.60340283E-02 0.15676459E+05
 0.61559235E-02 0.15865000E+05
 0.62802811E-02 0.16053191E+05
 0.64071510E-02 0.16240935E+05
 0.65365843E-02 0.16428135E+05
 0.66686315E-02 0.16614693E+05
 0.68033468E-02 0.16800512E+05
 0.69407835E-02 0.16985484E+05
 0.70809964E-02 0.17169482E+05
 0.72240415E-02 0.17352377E+05
 0.73699774E-02 0.17534029E+05
 0.75188605E-02 0.17714303E+05
 0.76707508E-02 0.17893059E+05
 0.78257136E-02 0.18070152E+05
 0.79838037E-02 0.18245434E+05
 0.81450874E-02 0.18418756E+05
 0.83096288E-02 0.18589963E+05
 0.84774951E-02 0.18758902E+05
 0.86487513E-02 0.18925408E+05
 0.88234674E-02 0.19089318E+05
 0.90017123E-02 0.19250461E+05
 0.91835596E-02 0.19408670E+05
 0.93690790E-02 0.19563771E+05
 0.95583471E-02 0.19715582E+05
 0.97514391E-02 0.19863918E+05
 0.99484306E-02 0.20008590E+05
 0.10149402E-01 0.20149414E+05
 0.10354433E-01 0.20286199E+05
 0.10563606E-01 0.20418750E+05
 0.10777006E-01 0.20546869E+05
 0.10994715E-01 0.20670357E+05
 0.11216822E-01 0.20789021E+05
 0.11443418E-01 0.20902648E+05
 0.11674589E-01 0.21011008E+05
 0.11910431E-01 0.21113859E+05
 0.12151038E-01 0.21210967E+05
 0.12396505E-01 0.21302100E+05
 0.12646930E-01 0.21387057E+05
 0.12902415E-01 0.21465705E+05
 0.13163067E-01 0.21537920E+05
 0.13428980E-01 0.21603582E+05
 0.13700262E-01 0.21662574E+05
 0.13977026E-01 0.21714619E+05
 0.14259379E-01 0.21759152E+05
 0.14547437E-01 0.21795590E+05
 0.14841316E-01 0.21823352E+05
 0.15141129E-01 0.21841871E+05
 0.15447001E-01 0.21851236E+05
 0.15759049E-01 0.21852557E+05
 0.16077405E-01 0.21847041E+05
 0.16402189E-01 0.21835900E+05
 0.16733535E-01 0.21820332E+05
 0.17071573E-01 0.21800268E+05
 0.17416442E-01 0.21773779E+05
 0.17768279E-01 0.21738803E+05
 0.18127220E-01 0.21693293E+05
 0.18493414E-01 0.21635256E+05
 0.18867005E-01 0.21563643E+05
 0.19248145E-01 0.21478699E+05
 0.19636983E-01 0.21380789E+05
 0.20033674E-01 0.21270295E+05
 0.20438381E-01 0.21147623E+05
 0.20851264E-01 0.21013363E+05
 0.21272486E-01 0.20868344E+05
 0.21702228E-01 0.20713408E+05
 0.22140643E-01 0.20549391E+05
 0.22587912E-01 0.20377117E+05
 0.23044219E-01 0.20197074E+05
 0.23509743E-01 0.20009357E+05
 0.23984671E-01 0.19814047E+05
 0.24469191E-01 0.19611240E+05
 0.24963502E-01 0.19401039E+05
 0.25467798E-01 0.19183371E+05
 0.25982281E-01 0.18957963E+05
 0.26507158E-01 0.18724561E+05
 0.27042639E-01 0.18482951E+05
 0.27588934E-01 0.18232971E+05
 0.28146267E-01 0.17974768E+05
 0.28714858E-01 0.17708809E+05
 0.29294936E-01 0.17435584E+05
 0.29886734E-01 0.17155590E+05
 0.30490484E-01 0.16869346E+05
 0.31106433E-01 0.16577875E+05
 0.31734824E-01 0.16282679E+05
 0.32375909E-01 0.15985205E+05
 0.33029947E-01 0.15686822E+05
 0.33697195E-01 0.15388792E+05
 0.34377921E-01 0.15091876E+05
 0.35072401E-01 0.14796383E+05
 0.35780910E-01 0.14502586E+05
 0.36503751E-01 0.14210746E+05
 0.37241172E-01 0.13921125E+05
 0.37993494E-01 0.13634302E+05
 0.38761012E-01 0.13351111E+05
 0.39544035E-01 0.13072332E+05
 0.40342879E-01 0.12798677E+05
 0.41157857E-01 0.12530795E+05
 0.41989300E-01 0.12269273E+05
 0.42837542E-01 0.12014644E+05
 0.43702915E-01 0.11767382E+05
 0.44585772E-01 0.11527917E+05
 0.45486465E-01 0.11296627E+05
 0.46405349E-01 0.11073772E+05
 0.47342800E-01 0.10859524E+05
 0.48299186E-01 0.10654027E+05
 0.49274892E-01 0.10457406E+05
 0.50270312E-01 0.10269729E+05
 0.51285837E-01 0.10090765E+05
 0.52321881E-01 0.99201641E+04
 0.53378850E-01 0.97576035E+04
 0.54457176E-01 0.96027607E+04
 0.55557281E-01 0.94550312E+04
 0.56679614E-01 0.93135107E+04
 0.57824615E-01 0.91773311E+04
 0.58992747E-01 0.90456650E+04
 0.60184479E-01 0.89175605E+04
 0.61400317E-01 0.87919355E+04
 0.62640682E-01 0.86677520E+04
 0.63906111E-01 0.85439531E+04
 0.65197095E-01 0.84188789E+04
 0.66514164E-01 0.82906328E+04
 0.67857832E-01 0.81574570E+04
 0.69228657E-01 0.80187192E+04
 0.70627168E-01 0.78755029E+04
 0.72053924E-01 0.77290000E+04
 0.73509507E-01 0.75792095E+04
 0.74994497E-01 0.74226157E+04
 0.76509491E-01 0.72553491E+04
 0.78055084E-01 0.70751499E+04
 0.79631895E-01 0.68841313E+04
 0.81240565E-01 0.66851938E+04
 0.82881734E-01 0.64805679E+04
 0.84556051E-01 0.62712476E+04
 0.86264193E-01 0.60580938E+04
 0.88006847E-01 0.58427119E+04
 0.89784704E-01 0.56273423E+04
 0.91598473E-01 0.54140884E+04
 0.93448877E-01 0.52051709E+04
 0.95336676E-01 0.50026221E+04
 0.97262599E-01 0.48083965E+04
 0.99227436E-01 0.46243638E+04
 0.10123201E+00 0.44520815E+04
 0.10327702E+00 0.42927236E+04
 0.10536335E+00 0.41468931E+04
 0.10749183E+00 0.40150088E+04
 0.10966332E+00 0.38972515E+04
 0.11187866E+00 0.37927573E+04
 0.11413875E+00 0.37003923E+04
 0.11644451E+00 0.36189827E+04
 0.11879683E+00 0.35463821E+04
 0.12119669E+00 0.34802151E+04
 0.12364503E+00 0.34181321E+04
 0.12614281E+00 0.33573401E+04
 0.12869108E+00 0.32950964E+04
 0.13129081E+00 0.32289568E+04
 0.13394305E+00 0.31568403E+04
 0.13664888E+00 0.30770173E+04
 0.13940936E+00 0.29887986E+04
 0.14222562E+00 0.28920828E+04
 0.14509876E+00 0.27876313E+04
 0.14802995E+00 0.26772515E+04
 0.15102035E+00 0.25630435E+04
 0.15407117E+00 0.24479795E+04
 0.15718360E+00 0.23349309E+04
 0.16035892E+00 0.22268359E+04
 0.16359837E+00 0.21262891E+04
 0.16690327E+00 0.20351633E+04
 0.17027503E+00 0.19547697E+04
 0.17371480E+00 0.18853210E+04
 0.17722408E+00 0.18263594E+04
 0.18080424E+00 0.17763658E+04
 0.18445672E+00 0.17332761E+04
 0.18818299E+00 0.16943690E+04
 0.19198453E+00 0.16567854E+04
 0.19586287E+00 0.16177268E+04
 0.19981956E+00 0.15749061E+04
 0.20385619E+00 0.15268514E+04
 0.20797436E+00 0.14731915E+04
 0.21217570E+00 0.14145647E+04
 0.21646193E+00 0.13527274E+04
 0.22083476E+00 0.12900078E+04
 0.22529592E+00 0.12290239E+04
 0.22984719E+00 0.11721525E+04
 0.23449039E+00 0.11211233E+04
 0.23922741E+00 0.10768029E+04
 0.24406013E+00 0.10389817E+04
 0.24899045E+00 0.10065381E+04
 0.25402039E+00 0.97764874E+03
 0.25915194E+00 0.95012579E+03
 0.26438716E+00 0.92192548E+03
 0.26972812E+00 0.89158185E+03
 0.27517700E+00 0.85851471E+03
 0.28073606E+00 0.82314050E+03
 0.28640729E+00 0.78670917E+03
 0.29219311E+00 0.75089551E+03
 0.29809579E+00 0.71730090E+03
 0.30411756E+00 0.68701721E+03
 0.31026131E+00 0.66035962E+03
 0.31652883E+00 0.63683252E+03
 0.32292327E+00 0.61533521E+03
 0.32944661E+00 0.59454260E+03
 0.33610201E+00 0.57334784E+03
 0.34289157E+00 0.55121240E+03
 0.34981859E+00 0.52829773E+03
 0.35688522E+00 0.50532407E+03
 0.36409497E+00 0.48322247E+03
 0.37145033E+00 0.46273462E+03
 0.37895393E+00 0.44412869E+03
 0.38660949E+00 0.42714172E+03
 0.39441931E+00 0.41114624E+03
 0.40238729E+00 0.39547748E+03
 0.41051584E+00 0.37972260E+03
 0.41880903E+00 0.36388339E+03
 0.42726934E+00 0.34829965E+03
 0.43590093E+00 0.33341135E+03
 0.44470647E+00 0.31949982E+03
 0.45369038E+00 0.30654834E+03
 0.46285531E+00 0.29429611E+03
 0.47220579E+00 0.28245929E+03
 0.48174477E+00 0.27099005E+03
 0.49147689E+00 0.25988882E+03
 0.50140512E+00 0.24915485E+03
 0.51153439E+00 0.23878618E+03
 0.52186781E+00 0.22877986E+03
 0.53241050E+00 0.21913203E+03
 0.54316562E+00 0.20983797E+03
 0.55413854E+00 0.20089217E+03
 0.56533259E+00 0.19228854E+03
 0.57675338E+00 0.18402036E+03
 0.58840430E+00 0.17608044E+03
 0.60029107E+00 0.16846115E+03
 0.61241806E+00 0.16115453E+03
 0.62478942E+00 0.15415228E+03
 0.63741124E+00 0.14744595E+03
 0.65028751E+00 0.14102664E+03
 0.66342449E+00 0.13488310E+03
 0.67682624E+00 0.12900298E+03
 0.69049937E+00 0.12337450E+03
 0.70444804E+00 0.11798650E+03
 0.71867913E+00 0.11282832E+03
 0.73319703E+00 0.10788982E+03
 0.74800897E+00 0.10316137E+03
 0.76311934E+00 0.98633781E+02
 0.77853578E+00 0.94298309E+02
 0.79426283E+00 0.90146622E+02
 0.81030840E+00 0.86170776E+02
 0.82667732E+00 0.82363213E+02
 0.84337759E+00 0.78716713E+02
 0.86041462E+00 0.75224388E+02
 0.87779653E+00 0.71879684E+02
 0.89552867E+00 0.68676338E+02
 0.91362000E+00 0.65608459E+02
 0.93207598E+00 0.62670742E+02
 0.95090556E+00 0.59858162E+02
 0.97011465E+00 0.57165848E+02
 0.98971266E+00 0.54589088E+02
 0.10097067E+01 0.52123333E+02
 0.10301036E+01 0.49764175E+02
 0.10509136E+01 0.47507370E+02
 0.10721428E+01 0.45348808E+02
 0.10938021E+01 0.43284531E+02
 0.11158978E+01 0.41310707E+02
 0.11384410E+01 0.39423656E+02
 0.11614385E+01 0.37619816E+02
 0.11849015E+01 0.35895760E+02
 0.12088375E+01 0.34248184E+02
 0.12332582E+01 0.32673908E+02
 0.12581712E+01 0.31169865E+02
 0.12835884E+01 0.29733063E+02
 0.13095180E+01 0.28360569E+02
 0.13359727E+01 0.27049568E+02
 0.13629605E+01 0.25797369E+02
 0.13904947E+01 0.24601397E+02
 0.14185839E+01 0.23459187E+02
 0.14472418E+01 0.22368380E+02
 0.14764773E+01 0.21326719E+02
 0.15063047E+01 0.20332050E+02
 0.15367334E+01 0.19382303E+02
 0.15677782E+01 0.18475504E+02
 0.15994486E+01 0.17609760E+02
 0.16317604E+01 0.16783264E+02
 0.16647232E+01 0.15994284E+02
 0.16983536E+01 0.15241164E+02
 0.17326634E+01 0.14522321E+02
 0.17676648E+01 0.13836243E+02
 0.18033748E+01 0.13181526E+02
 0.18398044E+01 0.12556852E+02
 0.18769718E+01 0.11960948E+02
 0.19148883E+01 0.11392586E+02
 0.19535724E+01 0.10850583E+02
 0.19930363E+01 0.10333799E+02
 0.20332992E+01 0.98411388E+01
 0.20743735E+01 0.93715448E+01
 0.21162796E+01 0.89240036E+01
 0.21590302E+01 0.84975386E+01
 0.22026465E+01 0.80912123E+01
 0.22471418E+01 0.77041225E+01
 0.22925382E+01 0.73354058E+01
 0.23388493E+01 0.69842310E+01
 0.23860984E+01 0.66498022E+01
 0.24342995E+01 0.63313551E+01
