#           k/h    P           
 0.99999997E-04 0.31781958E+03
 0.10202013E-03 0.32406467E+03
 0.10408108E-03 0.33043576E+03
 0.10618366E-03 0.33693558E+03
 0.10832871E-03 0.34356693E+03
 0.11051710E-03 0.35033264E+03
 0.11274968E-03 0.35723569E+03
 0.11502737E-03 0.36427905E+03
 0.11735109E-03 0.37146585E+03
 0.11972173E-03 0.37879922E+03
 0.12214028E-03 0.38628244E+03
 0.12460767E-03 0.39391879E+03
 0.12712492E-03 0.40171176E+03
 0.12969300E-03 0.40966483E+03
 0.13231297E-03 0.41778156E+03
 0.13498588E-03 0.42606570E+03
 0.13771278E-03 0.43452106E+03
 0.14049475E-03 0.44315149E+03
 0.14333293E-03 0.45196100E+03
 0.14622846E-03 0.46095370E+03
 0.14918247E-03 0.47013382E+03
 0.15219615E-03 0.47950571E+03
 0.15527071E-03 0.48907376E+03
 0.15840739E-03 0.49884256E+03
 0.16160744E-03 0.50881680E+03
 0.16487212E-03 0.51900134E+03
 0.16820275E-03 0.52940112E+03
 0.17160067E-03 0.54002118E+03
 0.17506724E-03 0.55086682E+03
 0.17860383E-03 0.56194342E+03
 0.18221186E-03 0.57325647E+03
 0.18589280E-03 0.58481158E+03
 0.18964807E-03 0.59661462E+03
 0.19347922E-03 0.60867157E+03
 0.19738778E-03 0.62098859E+03
 0.20137527E-03 0.63357196E+03
 0.20544330E-03 0.64642816E+03
 0.20959355E-03 0.65956390E+03
 0.21382760E-03 0.67298596E+03
 0.21814722E-03 0.68670142E+03
 0.22255408E-03 0.70071735E+03
 0.22704997E-03 0.71504126E+03
 0.23163669E-03 0.72968066E+03
 0.23631606E-03 0.74464343E+03
 0.24108996E-03 0.75993750E+03
 0.24596031E-03 0.77557092E+03
 0.25092901E-03 0.79155225E+03
 0.25599814E-03 0.80788995E+03
 0.26116965E-03 0.82459290E+03
 0.26644560E-03 0.84167010E+03
 0.27182818E-03 0.85913074E+03
 0.27731949E-03 0.87698431E+03
 0.28292168E-03 0.89524048E+03
 0.28863709E-03 0.91390918E+03
 0.29446793E-03 0.93300037E+03
 0.30041661E-03 0.95252441E+03
 0.30648540E-03 0.97249176E+03
 0.31267683E-03 0.99291333E+03
 0.31899329E-03 0.10138000E+04
 0.32543740E-03 0.10351628E+04
 0.33201167E-03 0.10570132E+04
 0.33871876E-03 0.10793628E+04
 0.34556136E-03 0.11022234E+04
 0.35254212E-03 0.11256071E+04
 0.35966394E-03 0.11495259E+04
 0.36692963E-03 0.11739921E+04
 0.37434211E-03 0.11990184E+04
 0.38190430E-03 0.12246177E+04
 0.38961932E-03 0.12508029E+04
 0.39749016E-03 0.12775868E+04
 0.40552000E-03 0.13049827E+04
 0.41371203E-03 0.13330039E+04
 0.42206954E-03 0.13616642E+04
 0.43059592E-03 0.13909772E+04
 0.43929456E-03 0.14209564E+04
 0.44816890E-03 0.14516160E+04
 0.45722249E-03 0.14829696E+04
 0.46645897E-03 0.15150319E+04
 0.47588209E-03 0.15478168E+04
 0.48549555E-03 0.15813384E+04
 0.49530319E-03 0.16156111E+04
 0.50530903E-03 0.16506493E+04
 0.51551696E-03 0.16864674E+04
 0.52593107E-03 0.17230801E+04
 0.53655554E-03 0.17605015E+04
 0.54739468E-03 0.17987462E+04
 0.55845280E-03 0.18378289E+04
 0.56973431E-03 0.18777639E+04
 0.58124372E-03 0.19185659E+04
 0.59298560E-03 0.19602494E+04
 0.60496473E-03 0.20028286E+04
 0.61718578E-03 0.20463181E+04
 0.62965375E-03 0.20907324E+04
 0.64237369E-03 0.21360859E+04
 0.65535045E-03 0.21823931E+04
 0.66858943E-03 0.22296680E+04
 0.68209582E-03 0.22779248E+04
 0.69587503E-03 0.23271777E+04
 0.70993265E-03 0.23774412E+04
 0.72427420E-03 0.24287290E+04
 0.73890563E-03 0.24810557E+04
 0.75383246E-03 0.25344346E+04
 0.76906086E-03 0.25888801E+04
 0.78459689E-03 0.26444060E+04
 0.80044678E-03 0.27010261E+04
 0.81661687E-03 0.27587546E+04
 0.83311368E-03 0.28176047E+04
