#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    42   0.123536E+04   0.148562E+01  -0.428355E-03   0.148562E+01   0.599749E-01  -0.504064E-06  -0.428355E-03  -0.504064E-06   0.157361E-06
    43   0.125429E+04   0.140187E+01  -0.412469E-03   0.140187E+01   0.648646E-01  -0.578827E-06  -0.412469E-03  -0.578827E-06   0.156563E-06
    44   0.127320E+04   0.130635E+01  -0.397170E-03   0.130635E+01   0.700020E-01  -0.651186E-06  -0.397170E-03  -0.651186E-06   0.155744E-06
    45   0.129246E+04   0.119899E+01  -0.382627E-03   0.119899E+01   0.753925E-01  -0.680502E-06  -0.382627E-03  -0.680502E-06   0.154907E-06
    46   0.131198E+04   0.107791E+01  -0.368951E-03   0.107791E+01   0.810421E-01  -0.638346E-06  -0.368951E-03  -0.638346E-06   0.154054E-06
    47   0.133164E+04   0.944069E+00  -0.356015E-03   0.944069E+00   0.869458E-01  -0.545129E-06  -0.356015E-03  -0.545129E-06   0.153187E-06
    48   0.135137E+04   0.801774E+00  -0.343636E-03   0.801774E+00   0.931029E-01  -0.433472E-06  -0.343636E-03  -0.433472E-06   0.152307E-06
    49   0.137127E+04   0.654743E+00  -0.331629E-03   0.654743E+00   0.994904E-01  -0.335995E-06  -0.331629E-03  -0.335995E-06   0.151416E-06
    50   0.139156E+04   0.499910E+00  -0.319811E-03   0.499910E+00   0.106078E+00  -0.285320E-06  -0.319811E-03  -0.285320E-06   0.150515E-06
    51   0.141204E+04   0.332775E+00  -0.308048E-03   0.332775E+00   0.112834E+00  -0.304010E-06  -0.308048E-03  -0.304010E-06   0.149607E-06
    52   0.143292E+04   0.148728E+00  -0.296423E-03   0.148728E+00   0.119847E+00  -0.374398E-06  -0.296423E-03  -0.374398E-06   0.148691E-06
    53   0.145380E+04  -0.550153E-01  -0.285067E-03  -0.550153E-01   0.127272E+00  -0.468761E-06  -0.285067E-03  -0.468761E-06   0.147768E-06
    54   0.147459E+04  -0.273273E+00  -0.274114E-03  -0.273273E+00   0.135108E+00  -0.559373E-06  -0.274114E-03  -0.559373E-06   0.146840E-06
    55   0.149548E+04  -0.500748E+00  -0.263698E-03  -0.500748E+00   0.143338E+00  -0.618512E-06  -0.263698E-03  -0.618512E-06   0.145908E-06
    56   0.151670E+04  -0.738504E+00  -0.253909E-03  -0.738504E+00   0.151823E+00  -0.626861E-06  -0.253909E-03  -0.626861E-06   0.144972E-06
