#    L    TT             EE             BB             TE          
     2   0.732446E+03   0.456340E-01   0.148482E-05   0.388867E+01
     3   0.757532E+03   0.710459E-01   0.297026E-05   0.453226E+01
     4   0.754545E+03   0.764497E-01   0.495182E-05   0.438239E+01
     5   0.747205E+03   0.648402E-01   0.743032E-05   0.385458E+01
     6   0.741277E+03   0.457622E-01   0.104068E-04   0.320254E+01
     7   0.738532E+03   0.279598E-01   0.138824E-04   0.256402E+01
     8   0.738952E+03   0.158432E-01   0.178585E-04   0.201346E+01
     9   0.742263E+03   0.961866E-02   0.223366E-04   0.157916E+01
    10   0.747834E+03   0.726405E-02   0.273185E-04   0.126709E+01
    11   0.754788E+03   0.651991E-02   0.328058E-04   0.107107E+01
    12   0.763873E+03   0.605989E-02   0.388006E-04   0.975869E+00
    13   0.773705E+03   0.532254E-02   0.453048E-04   0.955185E+00
    14   0.783664E+03   0.464248E-02   0.523205E-04   0.980843E+00
    15   0.794278E+03   0.421200E-02   0.598498E-04   0.103411E+01
    16   0.806140E+03   0.410977E-02   0.678950E-04   0.110002E+01
    17   0.819268E+03   0.432259E-02   0.764583E-04   0.116600E+01
    18   0.832788E+03   0.463880E-02   0.855418E-04   0.122398E+01
    19   0.847580E+03   0.499315E-02   0.951477E-04   0.127464E+01
    20   0.862019E+03   0.542150E-02   0.105278E-03   0.131805E+01
    21   0.876512E+03   0.595055E-02   0.115936E-03   0.135734E+01
    22   0.891381E+03   0.667689E-02   0.127122E-03   0.139530E+01
    23   0.906455E+03   0.762657E-02   0.138838E-03   0.143506E+01
    24   0.921806E+03   0.877307E-02   0.151088E-03   0.147894E+01
    25   0.937423E+03   0.101215E-01   0.163871E-03   0.152571E+01
    26   0.953164E+03   0.116459E-01   0.177190E-03   0.157489E+01
    27   0.969255E+03   0.133280E-01   0.191047E-03   0.162542E+01
    28   0.985533E+03   0.151757E-01   0.205442E-03   0.167638E+01
    29   0.100205E+04   0.171780E-01   0.220377E-03   0.172271E+01
    30   0.101872E+04   0.193340E-01   0.235852E-03   0.175853E+01
    31   0.103546E+04   0.216624E-01   0.251868E-03   0.178497E+01
    32   0.105254E+04   0.241701E-01   0.268427E-03   0.180395E+01
    33   0.106996E+04   0.268456E-01   0.285527E-03   0.181384E+01
    34   0.108755E+04   0.296910E-01   0.303170E-03   0.181328E+01
    35   0.110528E+04   0.327321E-01   0.321356E-03   0.180258E+01
    36   0.112309E+04   0.360010E-01   0.340084E-03   0.178174E+01
    37   0.114099E+04   0.394993E-01   0.359353E-03   0.175159E+01
    38   0.115923E+04   0.432271E-01   0.379165E-03   0.171470E+01
    39   0.117783E+04   0.471809E-01   0.399517E-03   0.167077E+01
    40   0.119652E+04   0.513617E-01   0.420408E-03   0.161862E+01
    41   0.121544E+04   0.557765E-01   0.441839E-03   0.155691E+01
    42   0.123435E+04   0.604346E-01   0.463808E-03   0.148455E+01
    43   0.125339E+04   0.653459E-01   0.486314E-03   0.140054E+01
    44   0.127241E+04   0.705054E-01   0.509355E-03   0.130476E+01
    45   0.129178E+04   0.759185E-01   0.532931E-03   0.119718E+01
    46   0.131140E+04   0.815912E-01   0.557039E-03   0.107598E+01
    47   0.133116E+04   0.875185E-01   0.581678E-03   0.942084E+00
    48   0.135098E+04   0.936996E-01   0.606848E-03   0.799775E+00
    49   0.137097E+04   0.100112E+00   0.632546E-03   0.652733E+00
    50   0.139135E+04   0.106724E+00   0.658771E-03   0.497857E+00
    51   0.141192E+04   0.113505E+00   0.685522E-03   0.330622E+00
    52   0.143288E+04   0.120543E+00   0.712797E-03   0.146431E+00
    53   0.145384E+04   0.127994E+00   0.740596E-03  -0.574828E-01
    54   0.147470E+04   0.135856E+00   0.768916E-03  -0.275916E+00
    55   0.149567E+04   0.144112E+00   0.797757E-03  -0.503550E+00
    56   0.151696E+04   0.152623E+00   0.827119E-03  -0.741435E+00
    57   0.153850E+04   0.161278E+00   0.856999E-03  -0.989791E+00
    58   0.156032E+04   0.170081E+00   0.887399E-03  -0.124986E+01
    59   0.158230E+04   0.179064E+00   0.918316E-03  -0.152291E+01
    60   0.160446E+04   0.188275E+00   0.949752E-03  -0.180878E+01
    61   0.162711E+04   0.197804E+00   0.981705E-03  -0.210698E+01
    62   0.164966E+04   0.207642E+00   0.101418E-02  -0.241817E+01
    63   0.167232E+04   0.217755E+00   0.104717E-02  -0.274291E+01
    64   0.169537E+04   0.228158E+00   0.108067E-02  -0.308199E+01
    65   0.171842E+04   0.238834E+00   0.111470E-02  -0.343559E+01
    66   0.174177E+04   0.249719E+00   0.114925E-02  -0.380159E+01
    67   0.176524E+04   0.260815E+00   0.118432E-02  -0.417761E+01
    68   0.178911E+04   0.272159E+00   0.121991E-02  -0.456253E+01
    69   0.181315E+04   0.283710E+00   0.125603E-02  -0.495514E+01
    70   0.183747E+04   0.295508E+00   0.129267E-02  -0.535764E+01
    71   0.186193E+04   0.307539E+00   0.132984E-02  -0.577284E+01
    72   0.188656E+04   0.319777E+00   0.136754E-02  -0.620188E+01
    73   0.191134E+04   0.332190E+00   0.140578E-02  -0.664502E+01
    74   0.193632E+04   0.344765E+00   0.144455E-02  -0.710100E+01
    75   0.196162E+04   0.357515E+00   0.148385E-02  -0.756801E+01
    76   0.198721E+04   0.370441E+00   0.152370E-02  -0.804511E+01
    77   0.201313E+04   0.383537E+00   0.156409E-02  -0.853209E+01
    78   0.203938E+04   0.396832E+00   0.160502E-02  -0.903042E+01
    79   0.206578E+04   0.410275E+00   0.164650E-02  -0.953635E+01
    80   0.209242E+04   0.423871E+00   0.168853E-02  -0.100513E+02
    81   0.211917E+04   0.437573E+00   0.173112E-02  -0.105759E+02
    82   0.214613E+04   0.451402E+00   0.177427E-02  -0.111093E+02
    83   0.217325E+04   0.465333E+00   0.181797E-02  -0.116513E+02
    84   0.220063E+04   0.479363E+00   0.186225E-02  -0.122003E+02
    85   0.222814E+04   0.493465E+00   0.190708E-02  -0.127576E+02
    86   0.225588E+04   0.507651E+00   0.195249E-02  -0.133223E+02
