#    L    TT             EE             TE             PP             TP          
    73   0.191005E+04   0.330903E+00  -0.664169E+01   0.585983E+07  -0.213680E+04
    74   0.193498E+04   0.343449E+00  -0.709785E+01   0.582052E+07  -0.204416E+04
    75   0.196024E+04   0.356169E+00  -0.756504E+01   0.578130E+07  -0.195266E+04
    76   0.198578E+04   0.369065E+00  -0.804234E+01   0.574217E+07  -0.186173E+04
    77   0.201164E+04   0.382131E+00  -0.852956E+01   0.570315E+07  -0.177162E+04
    78   0.203786E+04   0.395397E+00  -0.902814E+01   0.566425E+07  -0.168279E+04
    79   0.206421E+04   0.408809E+00  -0.953434E+01   0.562550E+07  -0.159572E+04
    80   0.209080E+04   0.422376E+00  -0.100496E+02   0.558690E+07  -0.151086E+04
    81   0.211751E+04   0.436048E+00  -0.105745E+02   0.554848E+07  -0.142862E+04
    82   0.214442E+04   0.449847E+00  -0.111083E+02   0.551024E+07  -0.134918E+04
    83   0.217150E+04   0.463749E+00  -0.116507E+02   0.547220E+07  -0.127266E+04
    84   0.219884E+04   0.477748E+00  -0.122002E+02   0.543437E+07  -0.119916E+04
    85   0.222631E+04   0.491821E+00  -0.127580E+02   0.539676E+07  -0.112882E+04
    86   0.225401E+04   0.505978E+00  -0.133232E+02   0.535937E+07  -0.106167E+04
    87   0.228216E+04   0.520192E+00  -0.138950E+02   0.532222E+07  -0.997471E+03
    88   0.231029E+04   0.534480E+00  -0.144734E+02   0.528530E+07  -0.935919E+03
    89   0.233879E+04   0.548829E+00  -0.150597E+02   0.524862E+07  -0.876699E+03
    90   0.236747E+04   0.563205E+00  -0.156510E+02   0.521218E+07  -0.819501E+03
    91   0.239627E+04   0.577603E+00  -0.162480E+02   0.517599E+07  -0.764058E+03
    92   0.242532E+04   0.592010E+00  -0.168499E+02   0.514004E+07  -0.710292E+03
    93   0.245464E+04   0.606418E+00  -0.174568E+02   0.510434E+07  -0.658168E+03
    94   0.248400E+04   0.620794E+00  -0.180675E+02   0.506888E+07  -0.607652E+03
    95   0.251362E+04   0.635138E+00  -0.186826E+02   0.503367E+07  -0.558712E+03
    96   0.254322E+04   0.649436E+00  -0.193016E+02   0.499871E+07  -0.511312E+03
    97   0.257324E+04   0.663676E+00  -0.199238E+02   0.496400E+07  -0.465420E+03
    98   0.260346E+04   0.677851E+00  -0.205470E+02   0.492954E+07  -0.421002E+03
    99   0.263373E+04   0.691926E+00  -0.211744E+02   0.489532E+07  -0.378023E+03
   100   0.266428E+04   0.705901E+00  -0.218015E+02   0.486137E+07  -0.336450E+03
   101   0.269496E+04   0.719839E+00  -0.224315E+02   0.482766E+07  -0.296250E+03
   102   0.272615E+04   0.733592E+00  -0.230621E+02   0.479421E+07  -0.257388E+03
   103   0.275725E+04   0.747235E+00  -0.236942E+02   0.476101E+07  -0.219831E+03
   104   0.278857E+04   0.760770E+00  -0.243249E+02   0.472806E+07  -0.183545E+03
   105   0.282003E+04   0.774125E+00  -0.249559E+02   0.469537E+07  -0.148496E+03
   106   0.285171E+04   0.787374E+00  -0.255864E+02   0.466294E+07  -0.114650E+03
   107   0.288331E+04   0.800371E+00  -0.262150E+02   0.463077E+07  -0.819744E+02
   108   0.291529E+04   0.813192E+00  -0.268427E+02   0.459885E+07  -0.504346E+02
   109   0.294741E+04   0.825763E+00  -0.274679E+02   0.456720E+07  -0.199969E+02
   110   0.297962E+04   0.838086E+00  -0.280894E+02   0.453580E+07   0.937235E+01
   111   0.301198E+04   0.850237E+00  -0.287085E+02   0.450466E+07   0.377063E+02
   112   0.304449E+04   0.862141E+00  -0.293248E+02   0.447379E+07   0.650352E+02
   113   0.307724E+04   0.873799E+00  -0.299365E+02   0.444317E+07   0.913888E+02
   114   0.311006E+04   0.885136E+00  -0.305430E+02   0.441281E+07   0.116797E+03
   115   0.314311E+04   0.896301E+00  -0.311443E+02   0.438271E+07   0.141289E+03
   116   0.317617E+04   0.907070E+00  -0.317397E+02   0.435285E+07   0.164894E+03
   117   0.320952E+04   0.917519E+00  -0.323283E+02   0.432326E+07   0.187643E+03
   118   0.324303E+04   0.927795E+00  -0.329109E+02   0.429391E+07   0.209565E+03
   119   0.327654E+04   0.937751E+00  -0.334853E+02   0.426481E+07   0.230690E+03
   120   0.331020E+04   0.947237E+00  -0.340515E+02   0.423597E+07   0.251047E+03
   121   0.334386E+04   0.956551E+00  -0.346095E+02   0.420737E+07   0.270666E+03
   122   0.337759E+04   0.965395E+00  -0.351585E+02   0.417902E+07   0.289576E+03
   123   0.341139E+04   0.973844E+00  -0.356985E+02   0.415091E+07   0.307808E+03
   124   0.344527E+04   0.981972E+00  -0.362266E+02   0.412304E+07   0.325391E+03
   125   0.347914E+04   0.989705E+00  -0.367449E+02   0.409542E+07   0.342355E+03
   126   0.351309E+04   0.997117E+00  -0.372527E+02   0.406804E+07   0.358729E+03
   127   0.354702E+04   0.100406E+01  -0.377493E+02   0.404090E+07   0.374542E+03
   128   0.358096E+04   0.101068E+01  -0.382340E+02   0.401400E+07   0.389826E+03
   129   0.361496E+04   0.101683E+01  -0.387058E+02   0.398733E+07   0.404609E+03
   130   0.364896E+04   0.102251E+01  -0.391643E+02   0.396090E+07   0.418921E+03
   131   0.368294E+04   0.102787E+01  -0.396107E+02   0.393471E+07   0.432788E+03
   132   0.371700E+04   0.103276E+01  -0.400422E+02   0.390874E+07   0.446223E+03
   133   0.375098E+04   0.103725E+01  -0.404610E+02   0.388301E+07   0.459235E+03
