#    L    TT             EE             BB             TE          
     2   0.906492E+03   0.443701E-01   0.143481E-05   0.266473E+01
     3   0.879993E+03   0.699916E-01   0.287020E-05   0.358820E+01
     4   0.845899E+03   0.756493E-01   0.478494E-05   0.377109E+01
     5   0.817415E+03   0.642920E-01   0.717980E-05   0.350022E+01
     6   0.796710E+03   0.454349E-01   0.100557E-04   0.302126E+01
     7   0.783301E+03   0.278025E-01   0.134137E-04   0.248997E+01
     8   0.775592E+03   0.158031E-01   0.172551E-04   0.200093E+01
     9   0.772548E+03   0.964779E-02   0.215814E-04   0.159751E+01
    10   0.773193E+03   0.732337E-02   0.263939E-04   0.129573E+01
    11   0.776332E+03   0.658145E-02   0.316944E-04   0.109755E+01
    12   0.782361E+03   0.610725E-02   0.374847E-04   0.995661E+00
    13   0.789708E+03   0.534849E-02   0.437666E-04   0.967591E+00
    14   0.797622E+03   0.464727E-02   0.505419E-04   0.987253E+00
    15   0.806544E+03   0.419936E-02   0.578128E-04   0.103541E+01
    16   0.816993E+03   0.408549E-02   0.655812E-04   0.109649E+01
    17   0.828917E+03   0.429302E-02   0.738491E-04   0.115960E+01
    18   0.841383E+03   0.460999E-02   0.826186E-04   0.121811E+01
    19   0.855261E+03   0.496901E-02   0.918917E-04   0.127130E+01
    20   0.868920E+03   0.540350E-02   0.101670E-03   0.131729E+01
    21   0.882740E+03   0.593836E-02   0.111957E-03   0.135823E+01
    22   0.897020E+03   0.666891E-02   0.122752E-03   0.139649E+01
    23   0.911572E+03   0.762127E-02   0.134059E-03   0.143619E+01
    24   0.926459E+03   0.876927E-02   0.145879E-03   0.148064E+01
    25   0.941665E+03   0.101180E-01   0.158213E-03   0.152813E+01
    26   0.957047E+03   0.116413E-01   0.171064E-03   0.157747E+01
    27   0.972822E+03   0.133214E-01   0.184431E-03   0.162747E+01
    28   0.988817E+03   0.151666E-01   0.198317E-03   0.167733E+01
    29   0.100508E+04   0.171668E-01   0.212723E-03   0.172268E+01
    30   0.102151E+04   0.193218E-01   0.227649E-03   0.175826E+01
    31   0.103804E+04   0.216500E-01   0.243096E-03   0.178503E+01
    32   0.105493E+04   0.241580E-01   0.259065E-03   0.180458E+01
    33   0.107218E+04   0.268340E-01   0.275556E-03   0.181489E+01
    34   0.108961E+04   0.296796E-01   0.292570E-03   0.181435E+01
    35   0.110719E+04   0.327205E-01   0.310105E-03   0.180348E+01
    36   0.112487E+04   0.359892E-01   0.328163E-03   0.178255E+01
    37   0.114263E+04   0.394873E-01   0.346743E-03   0.175250E+01
    38   0.116076E+04   0.432151E-01   0.365845E-03   0.171594E+01
    39   0.117925E+04   0.471688E-01   0.385467E-03   0.167243E+01
    40   0.119785E+04   0.513494E-01   0.405610E-03   0.162058E+01
    41   0.121668E+04   0.557635E-01   0.426272E-03   0.155890E+01
    42   0.123551E+04   0.604206E-01   0.447453E-03   0.148637E+01
    43   0.125449E+04   0.653309E-01   0.469151E-03   0.140207E+01
    44   0.127344E+04   0.704893E-01   0.491366E-03   0.130600E+01
    45   0.129274E+04   0.759014E-01   0.514096E-03   0.119823E+01
    46   0.131231E+04   0.815735E-01   0.537340E-03   0.107701E+01
    47   0.133201E+04   0.875003E-01   0.561096E-03   0.943237E+00
    48   0.135178E+04   0.936809E-01   0.585364E-03   0.801122E+00
    49   0.137171E+04   0.100092E+00   0.610143E-03   0.654284E+00
    50   0.139205E+04   0.106704E+00   0.635430E-03   0.499556E+00
    51   0.141258E+04   0.113484E+00   0.661225E-03   0.332364E+00
    52   0.143350E+04   0.120521E+00   0.687527E-03   0.148130E+00
    53   0.145443E+04   0.127970E+00   0.714334E-03  -0.558783E-01
    54   0.147526E+04   0.135831E+00   0.741645E-03  -0.274423E+00
    55   0.149621E+04   0.144086E+00   0.769461E-03  -0.502151E+00
    56   0.151746E+04   0.152596E+00   0.797779E-03  -0.740087E+00
    57   0.153897E+04   0.161250E+00   0.826599E-03  -0.988461E+00
    58   0.156077E+04   0.170052E+00   0.855921E-03  -0.124854E+01
    59   0.158272E+04   0.179034E+00   0.885744E-03  -0.152160E+01
    60   0.160485E+04   0.188245E+00   0.916068E-03  -0.180750E+01
    61   0.162748E+04   0.197773E+00   0.946893E-03  -0.210577E+01
    62   0.165001E+04   0.207610E+00   0.978220E-03  -0.241706E+01
    63   0.167265E+04   0.217721E+00   0.101005E-02  -0.274191E+01
    64   0.169567E+04   0.228123E+00   0.104238E-02  -0.308109E+01
    65   0.171871E+04   0.238798E+00   0.107521E-02  -0.343478E+01
    66   0.174204E+04   0.249682E+00   0.110855E-02  -0.380084E+01
    67   0.176550E+04   0.260776E+00   0.114239E-02  -0.417689E+01
    68   0.178936E+04   0.272120E+00   0.117674E-02  -0.456181E+01
    69   0.181338E+04   0.283670E+00   0.121159E-02  -0.495440E+01
    70   0.183769E+04   0.295467E+00   0.124695E-02  -0.535688E+01
    71   0.186213E+04   0.307497E+00   0.128283E-02  -0.577204E+01
