#           k/h    P           
 0.28219123E-02 0.87422109E+04
 0.28789188E-02 0.88929883E+04
 0.29370766E-02 0.90453291E+04
 0.29964095E-02 0.91992207E+04
 0.30569409E-02 0.93546543E+04
 0.31186952E-02 0.95116152E+04
 0.31816978E-02 0.96700889E+04
 0.32459723E-02 0.98300566E+04
 0.33115451E-02 0.99915010E+04
 0.33784427E-02 0.10154402E+05
 0.34466919E-02 0.10318738E+05
 0.35163197E-02 0.10484485E+05
 0.35873537E-02 0.10651616E+05
 0.36598232E-02 0.10820103E+05
 0.37337563E-02 0.10989914E+05
 0.38091831E-02 0.11161021E+05
 0.38861334E-02 0.11333388E+05
 0.39646388E-02 0.11506980E+05
 0.40447293E-02 0.11681762E+05
 0.41264393E-02 0.11857692E+05
 0.42097992E-02 0.12034732E+05
 0.42948425E-02 0.12212832E+05
 0.43816040E-02 0.12391937E+05
 0.44701183E-02 0.12571993E+05
 0.45604203E-02 0.12752943E+05
 0.46525472E-02 0.12934729E+05
 0.47465344E-02 0.13117289E+05
 0.48424210E-02 0.13300565E+05
 0.49402444E-02 0.13484495E+05
 0.50400435E-02 0.13669013E+05
 0.51418589E-02 0.13854054E+05
 0.52457317E-02 0.14039559E+05
 0.53517036E-02 0.14225467E+05
 0.54598148E-02 0.14411719E+05
 0.55701104E-02 0.14598251E+05
 0.56826337E-02 0.14784989E+05
 0.57974309E-02 0.14971825E+05
 0.59145465E-02 0.15158643E+05
 0.60340283E-02 0.15345321E+05
 0.61559235E-02 0.15531737E+05
 0.62802811E-02 0.15717771E+05
 0.64071510E-02 0.15903325E+05
 0.65365843E-02 0.16088309E+05
 0.66686315E-02 0.16272623E+05
 0.68033468E-02 0.16456172E+05
 0.69407835E-02 0.16638852E+05
 0.70809964E-02 0.16820535E+05
 0.72240415E-02 0.17001094E+05
 0.73699774E-02 0.17180395E+05
 0.75188605E-02 0.17358303E+05
 0.76707508E-02 0.17534680E+05
 0.78257136E-02 0.17709381E+05
 0.79838037E-02 0.17882264E+05
 0.81450874E-02 0.18053178E+05
 0.83096288E-02 0.18221975E+05
 0.84774951E-02 0.18388498E+05
 0.86487513E-02 0.18552590E+05
 0.88234674E-02 0.18714084E+05
 0.90017123E-02 0.18872818E+05
 0.91835596E-02 0.19028625E+05
 0.93690790E-02 0.19181334E+05
 0.95583471E-02 0.19330764E+05
 0.97514391E-02 0.19476732E+05
 0.99484306E-02 0.19619061E+05
 0.10149402E-01 0.19757561E+05
 0.10354433E-01 0.19892049E+05
 0.10563606E-01 0.20022328E+05
 0.10777006E-01 0.20148207E+05
