#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105040E-04   0.163174E+08   0.163174E+08   0.217430E+08   0.217426E+08   0.163195E+08   0.163174E+08   0.163174E+08   0.163237E+08  -0.478595E+00   0.106907E+08   0.106907E+08   0.572438E+01
   0.116035E-04   0.163177E+08   0.163177E+08   0.217404E+08   0.217400E+08   0.163198E+08   0.163177E+08   0.163177E+08   0.163241E+08  -0.478604E+00   0.106908E+08   0.106908E+08   0.632336E+01
   0.128180E-04   0.163181E+08   0.163181E+08   0.217374E+08   0.217368E+08   0.163202E+08   0.163181E+08   0.163181E+08   0.163245E+08  -0.478616E+00   0.106909E+08   0.106909E+08   0.698496E+01
   0.141597E-04   0.163186E+08   0.163186E+08   0.217336E+08   0.217329E+08   0.163207E+08   0.163186E+08   0.163186E+08   0.163250E+08  -0.478631E+00   0.106910E+08   0.106910E+08   0.771572E+01
   0.156418E-04   0.163192E+08   0.163192E+08   0.217290E+08   0.217282E+08   0.163213E+08   0.163192E+08   0.163192E+08   0.163256E+08  -0.478648E+00   0.106911E+08   0.106911E+08   0.852285E+01
   0.172790E-04   0.163199E+08   0.163199E+08   0.217234E+08   0.217224E+08   0.163220E+08   0.163200E+08   0.163199E+08   0.163263E+08  -0.478670E+00   0.106913E+08   0.106913E+08   0.941429E+01
   0.190876E-04   0.163208E+08   0.163208E+08   0.217165E+08   0.217153E+08   0.163229E+08   0.163209E+08   0.163208E+08   0.163272E+08  -0.478696E+00   0.106915E+08   0.106915E+08   0.103988E+02
   0.210855E-04   0.163219E+08   0.163219E+08   0.217082E+08   0.217067E+08   0.163240E+08   0.163220E+08   0.163219E+08   0.163283E+08  -0.478728E+00   0.106917E+08   0.106917E+08   0.114861E+02
   0.232925E-04   0.163233E+08   0.163233E+08   0.216980E+08   0.216961E+08   0.163253E+08   0.163233E+08   0.163233E+08   0.163296E+08  -0.478767E+00   0.106920E+08   0.106920E+08   0.126868E+02
   0.257305E-04   0.163249E+08   0.163249E+08   0.216855E+08   0.216833E+08   0.163269E+08   0.163249E+08   0.163249E+08   0.163313E+08  -0.478815E+00   0.106924E+08   0.106924E+08   0.140126E+02
   0.284237E-04   0.163269E+08   0.163269E+08   0.216704E+08   0.216677E+08   0.163288E+08   0.163269E+08   0.163269E+08   0.163333E+08  -0.478873E+00   0.106928E+08   0.106928E+08   0.154764E+02
   0.313988E-04   0.163293E+08   0.163293E+08   0.216519E+08   0.216486E+08   0.163312E+08   0.163293E+08   0.163293E+08   0.163357E+08  -0.478944E+00   0.106933E+08   0.106933E+08   0.170925E+02
