#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.732443E+03   0.456325E-01   0.000000E+00   0.388867E+01   0.680555E-07  -0.702687E-04  -0.162938E-04
     3   0.757525E+03   0.710429E-01   0.000000E+00   0.453226E+01   0.815834E-07  -0.238266E-03  -0.191415E-04
     4   0.754534E+03   0.764448E-01   0.000000E+00   0.438239E+01   0.927191E-07  -0.329892E-03  -0.187054E-04
     5   0.747188E+03   0.648327E-01   0.000000E+00   0.385458E+01   0.102100E-06  -0.383341E-03  -0.160198E-04
     6   0.741254E+03   0.457517E-01   0.000000E+00   0.320254E+01   0.110055E-06  -0.414159E-03  -0.120536E-04
     7   0.738501E+03   0.279459E-01   0.000000E+00   0.256402E+01   0.116871E-06  -0.430349E-03  -0.767385E-05
     8   0.738912E+03   0.158253E-01   0.000000E+00   0.201346E+01   0.122747E-06  -0.440968E-03  -0.356202E-05
     9   0.742214E+03   0.959632E-02   0.000000E+00   0.157916E+01   0.127844E-06  -0.450450E-03  -0.244051E-06
    10   0.747774E+03   0.723674E-02   0.000000E+00   0.126710E+01   0.132264E-06  -0.456510E-03   0.193620E-05
    11   0.754717E+03   0.648711E-02   0.000000E+00   0.107109E+01   0.136137E-06  -0.456130E-03   0.291549E-05
    12   0.763789E+03   0.602110E-02   0.000000E+00   0.975889E+00   0.139502E-06  -0.449785E-03   0.291301E-05
    13   0.773607E+03   0.527724E-02   0.000000E+00   0.955211E+00   0.142420E-06  -0.439466E-03   0.223432E-05
    14   0.783552E+03   0.459017E-02   0.000000E+00   0.980878E+00   0.144964E-06  -0.427159E-03   0.116431E-05
    15   0.794151E+03   0.415217E-02   0.000000E+00   0.103416E+01   0.147173E-06  -0.414276E-03  -0.860720E-07
    16   0.805996E+03   0.404190E-02   0.000000E+00   0.110007E+01   0.149082E-06  -0.401848E-03  -0.131077E-05
    17   0.819107E+03   0.424616E-02   0.000000E+00   0.116607E+01   0.150729E-06  -0.389962E-03  -0.224086E-05
    18   0.832609E+03   0.455330E-02   0.000000E+00   0.122407E+01   0.152147E-06  -0.378435E-03  -0.266446E-05
    19   0.847383E+03   0.489806E-02   0.000000E+00   0.127475E+01   0.153348E-06  -0.366909E-03  -0.264847E-05
    20   0.861803E+03   0.531629E-02   0.000000E+00   0.131818E+01   0.154348E-06  -0.355106E-03  -0.233574E-05
    21   0.876275E+03   0.583470E-02   0.000000E+00   0.135750E+01   0.155171E-06  -0.343212E-03  -0.190417E-05
    22   0.891124E+03   0.654989E-02   0.000000E+00   0.139549E+01   0.155844E-06  -0.331503E-03  -0.150130E-05
    23   0.906176E+03   0.748789E-02   0.000000E+00   0.143528E+01   0.156378E-06  -0.320144E-03  -0.112479E-05
    24   0.921505E+03   0.862218E-02   0.000000E+00   0.147920E+01   0.156780E-06  -0.309193E-03  -0.759865E-06
    25   0.937100E+03   0.995790E-02   0.000000E+00   0.152601E+01   0.157065E-06  -0.298395E-03  -0.489174E-06
    26   0.952818E+03   0.114690E-01   0.000000E+00   0.157524E+01   0.157246E-06  -0.287476E-03  -0.400564E-06
    27   0.968886E+03   0.131373E-01   0.000000E+00   0.162582E+01   0.157334E-06  -0.276380E-03  -0.507985E-06
    28   0.985140E+03   0.149707E-01   0.000000E+00   0.167683E+01   0.157336E-06  -0.265167E-03  -0.780140E-06
    29   0.100163E+04   0.169582E-01   0.000000E+00   0.172321E+01   0.157252E-06  -0.254140E-03  -0.107820E-05
    30   0.101828E+04   0.190989E-01   0.000000E+00   0.175910E+01   0.157084E-06  -0.243543E-03  -0.126709E-05
    31   0.103499E+04   0.214114E-01   0.000000E+00   0.178560E+01   0.156844E-06  -0.233159E-03  -0.133103E-05
    32   0.105205E+04   0.239027E-01   0.000000E+00   0.180466E+01   0.156547E-06  -0.222739E-03  -0.129498E-05
    33   0.106944E+04   0.265614E-01   0.000000E+00   0.181463E+01   0.156195E-06  -0.212359E-03  -0.122829E-05
