#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.906489E+03   0.266473E+01   0.300224E-02   0.266473E+01   0.443686E-01  -0.147889E-04   0.300224E-02  -0.147889E-04   0.544033E-07
     3   0.879987E+03   0.358820E+01   0.272953E-02   0.358820E+01   0.699888E-01  -0.179032E-04   0.272953E-02  -0.179032E-04   0.663057E-07
     4   0.845889E+03   0.377109E+01   0.249268E-02   0.377109E+01   0.756445E-01  -0.176720E-04   0.249268E-02  -0.176720E-04   0.762885E-07
     5   0.817400E+03   0.350022E+01   0.229279E-02   0.350022E+01   0.642849E-01  -0.151383E-04   0.229279E-02  -0.151383E-04   0.848241E-07
     6   0.796689E+03   0.302126E+01   0.212362E-02   0.302126E+01   0.454249E-01  -0.112836E-04   0.212362E-02  -0.112836E-04   0.921688E-07
     7   0.783273E+03   0.248997E+01   0.197952E-02   0.248997E+01   0.277891E-01  -0.698603E-05   0.197952E-02  -0.698603E-05   0.985491E-07
     8   0.775555E+03   0.200093E+01   0.185118E-02   0.200093E+01   0.157859E-01  -0.293992E-05   0.185118E-02  -0.293992E-05   0.104126E-06
     9   0.772502E+03   0.159752E+01   0.173329E-02   0.159752E+01   0.962621E-02   0.324658E-06   0.173329E-02   0.324658E-06   0.109031E-06
    10   0.773137E+03   0.129574E+01   0.162664E-02   0.129574E+01   0.729698E-02   0.246503E-05   0.162664E-02   0.246503E-05   0.113345E-06
    11   0.776265E+03   0.109757E+01   0.153402E-02   0.109757E+01   0.654975E-02   0.341543E-05   0.153402E-02   0.341543E-05   0.117178E-06
    12   0.782282E+03   0.995679E+00   0.145378E-02   0.995679E+00   0.606977E-02   0.338731E-05   0.145378E-02   0.338731E-05   0.120559E-06
    13   0.789616E+03   0.967616E+00   0.138326E-02   0.967616E+00   0.530473E-02   0.267993E-05   0.138326E-02   0.267993E-05   0.123541E-06
    14   0.797517E+03   0.987286E+00   0.131998E-02   0.987286E+00   0.459674E-02   0.158205E-05   0.131998E-02   0.158205E-05   0.126183E-06
    15   0.806424E+03   0.103545E+01   0.126198E-02   0.103545E+01   0.414156E-02   0.307821E-06   0.126198E-02   0.307821E-06   0.128520E-06
    16   0.816858E+03   0.109655E+01   0.120775E-02   0.109655E+01   0.401993E-02  -0.933771E-06   0.120775E-02  -0.933771E-06   0.130582E-06
    17   0.828766E+03   0.115966E+01   0.115703E-02   0.115966E+01   0.421920E-02  -0.187997E-05   0.115703E-02  -0.187997E-05   0.132402E-06
    18   0.841216E+03   0.121820E+01   0.110980E-02   0.121820E+01   0.452741E-02  -0.232277E-05   0.110980E-02  -0.232277E-05   0.134006E-06
    19   0.855076E+03   0.127140E+01   0.106592E-02   0.127140E+01   0.487717E-02  -0.232694E-05   0.106592E-02  -0.232694E-05   0.135408E-06
    20   0.868716E+03   0.131742E+01   0.102515E-02   0.131742E+01   0.530190E-02  -0.203394E-05   0.102515E-02  -0.203394E-05   0.136619E-06
    21   0.882518E+03   0.135838E+01   0.987119E-03   0.135838E+01   0.582649E-02  -0.161911E-05   0.987119E-03  -0.161911E-05   0.137663E-06
    22   0.896778E+03   0.139667E+01   0.951423E-03   0.139667E+01   0.654627E-02  -0.122953E-05   0.951423E-03  -0.122953E-05   0.138561E-06
    23   0.911311E+03   0.143640E+01   0.917821E-03   0.143640E+01   0.748736E-02  -0.865243E-06   0.917821E-03  -0.865243E-06   0.139325E-06
    24   0.926176E+03   0.148088E+01   0.886189E-03   0.148088E+01   0.862359E-02  -0.513166E-06   0.886189E-03  -0.513166E-06   0.139961E-06
    25   0.941362E+03   0.152841E+01   0.856728E-03   0.152841E+01   0.996000E-02  -0.254867E-06   0.856728E-03  -0.254867E-06   0.140482E-06
    26   0.956721E+03   0.157779E+01   0.829624E-03   0.157779E+01   0.114705E-01  -0.177220E-06   0.829624E-03  -0.177220E-06   0.140901E-06
    27   0.972474E+03   0.162784E+01   0.804690E-03   0.162784E+01   0.131373E-01  -0.293685E-06   0.804690E-03  -0.293685E-06   0.141225E-06
    28   0.988447E+03   0.167774E+01   0.781586E-03   0.167774E+01   0.149688E-01  -0.572905E-06   0.781586E-03  -0.572905E-06   0.141464E-06
    29   0.100468E+04   0.172315E+01   0.759753E-03   0.172315E+01   0.169547E-01  -0.877670E-06   0.759753E-03  -0.877670E-06   0.141617E-06
    30   0.102110E+04   0.175879E+01   0.738729E-03   0.175879E+01   0.190949E-01  -0.107387E-05   0.738729E-03  -0.107387E-05   0.141685E-06
    31   0.103760E+04   0.178562E+01   0.718656E-03   0.178562E+01   0.214078E-01  -0.114562E-05   0.718656E-03  -0.114562E-05   0.141680E-06
    32   0.105446E+04   0.180523E+01   0.699750E-03   0.180523E+01   0.239000E-01  -0.111759E-05   0.699750E-03  -0.111759E-05   0.141614E-06
    33   0.107169E+04   0.181562E+01   0.681908E-03   0.181562E+01   0.265597E-01  -0.105837E-05   0.681908E-03  -0.105837E-05   0.141492E-06
    34   0.108909E+04   0.181515E+01   0.664900E-03   0.181515E+01   0.293885E-01  -0.102707E-05   0.664900E-03  -0.102707E-05   0.141316E-06
    35   0.110665E+04   0.180436E+01   0.648294E-03   0.180436E+01   0.324122E-01  -0.100088E-05   0.648294E-03  -0.100088E-05   0.141089E-06
    36   0.112430E+04   0.178351E+01   0.631780E-03   0.178351E+01   0.356631E-01  -0.940607E-06   0.631780E-03  -0.940607E-06   0.140816E-06
    37   0.114204E+04   0.175355E+01   0.615727E-03   0.175355E+01   0.391431E-01  -0.823331E-06   0.615727E-03  -0.823331E-06   0.140501E-06
    38   0.116014E+04   0.171708E+01   0.600583E-03   0.171708E+01   0.428521E-01  -0.644141E-06   0.600583E-03  -0.644141E-06   0.140147E-06
    39   0.117860E+04   0.167367E+01   0.586437E-03   0.167367E+01   0.467867E-01  -0.453855E-06   0.586437E-03  -0.453855E-06   0.139757E-06
    40   0.119717E+04   0.162191E+01   0.573287E-03   0.162191E+01   0.509476E-01  -0.317222E-06   0.573287E-03  -0.317222E-06   0.139332E-06
    41   0.121598E+04   0.156034E+01   0.561097E-03   0.156034E+01   0.553417E-01  -0.281475E-06   0.561097E-03  -0.281475E-06   0.138874E-06
    42   0.123478E+04   0.148790E+01   0.549692E-03   0.148790E+01   0.599783E-01  -0.323788E-06   0.549692E-03  -0.323788E-06   0.138387E-06
    43   0.125373E+04   0.140371E+01   0.538860E-03   0.140371E+01   0.648676E-01  -0.403817E-06   0.538860E-03  -0.403817E-06   0.137871E-06
    44   0.127266E+04   0.130775E+01   0.528390E-03   0.130775E+01   0.700046E-01  -0.481222E-06   0.528390E-03  -0.481222E-06   0.137330E-06
    45   0.129193E+04   0.120009E+01   0.518073E-03   0.120009E+01   0.753950E-01  -0.515659E-06   0.518073E-03  -0.515659E-06   0.136765E-06
    46   0.131147E+04   0.107898E+01   0.507757E-03   0.107898E+01   0.810448E-01  -0.478920E-06   0.507757E-03  -0.478920E-06   0.136180E-06
    47   0.133114E+04   0.945322E+00   0.497534E-03   0.945322E+00   0.869489E-01  -0.391331E-06   0.497534E-03  -0.391331E-06   0.135577E-06
    48   0.135088E+04   0.803321E+00   0.487556E-03   0.803321E+00   0.931066E-01  -0.285349E-06   0.487556E-03  -0.285349E-06   0.134955E-06
