#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    49   0.137079E+04   0.656595E+00   0.477973E-03   0.656595E+00   0.994946E-01  -0.193434E-06   0.477973E-03  -0.193434E-06   0.134318E-06
    50   0.139109E+04   0.501979E+00   0.468939E-03   0.501979E+00   0.106082E+00  -0.148044E-06   0.468939E-03  -0.148044E-06   0.133666E-06
    51   0.141159E+04   0.334898E+00   0.460551E-03   0.334898E+00   0.112838E+00  -0.171612E-06   0.460551E-03  -0.171612E-06   0.133002E-06
    52   0.143249E+04   0.150772E+00   0.452703E-03   0.150772E+00   0.119851E+00  -0.246477E-06   0.452703E-03  -0.246477E-06   0.132326E-06
    53   0.145338E+04  -0.531292E-01   0.445235E-03  -0.531292E-01   0.127275E+00  -0.344949E-06   0.445235E-03  -0.344949E-06   0.131638E-06
    54   0.147419E+04  -0.271571E+00   0.437988E-03  -0.271571E+00   0.135111E+00  -0.439340E-06   0.437988E-03  -0.439340E-06   0.130942E-06
    55   0.149510E+04  -0.499199E+00   0.430803E-03  -0.499199E+00   0.143340E+00  -0.501963E-06   0.430803E-03  -0.501963E-06   0.130236E-06
    56   0.151632E+04  -0.737041E+00   0.423563E-03  -0.737041E+00   0.151825E+00  -0.513537E-06   0.423563E-03  -0.513537E-06   0.129522E-06
    57   0.153780E+04  -0.985326E+00   0.416325E-03  -0.985326E+00   0.160453E+00  -0.488415E-06   0.416325E-03  -0.488415E-06   0.128800E-06
    58   0.155957E+04  -0.124532E+01   0.409189E-03  -0.124532E+01   0.169228E+00  -0.449357E-06   0.409189E-03  -0.449357E-06   0.128072E-06
    59   0.158149E+04  -0.151830E+01   0.402255E-03  -0.151830E+01   0.178184E+00  -0.419124E-06   0.402255E-03  -0.419124E-06   0.127337E-06
    60   0.160359E+04  -0.180414E+01   0.395623E-03  -0.180414E+01   0.187368E+00  -0.420475E-06   0.395623E-03  -0.420475E-06   0.126596E-06
    61   0.162619E+04  -0.210235E+01   0.389367E-03  -0.210235E+01   0.196869E+00  -0.469601E-06   0.389367E-03  -0.469601E-06   0.125849E-06
    62   0.164868E+04  -0.241359E+01   0.383455E-03  -0.241359E+01   0.206678E+00  -0.556414E-06   0.383455E-03  -0.556414E-06   0.125098E-06
    63   0.167129E+04  -0.273840E+01   0.377832E-03  -0.273840E+01   0.216762E+00  -0.664256E-06   0.377832E-03  -0.664256E-06   0.124343E-06
    64   0.169428E+04  -0.307756E+01   0.372439E-03  -0.307756E+01   0.227137E+00  -0.776470E-06   0.372439E-03  -0.776470E-06   0.123586E-06
    65   0.171729E+04  -0.343123E+01   0.367221E-03  -0.343123E+01   0.237784E+00  -0.876398E-06   0.367221E-03  -0.876398E-06   0.122826E-06
    66   0.174059E+04  -0.379729E+01   0.362128E-03  -0.379729E+01   0.248640E+00  -0.950462E-06   0.362128E-03  -0.950462E-06   0.122066E-06
    67   0.176401E+04  -0.417335E+01   0.357141E-03  -0.417335E+01   0.259706E+00  -0.997406E-06   0.357141E-03  -0.997406E-06   0.121306E-06
    68   0.178784E+04  -0.455830E+01   0.352250E-03  -0.455830E+01   0.271021E+00  -0.101905E-05   0.352250E-03  -0.101905E-05   0.120545E-06
    69   0.181183E+04  -0.495094E+01   0.347444E-03  -0.495094E+01   0.282543E+00  -0.101723E-05   0.347444E-03  -0.101723E-05   0.119785E-06
    70   0.183610E+04  -0.535348E+01   0.342712E-03  -0.535348E+01   0.294311E+00  -0.993748E-06   0.342712E-03  -0.993748E-06   0.119025E-06
    71   0.186051E+04  -0.576872E+01   0.338051E-03  -0.576872E+01   0.306312E+00  -0.951349E-06   0.338051E-03  -0.951349E-06   0.118267E-06
    72   0.188510E+04  -0.619783E+01   0.333490E-03  -0.619783E+01   0.318521E+00  -0.896377E-06   0.333490E-03  -0.896377E-06   0.117509E-06
    73   0.190983E+04  -0.664104E+01   0.329064E-03  -0.664104E+01   0.330904E+00  -0.836089E-06   0.329064E-03  -0.836089E-06   0.116753E-06
    74   0.193477E+04  -0.709714E+01   0.324808E-03  -0.709714E+01   0.343450E+00  -0.777738E-06   0.324808E-03  -0.777738E-06   0.115998E-06
    75   0.196003E+04  -0.756428E+01   0.320758E-03  -0.756428E+01   0.356170E+00  -0.728580E-06   0.320758E-03  -0.728580E-06   0.115243E-06
    76   0.198558E+04  -0.804155E+01   0.316938E-03  -0.804155E+01   0.369067E+00  -0.693860E-06   0.316938E-03  -0.693860E-06   0.114490E-06
    77   0.201145E+04  -0.852875E+01   0.313325E-03  -0.852875E+01   0.382133E+00  -0.670793E-06   0.313325E-03  -0.670793E-06   0.113738E-06
    78   0.203767E+04  -0.902732E+01   0.309882E-03  -0.902732E+01   0.395398E+00  -0.654582E-06   0.309882E-03  -0.654582E-06   0.112988E-06
    79   0.206403E+04  -0.953352E+01   0.306574E-03  -0.953352E+01   0.408811E+00  -0.640433E-06   0.306574E-03  -0.640433E-06   0.112239E-06
    80   0.209063E+04  -0.100488E+02   0.303365E-03  -0.100488E+02   0.422377E+00  -0.623551E-06   0.303365E-03  -0.623551E-06   0.111493E-06
    81   0.211734E+04  -0.105737E+02   0.300224E-03  -0.105737E+02   0.436049E+00  -0.600435E-06   0.300224E-03  -0.600435E-06   0.110750E-06
    82   0.214427E+04  -0.111074E+02   0.297132E-03  -0.111074E+02   0.449849E+00  -0.572767E-06   0.297132E-03  -0.572767E-06   0.110010E-06
    83   0.217135E+04  -0.116499E+02   0.294075E-03  -0.116499E+02   0.463750E+00  -0.543522E-06   0.294075E-03  -0.543522E-06   0.109273E-06
    84   0.219869E+04  -0.121993E+02   0.291042E-03  -0.121993E+02   0.477750E+00  -0.515678E-06   0.291042E-03  -0.515678E-06   0.108540E-06
    85   0.222617E+04  -0.127571E+02   0.288016E-03  -0.127571E+02   0.491823E+00  -0.492211E-06   0.288016E-03  -0.492211E-06   0.107810E-06
    86   0.225387E+04  -0.133223E+02   0.284990E-03  -0.133223E+02   0.505980E+00  -0.475436E-06   0.284990E-03  -0.475436E-06   0.107084E-06
    87   0.228203E+04  -0.138941E+02   0.281971E-03  -0.138941E+02   0.520194E+00  -0.465018E-06   0.281971E-03  -0.465018E-06   0.106362E-06
    88   0.231017E+04  -0.144725E+02   0.278971E-03  -0.144725E+02   0.534481E+00  -0.459963E-06   0.278971E-03  -0.459963E-06   0.105645E-06
    89   0.233867E+04  -0.150588E+02   0.276003E-03  -0.150588E+02   0.548831E+00  -0.459275E-06   0.276003E-03  -0.459275E-06   0.104931E-06
    90   0.236735E+04  -0.156501E+02   0.273078E-03  -0.156501E+02   0.563207E+00  -0.461960E-06   0.273078E-03  -0.461960E-06   0.104222E-06
    91   0.239615E+04  -0.162470E+02   0.270208E-03  -0.162470E+02   0.577605E+00  -0.467160E-06   0.270208E-03  -0.467160E-06   0.103516E-06
    92   0.242521E+04  -0.168490E+02   0.267392E-03  -0.168490E+02   0.592011E+00  -0.474576E-06   0.267392E-03  -0.474576E-06   0.102816E-06
    93   0.245453E+04  -0.174559E+02   0.264629E-03  -0.174559E+02   0.606420E+00  -0.484047E-06   0.264629E-03  -0.484047E-06   0.102119E-06
    94   0.248390E+04  -0.180666E+02   0.261917E-03  -0.180666E+02   0.620795E+00  -0.495413E-06   0.261917E-03  -0.495413E-06   0.101427E-06
    95   0.251353E+04  -0.186818E+02   0.259255E-03  -0.186818E+02   0.635139E+00  -0.508512E-06   0.259255E-03  -0.508512E-06   0.100739E-06
    96   0.254313E+04  -0.193008E+02   0.256641E-03  -0.193008E+02   0.649437E+00  -0.523183E-06   0.256641E-03  -0.523183E-06   0.100056E-06
    97   0.257315E+04  -0.199230E+02   0.254074E-03  -0.199230E+02   0.663677E+00  -0.539266E-06   0.254074E-03  -0.539266E-06   0.993775E-07
    98   0.260337E+04  -0.205463E+02   0.251551E-03  -0.205463E+02   0.677852E+00  -0.556600E-06   0.251551E-03  -0.556600E-06   0.987033E-07
    99   0.263364E+04  -0.211737E+02   0.249071E-03  -0.211737E+02   0.691927E+00  -0.575023E-06   0.249071E-03  -0.575023E-06   0.980337E-07
   100   0.266420E+04  -0.218008E+02   0.246633E-03  -0.218008E+02   0.705903E+00  -0.594376E-06   0.246633E-03  -0.594376E-06   0.973686E-07
   101   0.269488E+04  -0.224308E+02   0.244234E-03  -0.224308E+02   0.719840E+00  -0.614497E-06   0.244234E-03  -0.614497E-06   0.967081E-07
   102   0.272607E+04  -0.230614E+02   0.241874E-03  -0.230614E+02   0.733593E+00  -0.635225E-06   0.241874E-03  -0.635225E-06   0.960522E-07
   103   0.275718E+04  -0.236936E+02   0.239551E-03  -0.236936E+02   0.747236E+00  -0.656399E-06   0.239551E-03  -0.656399E-06   0.954010E-07
   104   0.278850E+04  -0.243243E+02   0.237262E-03  -0.243243E+02   0.760771E+00  -0.677860E-06   0.237262E-03  -0.677860E-06   0.947544E-07
   105   0.281996E+04  -0.249553E+02   0.235007E-03  -0.249553E+02   0.774126E+00  -0.699444E-06   0.235007E-03  -0.699444E-06   0.941126E-07
   106   0.285164E+04  -0.255858E+02   0.232783E-03  -0.255858E+02   0.787375E+00  -0.720993E-06   0.232783E-03  -0.720993E-06   0.934756E-07
   107   0.288324E+04  -0.262145E+02   0.230590E-03  -0.262145E+02   0.800372E+00  -0.742345E-06   0.230590E-03  -0.742345E-06   0.928433E-07
   108   0.291522E+04  -0.268422E+02   0.228425E-03  -0.268422E+02   0.813192E+00  -0.763339E-06   0.228425E-03  -0.763339E-06   0.922158E-07
   109   0.294734E+04  -0.274675E+02   0.226286E-03  -0.274675E+02   0.825763E+00  -0.783814E-06   0.226286E-03  -0.783814E-06   0.915932E-07
   110   0.297955E+04  -0.280889E+02   0.224173E-03  -0.280889E+02   0.838087E+00  -0.803609E-06   0.224173E-03  -0.803609E-06   0.909754E-07
   111   0.301191E+04  -0.287081E+02   0.222084E-03  -0.287081E+02   0.850237E+00  -0.822584E-06   0.222084E-03  -0.822584E-06   0.903626E-07
   112   0.304443E+04  -0.293244E+02   0.220018E-03  -0.293244E+02   0.862142E+00  -0.840677E-06   0.220018E-03  -0.840677E-06   0.897546E-07
   113   0.307718E+04  -0.299361E+02   0.217976E-03  -0.299361E+02   0.873800E+00  -0.857846E-06   0.217976E-03  -0.857846E-06   0.891515E-07
   114   0.311000E+04  -0.305427E+02   0.215958E-03  -0.305427E+02   0.885136E+00  -0.874050E-06   0.215958E-03  -0.874050E-06   0.885532E-07
   115   0.314306E+04  -0.311440E+02   0.213963E-03  -0.311440E+02   0.896301E+00  -0.889247E-06   0.213963E-03  -0.889247E-06   0.879597E-07
   116   0.317611E+04  -0.317394E+02   0.211993E-03  -0.317394E+02   0.907071E+00  -0.903395E-06   0.211993E-03  -0.903395E-06   0.873711E-07
   117   0.320947E+04  -0.323280E+02   0.210046E-03  -0.323280E+02   0.917520E+00  -0.916453E-06   0.210046E-03  -0.916453E-06   0.867872E-07
   118   0.324298E+04  -0.329106E+02   0.208124E-03  -0.329106E+02   0.927796E+00  -0.928379E-06   0.208124E-03  -0.928379E-06   0.862081E-07
   119   0.327649E+04  -0.334851E+02   0.206225E-03  -0.334851E+02   0.937751E+00  -0.939131E-06   0.206225E-03  -0.939131E-06   0.856337E-07
   120   0.331015E+04  -0.340513E+02   0.204351E-03  -0.340513E+02   0.947238E+00  -0.948669E-06   0.204351E-03  -0.948669E-06   0.850641E-07
   121   0.334381E+04  -0.346093E+02   0.202500E-03  -0.346093E+02   0.956551E+00  -0.956949E-06   0.202500E-03  -0.956949E-06   0.844992E-07
   122   0.337754E+04  -0.351583E+02   0.200675E-03  -0.351583E+02   0.965396E+00  -0.963931E-06   0.200675E-03  -0.963931E-06   0.839390E-07
   123   0.341134E+04  -0.356983E+02   0.198873E-03  -0.356983E+02   0.973845E+00  -0.969573E-06   0.198873E-03  -0.969573E-06   0.833835E-07
   124   0.344522E+04  -0.362264E+02   0.197096E-03  -0.362264E+02   0.981973E+00  -0.973833E-06   0.197096E-03  -0.973833E-06   0.828326E-07
   125   0.347910E+04  -0.367447E+02   0.195343E-03  -0.367447E+02   0.989705E+00  -0.976670E-06   0.195343E-03  -0.976670E-06   0.822863E-07
   126   0.351304E+04  -0.372525E+02   0.193615E-03  -0.372525E+02   0.997117E+00  -0.978042E-06   0.193615E-03  -0.978042E-06   0.817447E-07
   127   0.354698E+04  -0.377491E+02   0.191912E-03  -0.377491E+02   0.100406E+01  -0.977908E-06   0.191912E-03  -0.977908E-06   0.812077E-07
   128   0.358092E+04  -0.382338E+02   0.190234E-03  -0.382338E+02   0.101068E+01  -0.976225E-06   0.190234E-03  -0.976225E-06   0.806752E-07
   129   0.361492E+04  -0.387057E+02   0.188580E-03  -0.387057E+02   0.101683E+01  -0.972952E-06   0.188580E-03  -0.972952E-06   0.801473E-07
   130   0.364892E+04  -0.391641E+02   0.186951E-03  -0.391641E+02   0.102251E+01  -0.968048E-06   0.186951E-03  -0.968048E-06   0.796240E-07
   131   0.368290E+04  -0.396105E+02   0.185347E-03  -0.396105E+02   0.102787E+01  -0.961502E-06   0.185347E-03  -0.961502E-06   0.791052E-07
   132   0.371696E+04  -0.400420E+02   0.183767E-03  -0.400420E+02   0.103276E+01  -0.953432E-06   0.183767E-03  -0.953432E-06   0.785908E-07
   133   0.375094E+04  -0.404608E+02   0.182211E-03  -0.404608E+02   0.103725E+01  -0.943986E-06   0.182211E-03  -0.943986E-06   0.780809E-07
   134   0.378491E+04  -0.408625E+02   0.180678E-03  -0.408625E+02   0.104135E+01  -0.933312E-06   0.180678E-03  -0.933312E-06   0.775755E-07
   135   0.381888E+04  -0.412501E+02   0.179168E-03  -0.412501E+02   0.104496E+01  -0.921560E-06   0.179168E-03  -0.921560E-06   0.770744E-07
   136   0.385270E+04  -0.416199E+02   0.177680E-03  -0.416199E+02   0.104810E+01  -0.908877E-06   0.177680E-03  -0.908877E-06   0.765776E-07
   137   0.388651E+04  -0.419742E+02   0.176214E-03  -0.419742E+02   0.105083E+01  -0.895413E-06   0.176214E-03  -0.895413E-06   0.760852E-07
   138   0.392025E+04  -0.423115E+02   0.174769E-03  -0.423115E+02   0.105308E+01  -0.881316E-06   0.174769E-03  -0.881316E-06   0.755971E-07
   139   0.395377E+04  -0.426312E+02   0.173344E-03  -0.426312E+02   0.105500E+01  -0.866735E-06   0.173344E-03  -0.866735E-06   0.751132E-07
   140   0.398736E+04  -0.429339E+02   0.171939E-03  -0.429339E+02   0.105636E+01  -0.851818E-06   0.171939E-03  -0.851818E-06   0.746334E-07
   141   0.402074E+04  -0.432175E+02   0.170553E-03  -0.432175E+02   0.105724E+01  -0.836713E-06   0.170553E-03  -0.836713E-06   0.741579E-07
   142   0.405412E+04  -0.434828E+02   0.169185E-03  -0.434828E+02   0.105770E+01  -0.821570E-06   0.169185E-03  -0.821570E-06   0.736865E-07
   143   0.408742E+04  -0.437298E+02   0.167836E-03  -0.437298E+02   0.105775E+01  -0.806537E-06   0.167836E-03  -0.806537E-06   0.732192E-07
   144   0.412051E+04  -0.439577E+02   0.166505E-03  -0.439577E+02   0.105731E+01  -0.791763E-06   0.166505E-03  -0.791763E-06   0.727559E-07
   145   0.415346E+04  -0.441660E+02   0.165191E-03  -0.441660E+02   0.105653E+01  -0.777396E-06   0.165191E-03  -0.777396E-06   0.722967E-07
   146   0.418649E+04  -0.443545E+02   0.163893E-03  -0.443545E+02   0.105518E+01  -0.763584E-06   0.163893E-03  -0.763584E-06   0.718415E-07
   147   0.421916E+04  -0.445220E+02   0.162610E-03  -0.445220E+02   0.105348E+01  -0.750477E-06   0.162610E-03  -0.750477E-06   0.713902E-07
   148   0.425168E+04  -0.446697E+02   0.161344E-03  -0.446697E+02   0.105129E+01  -0.738223E-06   0.161344E-03  -0.738223E-06   0.709428E-07
   149   0.428415E+04  -0.447965E+02   0.160092E-03  -0.447965E+02   0.104867E+01  -0.726970E-06   0.160092E-03  -0.726970E-06   0.704993E-07
   150   0.431632E+04  -0.448999E+02   0.158854E-03  -0.448999E+02   0.104571E+01  -0.716868E-06   0.158854E-03  -0.716868E-06   0.700597E-07
   151   0.434837E+04  -0.449830E+02   0.157629E-03  -0.449830E+02   0.104231E+01  -0.708025E-06   0.157629E-03  -0.708025E-06   0.696238E-07
   152   0.438012E+04  -0.450444E+02   0.156418E-03  -0.450444E+02   0.103842E+01  -0.700398E-06   0.156418E-03  -0.700398E-06   0.691918E-07
   153   0.441175E+04  -0.450817E+02   0.155220E-03  -0.450817E+02   0.103416E+01  -0.693901E-06   0.155220E-03  -0.693901E-06   0.687635E-07
   154   0.444317E+04  -0.450972E+02   0.154034E-03  -0.450972E+02   0.102954E+01  -0.688452E-06   0.154034E-03  -0.688452E-06   0.683390E-07
   155   0.447439E+04  -0.450900E+02   0.152860E-03  -0.450900E+02   0.102456E+01  -0.683967E-06   0.152860E-03  -0.683967E-06   0.679181E-07
   156   0.450526E+04  -0.450602E+02   0.151697E-03  -0.450602E+02   0.101920E+01  -0.680362E-06   0.151697E-03  -0.680362E-06   0.675009E-07
   157   0.453607E+04  -0.450063E+02   0.150545E-03  -0.450063E+02   0.101348E+01  -0.677553E-06   0.150545E-03  -0.677553E-06   0.670873E-07
   158   0.456662E+04  -0.449289E+02   0.149404E-03  -0.449289E+02   0.100745E+01  -0.675456E-06   0.149404E-03  -0.675456E-06   0.666774E-07
   159   0.459689E+04  -0.448280E+02   0.148273E-03  -0.448280E+02   0.100096E+01  -0.673988E-06   0.148273E-03  -0.673988E-06   0.662710E-07
   160   0.462697E+04  -0.447021E+02   0.147152E-03  -0.447021E+02   0.994171E+00  -0.673065E-06   0.147152E-03  -0.673065E-06   0.658682E-07
   161   0.465686E+04  -0.445527E+02   0.146040E-03  -0.445527E+02   0.987141E+00  -0.672603E-06   0.146040E-03  -0.672603E-06   0.654690E-07
   162   0.468648E+04  -0.443797E+02   0.144937E-03  -0.443797E+02   0.979720E+00  -0.672519E-06   0.144937E-03  -0.672519E-06   0.650732E-07
   163   0.471598E+04  -0.441816E+02   0.143842E-03  -0.441816E+02   0.971979E+00  -0.672728E-06   0.143842E-03  -0.672728E-06   0.646809E-07
   164   0.474508E+04  -0.439599E+02   0.142755E-03  -0.439599E+02   0.963990E+00  -0.673147E-06   0.142755E-03  -0.673147E-06   0.642920E-07
   165   0.477406E+04  -0.437123E+02   0.141676E-03  -0.437123E+02   0.955674E+00  -0.673692E-06   0.141676E-03  -0.673692E-06   0.639066E-07
   166   0.480279E+04  -0.434403E+02   0.140603E-03  -0.434403E+02   0.947177E+00  -0.674279E-06   0.140603E-03  -0.674279E-06   0.635245E-07
   167   0.483133E+04  -0.431446E+02   0.139538E-03  -0.431446E+02   0.938273E+00  -0.674825E-06   0.139538E-03  -0.674825E-06   0.631458E-07
   168   0.485947E+04  -0.428229E+02   0.138478E-03  -0.428229E+02   0.929328E+00  -0.675246E-06   0.138478E-03  -0.675246E-06   0.627704E-07
   169   0.488736E+04  -0.424752E+02   0.137425E-03  -0.424752E+02   0.920044E+00  -0.675457E-06   0.137425E-03  -0.675457E-06   0.623984E-07
   170   0.491500E+04  -0.421029E+02   0.136376E-03  -0.421029E+02   0.910639E+00  -0.675376E-06   0.136376E-03  -0.675376E-06   0.620296E-07
   171   0.494224E+04  -0.417039E+02   0.135333E-03  -0.417039E+02   0.901109E+00  -0.674919E-06   0.135333E-03  -0.674919E-06   0.616640E-07
   172   0.496915E+04  -0.412795E+02   0.134294E-03  -0.412795E+02   0.891377E+00  -0.674001E-06   0.134294E-03  -0.674001E-06   0.613017E-07
   173   0.499567E+04  -0.408297E+02   0.133259E-03  -0.408297E+02   0.881439E+00  -0.672540E-06   0.133259E-03  -0.672540E-06   0.609425E-07
   174   0.502195E+04  -0.403545E+02   0.132228E-03  -0.403545E+02   0.871590E+00  -0.670450E-06   0.132228E-03  -0.670450E-06   0.605865E-07
   175   0.504791E+04  -0.398531E+02   0.131200E-03  -0.398531E+02   0.861528E+00  -0.667649E-06   0.131200E-03  -0.667649E-06   0.602336E-07
   176   0.507341E+04  -0.393256E+02   0.130175E-03  -0.393256E+02   0.851472E+00  -0.664072E-06   0.130175E-03  -0.664072E-06   0.598839E-07
   177   0.509859E+04  -0.387732E+02   0.129153E-03  -0.387732E+02   0.841345E+00  -0.659729E-06   0.129153E-03  -0.659729E-06   0.595372E-07
   178   0.512338E+04  -0.381945E+02   0.128134E-03  -0.381945E+02   0.831363E+00  -0.654650E-06   0.128134E-03  -0.654650E-06   0.591935E-07
